step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
167,PAYMENT,5130.18,C1888447216,12029.0,6898.82,M1782529438,0.0,0.0
167,PAYMENT,16504.55,C665102114,6898.82,0.0,M679831980,0.0,0.0
167,PAYMENT,355.64,C601251494,8539.0,8183.36,M806769807,0.0,0.0
167,PAYMENT,4594.76,C839477272,19910.0,15315.24,M834842620,0.0,0.0
167,PAYMENT,9641.53,C552657932,15315.24,5673.71,M574652081,0.0,0.0
167,PAYMENT,2555.41,C1534106441,5673.71,3118.3,M2146001556,0.0,0.0
167,PAYMENT,2662.77,C1486764513,3118.3,455.53,M2030723509,0.0,0.0
167,PAYMENT,6497.91,C645859086,455.53,0.0,M313932951,0.0,0.0
167,PAYMENT,12429.51,C1003380241,0.0,0.0,M291739412,0.0,0.0
167,PAYMENT,12328.71,C1341830465,0.0,0.0,M1812687533,0.0,0.0
167,PAYMENT,20956.71,C628924395,0.0,0.0,M673867623,0.0,0.0
167,PAYMENT,29416.58,C853577630,0.0,0.0,M84526445,0.0,0.0
167,PAYMENT,19672.73,C1154187744,0.0,0.0,M1067566913,0.0,0.0
167,PAYMENT,4186.26,C160113492,0.0,0.0,M1122155941,0.0,0.0
167,PAYMENT,7791.71,C1514070168,0.0,0.0,M1804906321,0.0,0.0
167,PAYMENT,8518.94,C1003856116,0.0,0.0,M1812807102,0.0,0.0
167,PAYMENT,18457.1,C1092237959,0.0,0.0,M263908306,0.0,0.0
167,PAYMENT,271.49,C436086993,0.0,0.0,M479921821,0.0,0.0
167,PAYMENT,5423.97,C205904267,0.0,0.0,M1425627050,0.0,0.0
167,PAYMENT,5558.45,C1017730372,0.0,0.0,M2017596322,0.0,0.0
167,PAYMENT,4200.79,C1516836000,0.0,0.0,M1144212544,0.0,0.0
167,PAYMENT,6625.49,C843457271,0.0,0.0,M1525803038,0.0,0.0
167,PAYMENT,10658.84,C1219439604,0.0,0.0,M379600877,0.0,0.0
167,PAYMENT,3503.9,C359855700,0.0,0.0,M1083592188,0.0,0.0
167,PAYMENT,13295.78,C1901538961,0.0,0.0,M1713321985,0.0,0.0
167,PAYMENT,10301.28,C1692250816,0.0,0.0,M374798858,0.0,0.0
167,PAYMENT,1229.37,C1581084151,30290.0,29060.63,M1107138817,0.0,0.0
167,PAYMENT,3111.85,C1220507724,8441.0,5329.15,M1763200507,0.0,0.0
167,PAYMENT,139.13,C1551882234,20786.0,20646.87,M1902602469,0.0,0.0
167,PAYMENT,11962.33,C1109988253,20186.0,8223.67,M1769335222,0.0,0.0
167,PAYMENT,4110.31,C1268200293,253948.0,249837.69,M24988338,0.0,0.0
167,PAYMENT,12371.79,C188876027,53061.0,40689.21,M1295807612,0.0,0.0
167,PAYMENT,13656.69,C1061321381,21276.0,7619.31,M1417781029,0.0,0.0
167,PAYMENT,17516.27,C1333734546,87939.0,70422.73,M1640906389,0.0,0.0
167,CASH_OUT,7599.89,C1307961179,70422.73,62822.84,C825638812,300570.11,308170.0
167,PAYMENT,16046.24,C366289271,51855.0,35808.76,M603489507,0.0,0.0
167,PAYMENT,14307.88,C861023391,90720.67,76412.78,M1367329425,0.0,0.0
167,PAYMENT,12225.72,C1830651728,76412.78,64187.07,M170252684,0.0,0.0
167,PAYMENT,12860.34,C674314883,64187.07,51326.72,M129324630,0.0,0.0
