step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
68,TRANSFER,915266.65,C1936471789,915266.65,0.0,C844650878,0.0,0.0
68,CASH_OUT,915266.65,C347823837,915266.65,0.0,C535285535,2415414.35,3330681.0
68,TRANSFER,5800988.12,C1770441952,5800988.12,0.0,C1228502814,0.0,0.0
68,CASH_OUT,5800988.12,C1232837961,5800988.12,0.0,C1664538299,0.0,5800988.12
68,TRANSFER,1858515.57,C1530003925,1858515.57,0.0,C1195646619,0.0,0.0
68,CASH_OUT,1858515.57,C355594712,1858515.57,0.0,C1163824069,887595.71,2746111.29
68,TRANSFER,3512572.72,C1585059557,3512572.72,0.0,C1250942546,0.0,0.0
68,CASH_OUT,3512572.72,C451243683,3512572.72,0.0,C958253769,111846.62,3624419.34
68,TRANSFER,374178.28,C486342629,374178.28,0.0,C249139572,0.0,0.0
68,CASH_OUT,374178.28,C712970778,374178.28,0.0,C44247024,616364.57,990542.85
68,TRANSFER,2026529.56,C607970446,2026529.56,0.0,C1306842666,0.0,0.0
68,CASH_OUT,2026529.56,C354227932,2026529.56,0.0,C467042735,511526.05,2538055.62
68,TRANSFER,13890.42,C1860550733,13890.42,0.0,C731457880,0.0,0.0
68,CASH_OUT,13890.42,C1020850249,13890.42,0.0,C381876590,0.0,13890.42
68,TRANSFER,281743.12,C2139323336,281743.12,0.0,C1787061281,0.0,0.0
68,CASH_OUT,281743.12,C47524114,281743.12,0.0,C645628840,158099.98,439843.09
68,TRANSFER,157494.6,C1123186349,157494.6,0.0,C1729475937,0.0,0.0
68,CASH_OUT,157494.6,C961780738,157494.6,0.0,C1786351253,509029.31,666523.92
