step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
466,PAYMENT,37068.66,C1370412196,242348.0,205279.34,M628029550,0.0,0.0
466,CASH_IN,179112.92,C779683852,33464.0,212576.92,C921666633,23749.08,0.0
466,PAYMENT,781.47,C150304647,20949.0,20167.53,M802789833,0.0,0.0
466,CASH_OUT,149313.04,C2099685844,166564.0,17250.96,C2043617252,5682546.1,5831859.15
466,PAYMENT,887.1,C469362452,9982.0,9094.9,M949215907,0.0,0.0
466,CASH_IN,289947.43,C1541874601,5591.0,295538.43,C809343981,144252.68,0.0
466,CASH_OUT,10791.91,C323438856,295538.43,284746.52,C913044161,586951.01,597742.92
466,CASH_OUT,305545.31,C1196612915,50249.0,0.0,C1174524876,864912.5,1170457.8
466,PAYMENT,44190.85,C1618192768,280.0,0.0,M48964684,0.0,0.0
466,PAYMENT,3119.88,C726479376,320002.0,316882.12,M2049427727,0.0,0.0
466,PAYMENT,13979.89,C124076130,10654.0,0.0,M1551359366,0.0,0.0
466,CASH_OUT,125228.0,C518568362,0.0,0.0,C1794571732,797437.71,922665.71
466,CASH_OUT,106107.61,C1514366153,2095.0,0.0,C817777205,186643.16,292750.78
466,CASH_IN,76786.2,C2005420467,22061.0,98847.2,C1132031589,0.0,0.0
466,PAYMENT,23628.8,C368128297,59183.0,35554.2,M1318055892,0.0,0.0
466,CASH_OUT,66090.71,C254525408,303.0,0.0,C355816536,102356.38,168447.1
466,PAYMENT,4302.37,C987474535,0.0,0.0,M650095724,0.0,0.0
466,CASH_IN,158966.76,C402593312,228267.0,387233.76,C691206968,0.0,0.0
466,PAYMENT,26807.9,C1165586304,7078.0,0.0,M571895258,0.0,0.0
466,TRANSFER,238550.3,C2031188280,16058.0,0.0,C1202374134,630328.19,868878.49
466,CASH_IN,131637.62,C372260396,72698.0,204335.62,C437666628,1965035.62,1833398.0
466,PAYMENT,21979.6,C406537733,204335.62,182356.02,M164794469,0.0,0.0
466,PAYMENT,4426.46,C2071523550,202540.0,198113.54,M1823367363,0.0,0.0
466,CASH_IN,184100.69,C786892861,92615.0,276715.69,C1834707615,79071.64,0.0
466,PAYMENT,4150.33,C858514492,890.0,0.0,M258542727,0.0,0.0
466,PAYMENT,19609.07,C283041233,1457.0,0.0,M107911447,0.0,0.0
466,PAYMENT,49217.39,C1787336674,910.0,0.0,M767734528,0.0,0.0
466,PAYMENT,34056.14,C1259651900,8551.0,0.0,M968904040,0.0,0.0
466,CASH_IN,234482.07,C391772725,4638.0,239120.07,C98231986,388441.45,153959.38
466,CASH_IN,13891.65,C800784749,116.0,14007.65,C566982534,0.0,0.0
466,PAYMENT,19065.18,C1113270917,135.0,0.0,M2043385003,0.0,0.0
466,PAYMENT,6857.61,C555438581,6017.0,0.0,M1448910034,0.0,0.0
466,CASH_OUT,39050.98,C1296604062,2083.0,0.0,C2026271924,683864.61,722915.6
466,CASH_OUT,354028.18,C1753428048,1449.0,0.0,C359725089,0.0,354028.18
466,CASH_IN,55304.73,C325861452,11490.0,66794.73,C1094696212,192283.74,136979.01
466,PAYMENT,26955.03,C560260351,66794.73,39839.7,M687415078,0.0,0.0
466,PAYMENT,15912.0,C1493806041,39839.7,23927.69,M680984212,0.0,0.0
466,PAYMENT,489.12,C785622117,23927.69,23438.58,M1312001718,0.0,0.0
466,PAYMENT,19747.87,C1525720010,23438.58,3690.71,M1158517854,0.0,0.0
466,PAYMENT,45435.29,C1984884758,3690.71,0.0,M609912407,0.0,0.0
466,PAYMENT,24563.85,C2070650853,0.0,0.0,M1382894514,0.0,0.0
466,PAYMENT,1793.23,C1403178921,0.0,0.0,M591041460,0.0,0.0
466,PAYMENT,22826.48,C67740801,0.0,0.0,M1006718825,0.0,0.0
466,PAYMENT,7495.56,C2040205511,0.0,0.0,M239831923,0.0,0.0
466,PAYMENT,31011.86,C1194265495,0.0,0.0,M1902345756,0.0,0.0
466,PAYMENT,10306.24,C1356809695,0.0,0.0,M43867300,0.0,0.0
466,PAYMENT,8978.15,C1037143251,0.0,0.0,M1462277867,0.0,0.0
466,PAYMENT,1374.86,C2113126508,0.0,0.0,M367254282,0.0,0.0
466,PAYMENT,18033.19,C610626161,0.0,0.0,M929640408,0.0,0.0
466,PAYMENT,1698.45,C1425701369,0.0,0.0,M1598735335,0.0,0.0
466,PAYMENT,12444.75,C1358105757,0.0,0.0,M781909684,0.0,0.0
466,PAYMENT,15097.72,C690519855,0.0,0.0,M552911894,0.0,0.0
466,PAYMENT,6824.38,C1756083057,0.0,0.0,M289251214,0.0,0.0
466,PAYMENT,1395.6,C2064010113,0.0,0.0,M2102719619,0.0,0.0
466,PAYMENT,3079.45,C1221718115,0.0,0.0,M904775448,0.0,0.0
466,PAYMENT,2751.16,C2088687719,0.0,0.0,M643095431,0.0,0.0
466,PAYMENT,9820.13,C1631675846,0.0,0.0,M986692593,0.0,0.0
466,PAYMENT,6884.71,C813228335,0.0,0.0,M812682308,0.0,0.0
466,CASH_OUT,200798.35,C1517658329,690.0,0.0,C1791334373,0.0,200798.35
466,CASH_OUT,319440.96,C488806485,364.0,0.0,C278625283,287357.15,606798.1
466,CASH_OUT,206761.16,C1789158215,509.0,0.0,C316413831,44678.27,251439.43
466,CASH_IN,153634.23,C1585631483,158.0,153792.23,C1645268349,130008.53,0.0
466,CASH_IN,101688.39,C696696986,181.0,101869.39,C766635335,52870.07,0.0
466,PAYMENT,10210.77,C552539599,10484.0,273.23,M1763239118,0.0,0.0
466,CASH_IN,90032.25,C559281182,23129.0,113161.25,C1116605177,3505179.97,3415147.72
466,CASH_IN,99125.99,C1053323966,430.0,99555.99,C411637207,121257.37,22131.37
466,CASH_OUT,221304.64,C1716603333,4080.0,0.0,C940005315,0.0,221304.64
466,PAYMENT,4958.93,C1212280661,153.0,0.0,M1186600775,0.0,0.0
466,CASH_OUT,95354.26,C991609004,123568.0,28213.74,C1747259583,447809.08,543163.33
466,CASH_OUT,47797.92,C1474931051,8514.0,0.0,C106102768,0.0,47797.92
466,PAYMENT,13903.75,C278257540,4621.0,0.0,M100922110,0.0,0.0
466,PAYMENT,11345.92,C1802591538,15549.0,4203.08,M1909003206,0.0,0.0
466,TRANSFER,1153790.42,C1327405956,53643.0,0.0,C422233101,339452.82,1493243.23
466,CASH_OUT,237831.38,C1444086939,97909.0,0.0,C742295150,0.0,237831.38
466,PAYMENT,12520.01,C938101670,0.0,0.0,M235153854,0.0,0.0
466,CASH_OUT,201029.66,C897405249,10648.0,0.0,C1342171140,0.0,201029.66
466,CASH_OUT,78785.9,C2063903913,119.0,0.0,C206154062,0.0,78785.9
466,PAYMENT,17499.51,C508985108,30007.0,12507.49,M825289913,0.0,0.0
466,CASH_OUT,73426.8,C1855472775,4922.0,0.0,C293636316,325950.21,399377.01
466,PAYMENT,550.59,C807914521,13367.0,12816.41,M488942550,0.0,0.0
466,PAYMENT,19225.02,C734517743,391.0,0.0,M131533932,0.0,0.0
466,PAYMENT,9722.27,C152981387,68983.0,59260.73,M828129125,0.0,0.0
466,TRANSFER,123341.26,C616660992,59260.73,0.0,C1294974208,239022.77,362364.02
466,CASH_OUT,410887.68,C466246808,646.0,0.0,C1219674406,327200.28,738087.96
466,CASH_IN,241371.47,C1624455805,99992.0,341363.47,C451824232,0.0,0.0
466,PAYMENT,5336.92,C807704085,60425.0,55088.08,M416137617,0.0,0.0
466,PAYMENT,16239.97,C1361731724,55088.08,38848.11,M676575238,0.0,0.0
466,PAYMENT,18894.79,C1012078375,100559.0,81664.21,M1248102517,0.0,0.0
