step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
447,TRANSFER,834592.4,C1391274777,834592.4,0.0,C1330816547,0.0,0.0
447,CASH_OUT,834592.4,C851101642,834592.4,0.0,C1583598303,236428.35,1071020.75
447,TRANSFER,219178.49,C680549889,219178.49,0.0,C682169691,0.0,0.0
447,CASH_OUT,219178.49,C1200170938,219178.49,0.0,C1762108679,0.0,219178.49
447,TRANSFER,3339489.46,C1632929877,3339489.46,0.0,C2080860593,0.0,0.0
447,CASH_OUT,3339489.46,C1897864068,3339489.46,0.0,C1441419882,369291.01,3708780.47
447,TRANSFER,3965182.83,C786548391,3965182.83,0.0,C1008141615,0.0,0.0
447,CASH_OUT,3965182.83,C1072591824,3965182.83,0.0,C2109925830,199484.14,4164666.97
447,TRANSFER,155121.58,C2050839128,155121.58,0.0,C8466598,0.0,0.0
447,CASH_OUT,155121.58,C1937221024,155121.58,0.0,C176494011,439557.76,594679.34
