step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
730,TRANSFER,1152538.9,C231322789,1152538.9,0.0,C1922711956,0.0,0.0
730,CASH_OUT,1152538.9,C1040108506,1152538.9,0.0,C1101565058,0.0,1152538.9
730,TRANSFER,1665334.68,C1901678626,1665334.68,0.0,C223228023,0.0,0.0
730,CASH_OUT,1665334.68,C1772832096,1665334.68,0.0,C703136937,398538.39,2063873.07
730,TRANSFER,156396.46,C696760428,156396.46,0.0,C577061559,0.0,0.0
730,CASH_OUT,156396.46,C1659635357,156396.46,0.0,C876852627,842357.16,998753.62
730,TRANSFER,403.56,C1494188706,403.56,0.0,C1175598908,0.0,0.0
730,CASH_OUT,403.56,C1790729382,403.56,0.0,C1460854172,1124708.32,1125111.88
730,TRANSFER,2154005.71,C507292245,2154005.71,0.0,C2129452357,0.0,0.0
730,CASH_OUT,2154005.71,C1514500854,2154005.71,0.0,C1368085881,0.0,2154005.71
730,TRANSFER,1.0E7,C726730575,5.731625505E7,4.731625505E7,C1364745638,0.0,0.0
730,CASH_OUT,1.0E7,C1700232450,1.0E7,0.0,C125311108,0.0,1.0E7
730,TRANSFER,1.0E7,C507645439,4.731625505E7,3.731625505E7,C270374999,0.0,0.0
730,CASH_OUT,1.0E7,C1868631555,1.0E7,0.0,C1100933050,0.0,1.0E7
730,TRANSFER,1.0E7,C1277761503,3.731625505E7,2.731625505E7,C500987951,0.0,0.0
730,CASH_OUT,1.0E7,C315149365,1.0E7,0.0,C574552283,62895.13,1.006289513E7
730,TRANSFER,1.0E7,C476780134,2.731625505E7,1.731625505E7,C1150932816,0.0,0.0
730,CASH_OUT,1.0E7,C2065498878,1.0E7,0.0,C502437065,819130.39,1.081913039E7
730,TRANSFER,1.0E7,C2140038573,1.731625505E7,1.731625505E7,C1395467927,0.0,0.0
730,CASH_OUT,0.0,C729003789,0.0,0.0,C1388096959,1008609.53,1008609.53
730,TRANSFER,7316255.05,C1869569059,1.731625505E7,1.731625505E7,C1861208726,0.0,0.0
730,CASH_OUT,0.0,C2088151490,0.0,0.0,C1156763710,0.0,0.0
730,TRANSFER,3191058.32,C1884883180,3191058.32,0.0,C906779007,0.0,0.0
730,CASH_OUT,3191058.32,C1185153589,3191058.32,0.0,C978277137,161350.38,3352408.69
730,TRANSFER,338364.14,C1396691078,338364.14,0.0,C476657096,0.0,0.0
730,CASH_OUT,338364.14,C449727386,338364.14,0.0,C1527134062,724300.82,1062664.96
730,TRANSFER,185488.23,C585645639,185488.23,0.0,C1050859310,0.0,0.0
730,CASH_OUT,185488.23,C1153115525,185488.23,0.0,C1531209289,0.0,185488.23
