step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
719,TRANSFER,366896.03,C1253782028,366896.03,0.0,C2141598336,0.0,0.0
719,CASH_OUT,366896.03,C2113748548,366896.03,0.0,C2051326295,0.0,366896.03
719,TRANSFER,67299.57,C645678075,67299.57,0.0,C1753733624,0.0,0.0
719,CASH_OUT,67299.57,C163185950,67299.57,0.0,C1545339694,303173.2,370472.77
719,TRANSFER,479926.98,C444759415,479926.98,0.0,C1253833239,0.0,0.0
719,CASH_OUT,479926.98,C236547965,479926.98,0.0,C1382782385,71009.24,550936.23
719,TRANSFER,6219566.63,C1254000350,6219566.63,0.0,C432911682,0.0,0.0
719,CASH_OUT,6219566.63,C334882914,6219566.63,0.0,C878792867,0.0,6219566.63
719,TRANSFER,1842163.57,C445994670,1842163.57,0.0,C2123813082,0.0,0.0
719,CASH_OUT,1842163.57,C1605541894,1842163.57,0.0,C2135177124,446897.67,2289061.24
719,TRANSFER,534518.98,C1636058456,534518.98,0.0,C937763226,0.0,0.0
719,CASH_OUT,534518.98,C1561200626,534518.98,0.0,C999955448,91719.52,626238.5
719,TRANSFER,119306.06,C1183843461,119306.06,0.0,C1830685403,0.0,0.0
719,CASH_OUT,119306.06,C1199258183,119306.06,0.0,C136557058,4040.44,123346.5
