step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
717,PAYMENT,14228.5,C1565626987,10388.0,0.0,M1332504645,0.0,0.0
717,DEBIT,1843.48,C2111766278,6142.0,4298.52,C1130427178,44366.74,46210.22
717,CASH_OUT,130257.12,C566610816,19907.0,0.0,C90710806,856635.19,986892.32
717,PAYMENT,7180.32,C1884739353,11185.0,4004.68,M1549051670,0.0,0.0
717,PAYMENT,6577.02,C1450726741,321353.0,314775.98,M1500388817,0.0,0.0
717,CASH_IN,84500.89,C533129210,10959.0,95459.89,C988648345,0.0,0.0
717,PAYMENT,13223.29,C1725144835,3695.0,0.0,M1914027121,0.0,0.0
717,PAYMENT,13106.61,C1539090295,35969.0,22862.39,M1936548557,0.0,0.0
717,CASH_OUT,200862.41,C163364900,4106.0,0.0,C1900062041,4838838.9,5039701.31
717,TRANSFER,113924.38,C1452610390,100303.0,0.0,C145192385,0.0,113924.38
717,PAYMENT,5016.86,C1756135916,441970.0,436953.14,M1892674878,0.0,0.0
717,PAYMENT,8458.1,C522039011,184942.0,176483.9,M1642861045,0.0,0.0
717,PAYMENT,10892.13,C1841520581,394.0,0.0,M1659566430,0.0,0.0
717,CASH_IN,94237.29,C284305750,51185.0,145422.29,C1081855672,1217484.42,1123247.13
717,CASH_IN,247502.68,C294711556,40303.0,287805.68,C241520751,82281.62,0.0
717,PAYMENT,4308.57,C1717221764,30540.0,26231.43,M1397722136,0.0,0.0
717,CASH_IN,7178.37,C1383511998,36617.0,43795.37,C1498905962,324239.64,317061.27
717,PAYMENT,5304.48,C1157133349,7681.0,2376.52,M2002609063,0.0,0.0
717,PAYMENT,3497.09,C1490886168,11123.0,7625.91,M1072798202,0.0,0.0
717,PAYMENT,6444.2,C951028605,59452.0,53007.8,M619939732,0.0,0.0
717,PAYMENT,13664.6,C342778060,129818.0,116153.4,M660805106,0.0,0.0
717,CASH_IN,53996.73,C1666418176,104800.0,158796.73,C1370738309,138589.82,84593.09
717,CASH_OUT,4056.7,C1537503961,11427.0,7370.3,C650423354,676682.47,680739.17
717,PAYMENT,19919.82,C1017839969,25226.0,5306.18,M56123267,0.0,0.0
717,CASH_OUT,120552.67,C2084874862,17043.0,0.0,C1910665576,242792.91,363345.59
717,PAYMENT,245.97,C76430725,5688.0,5442.03,M1623889020,0.0,0.0
717,CASH_IN,205828.63,C556755873,46073.0,251901.63,C87472997,201845.89,0.0
717,PAYMENT,3257.6,C2028057136,7146.0,3888.4,M234277564,0.0,0.0
717,CASH_OUT,28947.92,C959174154,101977.0,73029.08,C624362226,5537912.69,5566860.61
717,PAYMENT,4168.55,C1669583085,21329.0,17160.45,M377921183,0.0,0.0
717,PAYMENT,9506.84,C765335001,5905.0,0.0,M1256332774,0.0,0.0
717,CASH_IN,67308.39,C932948207,1713.0,69021.39,C865553785,0.0,0.0
717,PAYMENT,5669.32,C365673189,153.0,0.0,M1218860376,0.0,0.0
717,CASH_OUT,23465.75,C317815943,108188.0,84722.25,C1148773487,4168470.16,4191935.91
717,CASH_OUT,103087.84,C2026336998,21077.0,0.0,C1637808374,1622858.47,1725946.31
717,CASH_OUT,131854.45,C814998409,942.0,0.0,C1828383235,67537.21,199391.66
717,CASH_IN,120627.65,C1256549462,51594.0,172221.65,C2054785220,3140236.37,3019608.72
717,PAYMENT,18077.18,C1399399625,21443.0,3365.82,M284834816,0.0,0.0
717,CASH_IN,123926.17,C1062865469,1076.0,125002.17,C1328628821,161959.92,38033.75
717,CASH_IN,90447.7,C1581008476,11228.0,101675.7,C1778044466,790611.17,700163.46
717,CASH_IN,26146.63,C1147760190,363857.0,390003.63,C1538310336,0.0,0.0
717,PAYMENT,1481.87,C87179407,100658.0,99176.13,M1784064502,0.0,0.0
717,CASH_OUT,148217.09,C1457785926,21486.0,0.0,C1544845420,85117.15,233334.25
717,PAYMENT,4120.38,C1509134394,28303.0,24182.62,M1314031027,0.0,0.0
717,PAYMENT,4161.56,C294947990,6422.0,2260.44,M1743004894,0.0,0.0
717,PAYMENT,427.4,C584260184,4477.0,4049.6,M2021031084,0.0,0.0
717,CASH_IN,174215.36,C1303621384,147516.0,321731.36,C1328839342,1901698.87,1727483.51
717,CASH_OUT,40187.86,C188194996,69491.0,29303.14,C1210630308,679792.78,719980.63
717,CASH_IN,157567.83,C831285840,104231.0,261798.83,C998877324,274633.8,117065.97
717,CASH_OUT,143671.7,C2052383697,13517.0,0.0,C408372673,230105.58,373777.28
717,CASH_IN,90254.91,C718260348,21138.0,111392.91,C576574566,119585.59,29330.68
717,CASH_IN,51872.55,C483131281,912641.0,964513.55,C1695137697,0.0,0.0
717,CASH_IN,79629.39,C1313327282,24097.0,103726.39,C572189911,476087.93,396458.54
717,PAYMENT,684.83,C332456128,441.0,0.0,M1191728878,0.0,0.0
717,CASH_OUT,81324.68,C75239145,10081.0,0.0,C1495740165,231120.06,312444.75
717,PAYMENT,1092.42,C1947092108,50744.0,49651.58,M1624009773,0.0,0.0
717,CASH_IN,234101.21,C1710680572,158907.0,393008.21,C294346299,0.0,0.0
