step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
473,TRANSFER,70239.81,C731157772,70239.81,0.0,C182956313,0.0,0.0
473,CASH_OUT,70239.81,C867506541,70239.81,0.0,C1424690592,255444.42,325684.23
473,TRANSFER,417620.07,C1833923167,417620.07,0.0,C2045180381,0.0,0.0
473,CASH_OUT,417620.07,C281624402,417620.07,0.0,C197249105,0.0,417620.07
473,TRANSFER,36996.83,C528147634,36996.83,0.0,C1140712757,0.0,0.0
473,CASH_OUT,36996.83,C77588545,36996.83,0.0,C826538510,729398.84,766395.67
473,TRANSFER,179700.14,C307539719,179700.14,0.0,C434694643,0.0,0.0
473,CASH_OUT,179700.14,C1270751664,179700.14,0.0,C1991324873,1792.34,181492.48
473,TRANSFER,7009.93,C53019393,7009.93,0.0,C304768770,0.0,0.0
473,CASH_OUT,7009.93,C2022649541,7009.93,0.0,C239424906,0.0,7009.93
