step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
599,PAYMENT,3279.57,C1144454299,5025.0,1745.43,M197023393,0.0,0.0
599,PAYMENT,11657.58,C1783608561,121037.0,109379.42,M502188094,0.0,0.0
599,PAYMENT,6169.29,C1850686780,79270.0,73100.71,M389899530,0.0,0.0
599,PAYMENT,1497.9,C4371232,40512.0,39014.1,M1803957294,0.0,0.0
599,TRANSFER,245754.2,C2084000447,687.0,0.0,C299985123,1081729.43,1327483.63
599,PAYMENT,153.93,C14576902,31968.0,31814.07,M361760142,0.0,0.0
599,CASH_OUT,108553.2,C1332573270,7035.0,0.0,C1417659239,763878.53,872431.73
599,PAYMENT,11180.55,C160003502,50500.0,39319.45,M2060230596,0.0,0.0
599,CASH_OUT,5867.45,C1868908902,9667.0,3799.55,C1503669065,210713.82,216581.27
599,CASH_IN,104161.38,C1267621656,109498.0,213659.38,C1490857,0.0,0.0
599,PAYMENT,7043.99,C166225858,171961.0,164917.01,M390396804,0.0,0.0
599,CASH_OUT,226541.55,C1387245171,164917.01,0.0,C349903840,493415.65,719957.2
599,CASH_OUT,12007.81,C1801477537,0.0,0.0,C1757826541,314165.1,326172.91
599,CASH_OUT,238374.4,C561836408,0.0,0.0,C1744662180,9665037.7,9903412.1
599,CASH_OUT,388981.03,C299148808,0.0,0.0,C1241556809,1160568.41,1549549.44
599,CASH_OUT,175341.84,C1051156087,0.0,0.0,C1615023406,2.629137235E7,2.646671419E7
599,CASH_OUT,306003.39,C1464041815,0.0,0.0,C652505899,419711.84,725715.24
599,CASH_OUT,345190.78,C301092342,0.0,0.0,C361268035,7058574.45,7403765.22
599,CASH_OUT,361128.54,C623004966,0.0,0.0,C1570194406,2095165.92,2456294.46
599,CASH_OUT,396125.81,C561183507,0.0,0.0,C492793308,469367.57,865493.38
599,CASH_OUT,101792.92,C1785761619,0.0,0.0,C1035155993,621899.77,723692.69
599,CASH_OUT,233058.48,C1768874518,0.0,0.0,C378714744,400151.76,633210.24
599,CASH_OUT,318780.45,C1578289504,0.0,0.0,C1719454695,650335.25,969115.69
599,CASH_OUT,69860.29,C1745755090,0.0,0.0,C161073228,1370301.84,1440162.13
599,CASH_OUT,45473.61,C116001687,0.0,0.0,C758279829,4998440.02,5043913.62
599,CASH_OUT,186556.51,C403322638,0.0,0.0,C965955333,2494612.46,2681168.97
599,PAYMENT,5254.29,C1343988902,65782.0,60527.71,M1221850620,0.0,0.0
599,PAYMENT,14499.78,C515111362,60527.71,46027.93,M1464344413,0.0,0.0
599,PAYMENT,3186.26,C1526443910,15679.0,12492.74,M223399216,0.0,0.0
599,PAYMENT,10389.96,C204228785,12492.74,2102.78,M453581982,0.0,0.0
599,PAYMENT,25904.64,C470353894,2102.78,0.0,M389767194,0.0,0.0
599,PAYMENT,9457.95,C2042420108,0.0,0.0,M704828873,0.0,0.0
599,PAYMENT,2462.72,C2128662872,0.0,0.0,M848774446,0.0,0.0
599,PAYMENT,14919.69,C761825355,0.0,0.0,M301513906,0.0,0.0
599,PAYMENT,21394.92,C1768605124,0.0,0.0,M1641829362,0.0,0.0
599,PAYMENT,16077.41,C144684370,0.0,0.0,M1549178335,0.0,0.0
599,PAYMENT,2741.51,C1672298356,0.0,0.0,M1626186544,0.0,0.0
599,PAYMENT,7229.42,C363704154,0.0,0.0,M2109548637,0.0,0.0
599,PAYMENT,9435.7,C2002906625,0.0,0.0,M2048403454,0.0,0.0
599,PAYMENT,13096.47,C37191832,0.0,0.0,M375172931,0.0,0.0
599,PAYMENT,17080.19,C1857378927,0.0,0.0,M1428797328,0.0,0.0
599,PAYMENT,29871.65,C1797574381,0.0,0.0,M418468477,0.0,0.0
599,PAYMENT,15147.44,C1557333294,0.0,0.0,M1147059219,0.0,0.0
599,PAYMENT,8211.38,C155210195,0.0,0.0,M456169532,0.0,0.0
599,PAYMENT,8740.08,C1603142657,0.0,0.0,M1845593543,0.0,0.0
599,PAYMENT,19902.21,C1698995997,0.0,0.0,M2057968369,0.0,0.0
599,PAYMENT,1217.38,C1437317033,0.0,0.0,M929447782,0.0,0.0
599,PAYMENT,25966.44,C1989931744,0.0,0.0,M1556878160,0.0,0.0
599,PAYMENT,6415.1,C1414721951,0.0,0.0,M1388935548,0.0,0.0
599,PAYMENT,7853.11,C2070715703,0.0,0.0,M1191597977,0.0,0.0
599,PAYMENT,28434.02,C77301999,0.0,0.0,M486544281,0.0,0.0
599,CASH_OUT,2.93,C43687979,11294.0,11291.07,C2000214086,0.0,2.93
599,TRANSFER,509794.4,C2002097534,11291.07,0.0,C764993772,649495.31,1159289.71
599,PAYMENT,1079.1,C793880459,51473.0,50393.9,M844162339,0.0,0.0
599,PAYMENT,27110.18,C1704759482,50393.9,23283.72,M1043928850,0.0,0.0
