step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
295,TRANSFER,1748611.28,C872116979,1748611.28,0.0,C1742807255,0.0,0.0
295,CASH_OUT,1748611.28,C1092488663,1748611.28,0.0,C670879809,113025.94,1861637.22
295,TRANSFER,172344.3,C547948167,172344.3,0.0,C765807005,0.0,0.0
295,CASH_OUT,172344.3,C246205789,172344.3,0.0,C1656002474,0.0,172344.3
295,TRANSFER,162756.9,C1722305169,162756.9,0.0,C782178061,0.0,0.0
295,CASH_OUT,162756.9,C1466532646,162756.9,0.0,C1824270535,927190.11,1089947.01
295,TRANSFER,4531343.47,C1067203186,4531343.47,0.0,C1086076552,0.0,0.0
295,CASH_OUT,4531343.47,C1462947577,4531343.47,0.0,C1069720,0.0,4531343.47
295,TRANSFER,9366.63,C892421305,9366.63,0.0,C1944775244,0.0,0.0
295,CASH_OUT,9366.63,C2043788136,9366.63,0.0,C1314872657,51153.4,60520.03
