step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
360,PAYMENT,2940.85,C184311859,123530.0,120589.15,M2083348126,0.0,0.0
360,PAYMENT,1085.09,C68639244,10021.0,8935.91,M1043274248,0.0,0.0
360,PAYMENT,62397.16,C1471875078,8935.91,0.0,M1106535873,0.0,0.0
360,PAYMENT,4414.48,C2131595465,0.0,0.0,M959724154,0.0,0.0
360,TRANSFER,145122.01,C918613602,718897.0,573774.99,C1559986622,0.0,145122.01
360,CASH_OUT,289842.77,C1425559318,573774.99,283932.22,C606857815,743323.16,1033165.94
360,PAYMENT,1146.78,C1197479576,500494.0,499347.22,M1604260836,0.0,0.0
360,PAYMENT,1533.12,C1855804811,1492.0,0.0,M2022389681,0.0,0.0
360,TRANSFER,59817.65,C1058552558,15583.0,0.0,C533740690,358826.19,418643.83
360,PAYMENT,2731.2,C415174362,50166.0,47434.8,M478814539,0.0,0.0
360,PAYMENT,5754.34,C1033747412,20600.0,14845.66,M1135356355,0.0,0.0
360,PAYMENT,4226.59,C587544242,14845.66,10619.07,M1850264544,0.0,0.0
360,DEBIT,1520.39,C1046187750,21243.0,19722.61,C1640730238,54859.78,56380.16
360,PAYMENT,37607.38,C479939295,19722.61,0.0,M371281752,0.0,0.0
360,PAYMENT,7647.5,C1050575287,31192.0,23544.5,M1557140540,0.0,0.0
360,PAYMENT,40618.23,C442196171,23544.5,0.0,M110933847,0.0,0.0
360,PAYMENT,1543.08,C1287982346,32363.0,30819.92,M275284314,0.0,0.0
360,PAYMENT,13092.94,C1375008420,30819.92,17726.98,M850515394,0.0,0.0
360,PAYMENT,1785.08,C1450714051,17726.98,15941.9,M47061511,0.0,0.0
360,DEBIT,595.57,C1954127148,22140.0,21544.43,C1822045793,4962866.82,4963462.38
360,PAYMENT,9071.23,C1222265252,12790.0,3718.77,M1596656967,0.0,0.0
360,CASH_OUT,41416.77,C768031367,3718.77,0.0,C1077224031,512444.65,553861.42
360,PAYMENT,2444.44,C368001774,15895.0,13450.56,M258129566,0.0,0.0
360,PAYMENT,12388.03,C136628992,179079.0,166690.97,M480500609,0.0,0.0
360,PAYMENT,533.02,C1932788425,385.0,0.0,M1773716607,0.0,0.0
360,DEBIT,1881.01,C1206546051,105762.0,103880.99,C778251161,1168168.45,1170049.46
360,PAYMENT,15268.72,C1159191084,103880.99,88612.27,M375831053,0.0,0.0
360,PAYMENT,634.69,C970071938,5013.0,4378.31,M769192013,0.0,0.0
360,PAYMENT,4084.57,C1457887584,10407.0,6322.43,M1970337635,0.0,0.0
360,PAYMENT,10136.57,C1559746624,3714.0,0.0,M919011595,0.0,0.0
360,PAYMENT,5171.41,C1284743210,9045.0,3873.59,M1051368756,0.0,0.0
360,PAYMENT,45201.36,C1560115065,3873.59,0.0,M1388112564,0.0,0.0
360,PAYMENT,3943.28,C58692153,21810.0,17866.72,M1767308383,0.0,0.0
360,PAYMENT,8027.54,C1588009139,51593.0,43565.46,M1803268249,0.0,0.0
360,DEBIT,778.85,C350882197,53520.0,52741.15,C1490231626,1.031314206E7,1.031392092E7
360,PAYMENT,3224.73,C1241561939,7384.0,4159.27,M738480160,0.0,0.0
360,CASH_OUT,12395.26,C441307713,4159.27,0.0,C1144500398,460425.47,472820.73
360,PAYMENT,1186.68,C1588577852,533.0,0.0,M289023129,0.0,0.0
360,CASH_OUT,9682.56,C531751886,0.0,0.0,C211078792,151282.04,160964.6
360,CASH_OUT,142475.35,C1805317539,0.0,0.0,C1198219903,559756.1,702231.45
360,CASH_OUT,187351.27,C1269055690,0.0,0.0,C460484061,3890693.29,4078044.56
360,CASH_OUT,128035.3,C200977355,0.0,0.0,C1604087410,1291060.44,1419095.74
360,CASH_OUT,190132.14,C457541353,0.0,0.0,C1694149636,446019.98,636152.12
360,CASH_OUT,78764.64,C667832271,0.0,0.0,C851594091,2216724.79,2295489.42
360,CASH_OUT,106748.59,C1317403116,0.0,0.0,C1029200586,1887294.36,1994042.95
360,CASH_OUT,210822.73,C276805380,0.0,0.0,C1252738356,6625504.98,6836327.71
360,CASH_OUT,65466.17,C666507564,0.0,0.0,C1821176003,336896.17,402362.34
360,CASH_OUT,107313.75,C1918868003,0.0,0.0,C1181547920,145060.73,252374.47
360,CASH_OUT,93528.83,C334776093,0.0,0.0,C680515602,257718.75,351247.58
360,CASH_OUT,122258.02,C2120091120,0.0,0.0,C1254777952,2766906.88,2889164.91
360,CASH_OUT,144488.14,C165285998,0.0,0.0,C195926108,674522.96,819011.1
360,CASH_OUT,154407.63,C131735028,0.0,0.0,C2142375495,174704.62,329112.25
360,CASH_OUT,130164.34,C908553917,0.0,0.0,C803842420,405048.27,535212.6
360,CASH_OUT,106353.35,C945327116,0.0,0.0,C2078366232,347295.82,453649.16
360,CASH_OUT,129748.37,C1641587209,0.0,0.0,C783793980,168187.31,297935.68
360,CASH_OUT,95210.98,C918169211,0.0,0.0,C849250713,198304.91,293515.89
360,CASH_OUT,253416.02,C996537495,0.0,0.0,C1170799929,2527305.85,2780721.87
360,CASH_OUT,114552.79,C1193359131,0.0,0.0,C2116802101,1.609259821E7,1.6207151E7
360,CASH_OUT,55158.03,C1665994012,0.0,0.0,C173168066,611574.6,666732.64
360,CASH_OUT,336412.38,C69433072,0.0,0.0,C1925573815,563648.94,900061.32
360,CASH_OUT,188122.12,C276229039,0.0,0.0,C1813317543,205255.77,393377.89
360,CASH_OUT,192909.34,C1579261781,0.0,0.0,C832714051,2964404.06,3157313.4
360,PAYMENT,7321.52,C1427065952,61438.0,54116.48,M1241789639,0.0,0.0
360,PAYMENT,9220.19,C1837663675,12841.0,3620.81,M1065448552,0.0,0.0
360,PAYMENT,1473.43,C272782260,82231.0,80757.57,M2072768375,0.0,0.0
360,CASH_IN,179200.59,C1384581344,80757.57,259958.16,C2106935417,340152.02,160951.42
360,CASH_IN,403701.58,C1720784108,259958.16,663659.74,C1092184787,565654.8,161953.22
360,CASH_IN,56573.19,C1691104377,663659.74,720232.93,C1216089032,520310.66,463737.47
360,CASH_IN,230624.09,C1083740096,720232.93,950857.02,C1075787334,4920382.48,4689758.39
360,CASH_IN,387047.68,C707940155,950857.02,1337904.7,C2117403931,1846608.83,1459561.15
360,CASH_IN,328442.04,C1156188389,1337904.7,1666346.74,C1121642154,873472.0,545029.96
360,CASH_IN,127648.37,C1090552829,1666346.74,1793995.12,C518617369,3191934.52,3064286.14
360,CASH_IN,324556.8,C1164108434,1793995.12,2118551.92,C1905670099,770903.36,446346.56
360,CASH_IN,346589.08,C2106664594,2118551.92,2465140.99,C1983683486,2064277.72,1717688.64
360,CASH_IN,389759.9,C1772659941,2465140.99,2854900.9,C1602486153,658436.33,268676.43
360,CASH_IN,165137.33,C754109766,2854900.9,3020038.23,C1092673328,480787.33,315650.0
360,CASH_IN,137885.38,C2119621688,3020038.23,3157923.61,C127602653,383897.9,246012.52
360,CASH_IN,69288.88,C168280278,3157923.61,3227212.49,C2137771654,2875860.97,2806572.09
360,CASH_IN,29959.72,C639947519,3227212.49,3257172.21,C562299046,240803.48,210843.76
360,CASH_IN,185139.62,C478589824,3257172.21,3442311.84,C1444561139,191676.86,6537.24
360,CASH_IN,102982.56,C1425611572,3442311.84,3545294.4,C130082317,223836.96,120854.39
360,CASH_IN,27147.33,C1615622157,3545294.4,3572441.72,C117289322,260782.33,233635.0
360,CASH_IN,478025.64,C1627383249,3572441.72,4050467.37,C1499170855,3096865.58,2618839.94
