step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
58,TRANSFER,246938.77,C1588962215,246938.77,0.0,C1667993735,0.0,0.0
58,CASH_OUT,246938.77,C1249676524,246938.77,0.0,C1822682019,0.0,246938.77
58,TRANSFER,561948.38,C856217790,561948.38,0.0,C1278181974,0.0,0.0
58,CASH_OUT,561948.38,C1424142386,561948.38,0.0,C248271098,30911.97,592860.35
58,TRANSFER,106673.26,C666474898,106673.26,0.0,C2119441360,0.0,0.0
58,CASH_OUT,106673.26,C160197221,106673.26,0.0,C431559844,0.0,106673.26
58,TRANSFER,6501303.14,C2083819202,6501303.14,0.0,C1581398768,0.0,0.0
58,CASH_OUT,6501303.14,C1033290326,6501303.14,0.0,C1721246847,4439499.5,1.094080264E7
58,TRANSFER,3156421.43,C1609180237,3156421.43,0.0,C1443408255,0.0,0.0
58,CASH_OUT,3156421.43,C597790533,3156421.43,0.0,C1365109989,181440.45,3337861.88
58,TRANSFER,1789155.73,C1979185568,1789155.73,0.0,C1873285106,0.0,0.0
58,CASH_OUT,1789155.73,C853148295,1789155.73,0.0,C439525493,2031388.61,3820544.34
58,TRANSFER,456745.18,C1016889565,456745.18,0.0,C1924324818,0.0,0.0
58,CASH_OUT,456745.18,C325643180,456745.18,0.0,C1138806458,0.0,456745.18
58,TRANSFER,7108914.22,C1494760088,7108914.22,0.0,C1835087777,0.0,0.0
58,CASH_OUT,7108914.22,C993318150,7108914.22,0.0,C73690456,0.0,7108914.22
58,TRANSFER,109525.67,C1677074645,109525.67,0.0,C408634115,0.0,0.0
58,CASH_OUT,109525.67,C924291724,109525.67,0.0,C1035427073,3997342.61,4106868.28
58,TRANSFER,378688.65,C801354252,378688.65,0.0,C388808912,0.0,0.0
58,CASH_OUT,378688.65,C851631639,378688.65,0.0,C1573752300,0.0,378688.65
