step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
323,CASH_IN,397943.84,C305026007,13248.0,411191.84,C1792412040,0.0,0.0
323,PAYMENT,17999.85,C1395610816,70243.0,52243.15,M1279173151,0.0,0.0
323,PAYMENT,14076.32,C1521742529,52243.15,38166.82,M979612331,0.0,0.0
323,PAYMENT,8273.36,C331577459,15237.0,6963.64,M718544462,0.0,0.0
323,TRANSFER,1977912.3,C1874121775,6963.64,0.0,C877921495,7249646.63,9227558.94
323,CASH_IN,149348.92,C1223021976,200565.0,349913.92,C1750274791,350201.75,200852.83
323,PAYMENT,69899.72,C1080900631,31863.0,0.0,M1245801530,0.0,0.0
323,CASH_OUT,211447.05,C52284657,160817.0,0.0,C867869186,282126.34,493573.39
323,PAYMENT,54591.84,C1697808415,200366.0,145774.16,M1276548394,0.0,0.0
323,CASH_OUT,185750.42,C234291246,11001.0,0.0,C802139688,337326.03,523076.45
323,PAYMENT,60639.96,C1625304869,0.0,0.0,M295926110,0.0,0.0
323,PAYMENT,8657.43,C1776554373,32253.0,23595.57,M1546099431,0.0,0.0
323,PAYMENT,13932.42,C1029640001,109730.0,95797.58,M935131197,0.0,0.0
323,CASH_OUT,383123.86,C2124263286,59579.0,0.0,C1750693512,485585.62,868709.48
323,PAYMENT,1760.82,C504230624,0.0,0.0,M1533924199,0.0,0.0
323,CASH_OUT,421118.12,C197178663,50166.0,0.0,C1143514938,0.0,421118.12
323,CASH_OUT,247097.37,C414539062,396.0,0.0,C1125302720,0.0,247097.37
323,CASH_OUT,67520.67,C1767781938,80608.0,13087.33,C121364645,39927.99,107448.66
323,CASH_OUT,548549.79,C1553802901,21984.0,0.0,C1879362738,2478924.51,3027474.3
323,PAYMENT,11934.95,C1383778732,0.0,0.0,M1620337208,0.0,0.0
323,CASH_IN,313314.77,C2028152766,22092.0,335406.77,C1235810678,0.0,0.0
323,CASH_IN,228371.55,C1308565433,8598.0,236969.55,C563865465,914945.82,686574.27
323,CASH_OUT,212501.16,C1238140931,1048.0,0.0,C2040394625,24902.09,237403.26
323,PAYMENT,658.4,C176858784,0.0,0.0,M1807072920,0.0,0.0
323,CASH_OUT,70693.89,C1577215616,20633.0,0.0,C513866793,1878203.3,1948897.19
323,PAYMENT,45057.57,C1940087251,0.0,0.0,M751003297,0.0,0.0
323,PAYMENT,17503.54,C1782865119,0.0,0.0,M666833265,0.0,0.0
323,CASH_OUT,104284.52,C1341800876,10913.0,0.0,C1202026421,1377466.27,1481750.79
323,CASH_IN,537733.76,C2017181852,19863.0,557596.76,C1788301173,333940.9,0.0
323,TRANSFER,907986.65,C810670560,557596.76,0.0,C1210354609,3152559.07,4060545.72
323,CASH_IN,257386.13,C1874489858,495310.0,752696.13,C1551274315,0.0,0.0
323,CASH_OUT,209860.1,C1917892984,62096.0,0.0,C1426917172,2149133.93,2358994.03
323,TRANSFER,672256.62,C1414117518,0.0,0.0,C391468735,765106.11,1437362.73
323,TRANSFER,2039537.48,C1785324862,0.0,0.0,C548207089,2278391.37,4317928.85
323,TRANSFER,335919.93,C1451204627,21336.0,0.0,C1253052552,2160497.95,2496417.88
323,CASH_IN,99793.49,C563300573,14428.0,114221.49,C2141523636,167970.91,68177.42
323,PAYMENT,7928.5,C948373929,114221.49,106292.99,M501369746,0.0,0.0
323,CASH_OUT,367810.35,C909516549,766.0,0.0,C1014348659,0.0,367810.35
323,CASH_OUT,162173.72,C223898814,410863.0,248689.28,C1862390969,0.0,162173.72
323,CASH_OUT,127527.89,C219346685,13349.0,0.0,C1116071247,0.0,127527.89
323,PAYMENT,7124.25,C35885590,0.0,0.0,M74152800,0.0,0.0
323,CASH_IN,189678.32,C1243142863,162612.0,352290.32,C1628894200,1262933.22,1244765.82
323,CASH_OUT,155157.31,C1344759919,352290.32,197133.02,C1882931599,550377.45,705534.76
323,CASH_OUT,193318.12,C1309336415,197133.02,3814.9,C2112347820,1532363.22,1725681.34
323,CASH_OUT,213795.2,C300228997,3814.9,0.0,C1793933873,242053.08,455848.28
323,CASH_OUT,47985.07,C497504212,0.0,0.0,C496972452,61143.74,109128.8
323,CASH_OUT,60445.79,C1982343199,0.0,0.0,C781681722,169678.03,230123.82
323,CASH_OUT,343681.12,C1864445342,0.0,0.0,C2146116499,2.871619006E7,2.905987118E7
323,CASH_OUT,240774.12,C1475395830,0.0,0.0,C1347831468,2562001.49,2802775.61
323,CASH_OUT,319513.03,C1888418867,0.0,0.0,C819671620,1237984.47,1557497.5
323,CASH_OUT,131027.67,C1204902637,0.0,0.0,C898167909,1168207.7,1299235.37
