step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
551,PAYMENT,6798.29,C108510295,10758.0,3959.71,M1366432552,0.0,0.0
551,PAYMENT,2101.4,C1932244713,105746.0,103644.6,M407117840,0.0,0.0
551,PAYMENT,2285.33,C602579531,83412.0,81126.67,M1652573765,0.0,0.0
551,CASH_IN,278959.51,C1286744066,152.0,279111.51,C625904706,1155909.73,876950.22
551,PAYMENT,10974.21,C1968166180,1112.0,0.0,M54647100,0.0,0.0
551,TRANSFER,206528.76,C1670583679,203060.0,0.0,C1218981232,0.0,206528.76
551,CASH_OUT,396326.85,C1044169527,0.0,0.0,C850156849,707138.49,1103465.35
551,CASH_IN,101810.54,C902940449,161.0,101971.54,C1723134780,86241.59,0.0
551,CASH_IN,172568.66,C953442462,101971.54,274540.2,C1817821110,588402.13,415833.47
551,CASH_IN,354677.95,C1134014998,274540.2,629218.15,C1752731843,523910.59,169232.65
551,CASH_IN,104865.79,C468378664,629218.15,734083.93,C1413587179,268645.05,163779.26
551,CASH_IN,137980.59,C540655803,734083.93,872064.52,C1614590460,806494.94,668514.35
551,CASH_IN,2892.07,C997360818,872064.52,874956.59,C788751652,1.07103451E7,1.070745304E7
551,CASH_IN,54913.26,C1166776008,874956.59,929869.85,C640759121,86077.32,31164.06
551,CASH_IN,500426.95,C151843317,929869.85,1430296.8,C261684075,4020181.86,3519754.91
551,CASH_IN,232123.85,C1742656631,1430296.8,1662420.65,C541718636,358899.51,126775.67
551,CASH_IN,627520.79,C1218874154,1662420.65,2289941.44,C1232706569,3469597.76,2842076.96
551,CASH_IN,307778.31,C1367505184,2289941.44,2597719.75,C619415330,1990700.24,1682921.93
551,CASH_IN,76323.81,C1064286652,2597719.75,2674043.56,C702943840,1812122.14,1735798.33
551,CASH_IN,34800.96,C771997514,2674043.56,2708844.52,C1411631425,2620172.89,2585371.93
551,CASH_IN,36092.14,C1375768187,2708844.52,2744936.66,C2048612435,306828.13,270735.99
551,CASH_IN,27524.26,C277460578,2744936.66,2772460.93,C1998225975,471280.68,443756.41
551,CASH_IN,391687.06,C1391026070,2772460.93,3164147.99,C1790065167,1073642.49,681955.43
551,CASH_IN,150493.07,C1638089582,3164147.99,3314641.06,C1588535309,877478.07,726984.99
551,CASH_IN,9634.19,C931560055,3314641.06,3324275.25,C1225227081,416216.18,406581.99
551,CASH_IN,285928.84,C1784803395,3324275.25,3610204.1,C1001382840,2508830.39,2222901.55
551,CASH_IN,199030.95,C1919682422,3610204.1,3809235.04,C913872949,4334846.5,4135815.55
551,CASH_IN,20808.4,C154108518,3809235.04,3830043.44,C1701204690,1182875.18,1162066.79
551,CASH_IN,59239.12,C234751222,3830043.44,3889282.56,C355564168,157336.09,98096.97
551,CASH_IN,54741.53,C1752698594,3889282.56,3944024.09,C79337380,2767241.35,2712499.82
551,CASH_IN,163633.31,C2050876204,3944024.09,4107657.4,C111230437,508108.05,344474.74
551,CASH_IN,234987.26,C267674303,4107657.4,4342644.65,C7801771,1644030.0,1409042.75
551,CASH_IN,139685.22,C1926241795,4342644.65,4482329.88,C475084313,3197747.49,3058062.26
551,CASH_IN,184353.26,C1517748645,4482329.88,4666683.14,C934651204,548184.67,363831.4
551,CASH_IN,64098.14,C1338424644,4666683.14,4730781.28,C2023110606,88239.51,24141.36
551,CASH_IN,272608.77,C1661718425,4730781.28,5003390.05,C1901457099,668400.92,395792.15
551,CASH_IN,33458.98,C299492861,5003390.05,5036849.03,C1588276479,45880.83,12421.85
551,CASH_IN,206834.74,C1942070346,5036849.03,5243683.77,C1275944795,3633286.92,3426452.18
551,CASH_IN,19226.8,C160893931,5243683.77,5262910.57,C1394880381,576281.46,557054.67
551,CASH_IN,97426.77,C886925895,5262910.57,5360337.34,C255266646,389916.77,292490.0
551,CASH_IN,235120.29,C1786087212,5360337.34,5595457.63,C377025611,1.059820028E7,1.036307999E7
551,CASH_IN,22329.34,C342396380,5595457.63,5617786.97,C336175541,1.101393519E7,1.099160585E7
551,CASH_IN,309720.53,C630265065,5617786.97,5927507.5,C1171637864,2759130.91,2449410.37
551,CASH_IN,16612.9,C2051132750,5927507.5,5944120.39,C769670588,165475.5,148862.6
551,CASH_IN,30844.27,C1011575245,5944120.39,5974964.66,C812893001,107367.67,76523.41
551,CASH_IN,464505.79,C1813841397,5974964.66,6439470.45,C1939006341,1346133.59,881627.8
551,CASH_IN,282645.37,C1099326147,6439470.45,6722115.82,C655539519,585088.12,302442.75
551,CASH_IN,648437.47,C903474176,6722115.82,7370553.29,C835641999,718308.82,69871.35
551,CASH_IN,199254.51,C1388052087,7370553.29,7569807.8,C1918022278,7092317.46,6893062.96
551,CASH_IN,171563.59,C1443724152,7569807.8,7741371.39,C876312464,342913.89,171350.3
551,CASH_IN,129372.37,C611293952,7741371.39,7870743.76,C755320675,595238.95,465866.58
551,CASH_IN,3319.73,C1588386401,7870743.76,7874063.49,C442513892,39460.94,36141.21
551,CASH_IN,89749.5,C1407831941,7874063.49,7963812.99,C843579992,120661.15,30911.65
551,CASH_IN,129118.3,C1845671995,7963812.99,8092931.29,C877147338,391705.59,262587.29
551,CASH_IN,141237.0,C913148256,8092931.29,8234168.29,C1721511964,1758249.36,1617012.37
551,CASH_IN,191773.86,C246030878,8234168.29,8425942.15,C743756731,1117867.83,926093.97
