step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
90,TRANSFER,1182557.97,C787624212,1182557.97,0.0,C707993034,0.0,0.0
90,CASH_OUT,1182557.97,C1336389651,1182557.97,0.0,C4347362,141273.74,1323831.71
90,TRANSFER,113309.55,C20934995,113309.55,0.0,C601864422,0.0,0.0
90,CASH_OUT,113309.55,C1936469791,113309.55,0.0,C471979620,0.0,113309.55
90,TRANSFER,703833.48,C199695016,703833.48,0.0,C1584778754,0.0,0.0
90,CASH_OUT,703833.48,C973257095,703833.48,0.0,C782817814,0.0,703833.48
90,TRANSFER,134515.36,C1087234685,134515.36,0.0,C271149484,0.0,0.0
90,CASH_OUT,134515.36,C1389046188,134515.36,0.0,C257288692,29488.06,164003.41
90,TRANSFER,266746.42,C1640647431,266746.42,0.0,C1995045376,0.0,0.0
90,CASH_OUT,266746.42,C1311443000,266746.42,0.0,C1414013313,4433931.77,4700678.19
90,TRANSFER,7696836.35,C1641731466,7696836.35,0.0,C290559240,0.0,0.0
90,CASH_OUT,7696836.35,C1784092244,7696836.35,0.0,C646123724,180993.45,7877829.8
90,TRANSFER,39664.74,C1509358186,39664.74,0.0,C2068734277,0.0,0.0
90,CASH_OUT,39664.74,C1334465444,39664.74,0.0,C247088283,0.0,39664.74
90,TRANSFER,249791.3,C2018224474,249791.3,0.0,C1562137241,0.0,0.0
90,CASH_OUT,249791.3,C712828337,249791.3,0.0,C1973032153,0.0,249791.3
