step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
641,TRANSFER,2938833.22,C764985389,2938833.22,0.0,C1105589576,0.0,0.0
641,CASH_OUT,2938833.22,C821430696,2938833.22,0.0,C187106136,0.0,2938833.22
641,TRANSFER,2205.55,C25477587,2205.55,0.0,C234682668,0.0,0.0
641,CASH_OUT,2205.55,C1938167452,2205.55,0.0,C700621528,262952.99,265158.54
641,TRANSFER,115599.26,C615237336,115599.26,0.0,C418577182,0.0,0.0
641,CASH_OUT,115599.26,C649566267,115599.26,0.0,C1937119864,2621088.84,2736688.1
641,TRANSFER,2666139.51,C18505575,2666139.51,0.0,C140141487,0.0,0.0
641,CASH_OUT,2666139.51,C1114344238,2666139.51,0.0,C1868182822,1193425.04,3859564.55
641,TRANSFER,19646.09,C948701373,19646.09,0.0,C1700955983,0.0,0.0
641,CASH_OUT,19646.09,C585116119,19646.09,0.0,C275095873,0.0,19646.09
