step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
273,CASH_OUT,107819.88,C1378779350,5517.0,0.0,C1029472813,1132760.49,1240580.37
273,PAYMENT,5259.79,C1902356962,0.0,0.0,M1508151334,0.0,0.0
273,PAYMENT,719.33,C428641452,31187.0,30467.67,M1065518971,0.0,0.0
273,PAYMENT,588.02,C1396835792,312254.0,311665.98,M786090558,0.0,0.0
273,CASH_OUT,222865.9,C1406065317,9070.0,0.0,C531051422,330888.2,553754.1
273,PAYMENT,6389.21,C2027697912,0.0,0.0,M1005830326,0.0,0.0
273,PAYMENT,3708.05,C1124099788,140209.0,136500.95,M1715378171,0.0,0.0
273,PAYMENT,2137.56,C2135692850,494.0,0.0,M1520406301,0.0,0.0
273,CASH_OUT,266023.17,C443131012,152480.0,0.0,C791948783,1041076.19,1307099.36
273,CASH_IN,97378.13,C150628733,434.0,97812.13,C538526184,2130994.78,2033616.65
273,CASH_IN,145283.33,C395842518,101099.0,246382.33,C759719831,0.0,0.0
273,CASH_OUT,115992.13,C827949407,246382.33,130390.2,C679749324,1550729.66,1666721.78
273,CASH_IN,165189.04,C1715691124,84041.0,249230.04,C1218317832,452780.85,287591.81
273,CASH_OUT,132104.01,C1026126400,20174.0,0.0,C1563901481,0.0,132104.01
273,PAYMENT,3563.88,C1786302608,40262.0,36698.12,M391575545,0.0,0.0
273,PAYMENT,2933.05,C1796914073,85345.0,82411.95,M500658120,0.0,0.0
273,CASH_OUT,53377.77,C830984370,82411.95,29034.18,C1640307808,266741.41,320119.18
273,PAYMENT,5733.4,C298713156,10409.0,4675.6,M792110999,0.0,0.0
273,CASH_OUT,145808.38,C163132566,166040.0,20231.62,C910869360,105937.19,251745.56
273,TRANSFER,27297.39,C112486227,272.0,0.0,C1924030244,0.0,27297.39
273,PAYMENT,6784.78,C1738120161,0.0,0.0,M2106163866,0.0,0.0
273,CASH_OUT,84660.22,C1037308985,970.0,0.0,C1895069436,0.0,84660.22
273,CASH_OUT,37347.18,C411001391,0.0,0.0,C1388283017,160213.0,197560.18
273,CASH_OUT,136263.76,C865252434,178.0,0.0,C1836396382,17074.51,153338.27
273,PAYMENT,921.05,C37645800,0.0,0.0,M534172746,0.0,0.0
273,PAYMENT,8917.97,C2086380421,19956.0,11038.03,M1515038840,0.0,0.0
273,PAYMENT,10303.65,C728616948,8070.0,0.0,M45099607,0.0,0.0
273,TRANSFER,513457.58,C601286159,0.0,0.0,C2108468076,555904.65,1069362.23
273,CASH_OUT,184609.76,C342852709,20359.0,0.0,C607044990,56110.89,240720.65
273,CASH_OUT,223932.01,C1371073395,41520.0,0.0,C1633218398,218429.21,442361.22
273,CASH_OUT,381115.72,C1389990273,700852.0,319736.28,C657305352,60016.66,441132.38
273,PAYMENT,7976.25,C1185674059,380.0,0.0,M772741975,0.0,0.0
273,CASH_IN,152080.74,C947560086,1732.0,153812.74,C254607175,291124.39,139043.65
273,CASH_IN,96057.02,C640767361,54786.0,150843.02,C1353207956,312746.93,216689.91
273,PAYMENT,4210.47,C1058655143,150843.02,146632.55,M1763359408,0.0,0.0
273,CASH_OUT,101156.02,C91752235,111101.0,9944.98,C2053933390,71396.64,172552.65
273,PAYMENT,2322.6,C692701016,11542.0,9219.4,M1492935973,0.0,0.0
273,PAYMENT,10035.56,C1678744496,9219.4,0.0,M562792773,0.0,0.0
273,TRANSFER,542624.5,C1176496427,274.0,0.0,C66197115,60175.7,602800.19
273,TRANSFER,243983.56,C2104588672,0.0,0.0,C323391583,914838.19,1158821.75
273,TRANSFER,287886.91,C1706798981,0.0,0.0,C1310044034,346416.73,634303.64
273,CASH_IN,39083.52,C411554774,2430.0,41513.52,C8646127,32179.42,0.0
273,PAYMENT,1313.18,C560478044,23420.0,22106.82,M1470359432,0.0,0.0
273,CASH_IN,114824.96,C1868348798,10621.0,125445.96,C26592956,846663.86,731838.9
273,CASH_OUT,35704.11,C1231280672,11269.0,0.0,C141480986,1912493.48,1948197.59
273,CASH_IN,263533.64,C693225095,130913.0,394446.64,C428293894,0.0,0.0
273,CASH_OUT,72409.54,C1627847554,75404.0,2994.46,C822237796,1891105.82,1963515.36
273,PAYMENT,10465.33,C1807424913,33219.0,22753.67,M1021208604,0.0,0.0
273,TRANSFER,764835.95,C454882558,244570.0,0.0,C1813635903,0.0,764835.95
273,CASH_OUT,202809.12,C1292949236,10219.0,0.0,C895523235,930213.69,1133022.81
273,PAYMENT,5316.38,C2121538898,10731.0,5414.62,M824509448,0.0,0.0
273,PAYMENT,9903.97,C1306701270,5091.0,0.0,M109995496,0.0,0.0
273,PAYMENT,3534.54,C1489925862,0.0,0.0,M1095904435,0.0,0.0
273,CASH_OUT,15156.97,C419870034,538.0,0.0,C1198822986,615730.41,630887.38
273,PAYMENT,3365.51,C1825710783,9380.0,6014.49,M1191182469,0.0,0.0
273,PAYMENT,1402.95,C401050466,6014.49,4611.55,M1004998889,0.0,0.0
273,DEBIT,4941.81,C1180502768,70046.0,65104.19,C1906241584,4084332.98,4089274.79
273,CASH_OUT,41010.95,C18755222,33488.0,0.0,C1513776821,1541414.89,1582425.84
273,CASH_IN,137916.0,C705235276,313074.0,450990.0,C877038894,0.0,0.0
273,CASH_OUT,59292.1,C694822076,20768.0,0.0,C862788692,3961417.73,4256432.8
273,CASH_OUT,308596.14,C130986475,0.0,0.0,C1687405636,1289581.11,1598177.26
273,CASH_OUT,129473.64,C2002011418,461012.0,331538.36,C46861683,178634.41,308108.05
273,PAYMENT,7308.73,C368406997,399956.0,392647.27,M1833105427,0.0,0.0
273,CASH_IN,120527.08,C527519161,21230.0,141757.08,C1241827148,0.0,0.0
273,CASH_IN,71550.72,C1247328216,21255.0,92805.72,C1111564933,457509.03,385958.31
273,CASH_OUT,2767.61,C1956449439,51886.0,49118.39,C260794363,236209.99,238977.6
273,PAYMENT,1100.53,C249946239,101263.0,100162.47,M468478111,0.0,0.0
273,PAYMENT,8395.02,C335931981,11584.0,3188.98,M140572070,0.0,0.0
273,TRANSFER,368807.62,C690424525,26831.0,0.0,C188898692,233353.57,602161.19
273,CASH_OUT,106534.19,C1366763494,27493.0,0.0,C1113251936,43125.42,149659.61
273,CASH_OUT,119810.13,C1788606471,0.0,0.0,C1383789371,702175.01,821985.14
273,PAYMENT,4917.99,C1700392247,307834.0,302916.01,M1958339123,0.0,0.0
273,PAYMENT,4139.85,C471446357,18389.0,14249.15,M695679761,0.0,0.0
273,DEBIT,3651.45,C57494365,10443.0,6791.55,C782358990,2223708.3,2227359.75
273,CASH_OUT,5587.96,C947816825,6791.55,1203.59,C727708879,1.053196127E7,1.053754923E7
273,CASH_OUT,243339.35,C1772885560,32152.0,0.0,C1301907612,6084708.78,6328048.13
273,CASH_IN,47367.8,C2031290287,6.0,47373.8,C674974040,101681.26,54313.45
273,PAYMENT,4247.99,C281910387,47373.8,43125.81,M1546975826,0.0,0.0
273,PAYMENT,6101.27,C1428175418,685.0,0.0,M888103246,0.0,0.0
273,CASH_OUT,263087.11,C1211981220,263056.0,0.0,C1130937285,613925.51,877012.62
273,PAYMENT,492.18,C857790619,101976.0,101483.82,M1736824111,0.0,0.0
273,PAYMENT,3002.66,C682573184,26932.0,23929.34,M182293836,0.0,0.0
273,PAYMENT,4807.49,C1066164364,1136.0,0.0,M1986651903,0.0,0.0
273,CASH_OUT,194565.28,C662406799,28377.0,0.0,C1458119290,914425.7,1108990.98
273,CASH_IN,196494.21,C1097470169,4667.0,201161.21,C1580242375,341643.24,145149.03
273,CASH_OUT,31325.17,C499023992,40527.0,9201.83,C1413977187,0.0,31325.17
273,PAYMENT,7548.25,C609866542,157275.0,149726.75,M1601005268,0.0,0.0
273,CASH_OUT,75600.27,C1309694264,1721.0,0.0,C1314603465,4338644.58,4414244.85
273,CASH_IN,235550.58,C667205058,52617.0,288167.58,C358659220,0.0,302944.71
273,PAYMENT,6416.1,C1307495095,42271.0,35854.9,M2038521368,0.0,0.0
273,CASH_OUT,141512.57,C890507657,35854.9,0.0,C534094419,1032176.49,1173689.06
273,PAYMENT,8170.86,C935104580,51456.0,43285.14,M205279094,0.0,0.0
273,CASH_OUT,50722.77,C2134815095,11305.0,0.0,C1586057804,1.051898085E7,1.056970362E7
273,CASH_OUT,121822.85,C1781755712,0.0,0.0,C2129069753,444041.68,984690.78
273,PAYMENT,1829.14,C962522354,83928.0,82098.86,M1467437904,0.0,0.0
273,CASH_OUT,181699.21,C1573447104,170777.0,0.0,C439597321,293689.53,475388.74
273,PAYMENT,69.35,C745588822,0.0,0.0,M1653053526,0.0,0.0
273,PAYMENT,2405.4,C260549253,64469.0,62063.6,M360429648,0.0,0.0
273,PAYMENT,4092.69,C1063510225,10508.0,6415.31,M1635293763,0.0,0.0
273,TRANSFER,231608.1,C1394202475,105195.0,0.0,C452168763,1564690.27,1796298.37
273,TRANSFER,166017.22,C468212832,5621.0,0.0,C801578245,419402.72,585419.94
273,CASH_OUT,115823.98,C992826020,0.0,0.0,C602824,1382189.58,1498013.56
273,CASH_OUT,115966.25,C513961216,0.0,0.0,C1422719914,687602.12,803568.37
273,CASH_OUT,269567.56,C60642096,0.0,0.0,C889023797,671049.43,940616.99
273,CASH_OUT,88277.33,C1523516543,0.0,0.0,C1137527238,146107.65,234384.98
273,CASH_OUT,194493.03,C195479024,0.0,0.0,C193826743,8528050.63,8722543.66
273,CASH_OUT,6440.67,C115438569,0.0,0.0,C565312299,4358684.84,4365125.51
273,CASH_OUT,80230.84,C1863099606,0.0,0.0,C1259172957,4980332.48,5060563.32
273,CASH_OUT,205490.92,C1304603060,0.0,0.0,C1481151941,411893.6,617384.52
273,CASH_OUT,216991.4,C1895201977,0.0,0.0,C164238707,2822202.52,3039193.92
273,CASH_OUT,115896.51,C2105882485,0.0,0.0,C1865765440,551581.0,667477.51
273,CASH_OUT,1820.25,C1998915079,0.0,0.0,C981183578,347767.83,349588.08
273,CASH_OUT,52511.83,C796040798,0.0,0.0,C291771058,611115.73,663627.56
273,CASH_OUT,15456.53,C1822571709,0.0,0.0,C1095974001,1741465.22,1756921.74
273,CASH_OUT,20887.9,C952664259,0.0,0.0,C558619640,3597539.9,3618427.8
273,CASH_OUT,30076.62,C1728232675,0.0,0.0,C1220318856,1184506.27,1214582.9
273,CASH_OUT,220418.52,C1547263539,0.0,0.0,C549170314,782889.15,1003307.67
273,CASH_OUT,76871.02,C562288349,0.0,0.0,C1574777974,2570377.05,2647248.07
273,CASH_OUT,206039.61,C1571914934,0.0,0.0,C866529559,1324889.59,1530929.2
273,CASH_OUT,151761.44,C791076423,0.0,0.0,C1127603103,4384008.24,4535769.68
273,CASH_OUT,119576.15,C972604758,0.0,0.0,C634528209,153115.25,272691.4
273,PAYMENT,2617.71,C116578698,9589.0,6971.29,M1463249366,0.0,0.0
273,PAYMENT,2834.77,C1316635025,201.0,0.0,M836235133,0.0,0.0
273,PAYMENT,2429.45,C569990724,78303.0,75873.55,M1307376244,0.0,0.0
273,CASH_OUT,90771.15,C1359367313,19278.0,0.0,C176353347,8255.2,99026.35
273,CASH_OUT,230003.6,C1596259787,27964.0,0.0,C511995184,0.0,230003.6
273,CASH_IN,135685.36,C885293845,54256.0,189941.36,C2104171815,1509378.01,1373692.65
273,PAYMENT,10788.22,C517075107,189941.36,179153.14,M2102412588,0.0,0.0
273,CASH_IN,20396.61,C98706920,10766.0,31162.61,C1322896110,1034261.76,1013865.15
273,PAYMENT,5889.3,C363778666,31162.61,25273.31,M82541716,0.0,0.0
273,PAYMENT,25685.87,C2070753280,25273.31,0.0,M1874106336,0.0,0.0
273,CASH_OUT,61048.36,C208283134,9947.0,0.0,C1153924624,0.0,61048.36
273,CASH_OUT,65059.32,C1404757819,7014.0,0.0,C1896566930,1253735.95,1318795.27
273,CASH_OUT,82027.12,C1095053436,0.0,0.0,C1934277026,1457510.94,1539538.06
273,PAYMENT,2299.79,C176530467,25412.0,23112.21,M1461527896,0.0,0.0
273,CASH_OUT,173090.75,C1394250687,170.0,0.0,C2075502161,2333787.2,2506877.96
273,CASH_OUT,105869.19,C1001693040,155033.0,49163.81,C2023077528,0.0,105869.19
273,CASH_OUT,244476.94,C481792153,231947.0,0.0,C286287757,313283.54,557760.48
273,TRANSFER,628494.53,C574505394,0.0,0.0,C191656756,3063899.04,3692393.57
273,PAYMENT,1134.05,C633256225,195436.0,194301.95,M988741113,0.0,0.0
273,CASH_OUT,190257.96,C444432741,578.0,0.0,C561661674,20307.53,210565.49
273,CASH_OUT,247348.49,C1243504713,21038.0,0.0,C1072965138,191225.15,438573.64
273,PAYMENT,2416.72,C439988122,114390.0,111973.28,M1475713041,0.0,0.0
273,PAYMENT,8377.92,C561339683,111973.28,103595.36,M416312684,0.0,0.0
273,CASH_IN,23527.53,C1329742995,156698.0,180225.53,C387758784,0.0,0.0
273,TRANSFER,63477.29,C873228410,28088.0,0.0,C1589240859,0.0,63477.29
273,CASH_OUT,116529.21,C1058781085,52750.0,0.0,C984944353,169600.68,286129.89
273,TRANSFER,189527.89,C616240671,329.0,0.0,C1479493105,1451930.98,1641458.87
273,TRANSFER,50803.82,C2038479047,0.0,0.0,C781283383,108683.12,159486.94
273,CASH_OUT,87608.3,C781733941,42055.0,0.0,C1475616083,3262028.46,3349636.76
273,TRANSFER,386781.85,C1281211684,123294.0,0.0,C1135419468,0.0,386781.85
273,PAYMENT,161.55,C808075614,6921.0,6759.45,M1284542748,0.0,0.0
273,CASH_OUT,42120.45,C551909699,6759.45,0.0,C544948057,68532.52,110652.98
273,CASH_OUT,91495.56,C24138982,0.0,0.0,C813282794,4809249.8,4900745.36
273,CASH_OUT,19051.2,C1672660263,0.0,0.0,C1074521985,388013.52,407064.72
273,CASH_OUT,228886.0,C727887932,0.0,0.0,C276335364,2539732.74,2768618.75
273,CASH_OUT,65337.91,C541522802,0.0,0.0,C1535348211,616370.83,681708.74
273,CASH_OUT,77859.52,C588401912,0.0,0.0,C177896239,1643498.23,1721357.74
273,CASH_OUT,124104.52,C1459371584,0.0,0.0,C203082427,2153282.52,2277387.04
273,CASH_OUT,386511.04,C1747032051,0.0,0.0,C1380720615,4763022.24,5149533.28
273,CASH_OUT,188352.98,C2141945070,0.0,0.0,C2009999847,424533.94,612886.91
273,CASH_OUT,129632.84,C1324325487,0.0,0.0,C1897800945,2701532.01,2831164.86
273,CASH_OUT,145943.3,C2044113868,0.0,0.0,C1522988108,436436.25,582379.55
273,CASH_OUT,23722.05,C497827082,0.0,0.0,C1569446172,546980.39,570702.44
273,CASH_OUT,284585.82,C960790109,0.0,0.0,C318559146,687586.93,972172.75
273,CASH_OUT,131148.72,C197834744,0.0,0.0,C289267125,260517.9,391666.63
273,CASH_OUT,93134.27,C1204694430,0.0,0.0,C610039681,598876.75,692011.02
273,CASH_OUT,621134.91,C1005980672,0.0,0.0,C795792274,961716.81,1582851.72
273,CASH_OUT,238734.83,C567946165,0.0,0.0,C1455289433,3087399.14,3326133.98
273,CASH_OUT,139260.41,C2146516225,0.0,0.0,C666952576,2742559.32,2881819.73
273,CASH_OUT,8818.57,C1231379900,0.0,0.0,C1361864867,7607833.69,7616652.25
273,CASH_OUT,418826.25,C1115217564,0.0,0.0,C2129069753,565864.53,984690.78
273,CASH_OUT,251958.29,C848286437,0.0,0.0,C235330358,538777.32,790735.61
273,CASH_OUT,326984.8,C1155594368,0.0,0.0,C1027240766,1297030.69,1624015.49
273,CASH_OUT,272337.58,C663471389,0.0,0.0,C1000656618,485506.06,757843.64
273,CASH_OUT,220457.76,C595813198,0.0,0.0,C49435093,460731.71,681189.47
273,CASH_OUT,146386.33,C1876395297,0.0,0.0,C1579799462,1041322.3,1187708.63
273,CASH_OUT,143249.76,C749753507,0.0,0.0,C539518538,219979.34,363229.1
273,CASH_OUT,180132.2,C1441455877,0.0,0.0,C711278951,2323078.24,2503210.44
273,CASH_OUT,26208.48,C1833652197,0.0,0.0,C1003703444,1083893.08,1110101.56
273,CASH_OUT,30614.99,C1046880736,0.0,0.0,C1709928171,308693.92,339308.92
273,CASH_OUT,176883.61,C282951619,0.0,0.0,C1952174331,4775390.37,4952273.99
273,CASH_OUT,4651.18,C323782698,0.0,0.0,C630207657,436102.6,440753.78
273,CASH_OUT,217406.14,C617601473,0.0,0.0,C424754948,356935.29,574341.43
273,CASH_OUT,198522.84,C732530073,0.0,0.0,C770165681,1.108919742E7,1.128772026E7
273,CASH_OUT,483244.1,C1358025800,0.0,0.0,C539080733,865139.48,1348383.57
273,CASH_OUT,381723.48,C663428004,0.0,0.0,C682551196,388202.86,769926.34
273,CASH_OUT,281780.78,C2102452037,0.0,0.0,C413342334,3892172.93,4173953.72
273,CASH_OUT,84267.97,C439490619,0.0,0.0,C703997481,194834.24,279102.2
273,CASH_OUT,121321.38,C1145031841,0.0,0.0,C1880231970,2743634.13,2864955.51
273,CASH_OUT,297891.12,C999733689,0.0,0.0,C1928612235,1052256.64,1350147.76
273,CASH_OUT,210176.53,C1086841721,0.0,0.0,C1795790807,450673.97,660850.51
273,CASH_OUT,82103.06,C1245628570,0.0,0.0,C1333907088,645619.69,727722.75
273,CASH_OUT,193338.83,C1885228984,0.0,0.0,C1440122771,314159.87,507498.7
273,CASH_OUT,10870.72,C2123070331,0.0,0.0,C1749206079,151385.91,162256.63
273,CASH_OUT,249857.56,C27821048,0.0,0.0,C1799410758,3356429.21,3606286.77
273,CASH_OUT,49615.25,C1039069519,0.0,0.0,C1429996969,426855.41,476470.66
273,CASH_OUT,137911.97,C1070549701,0.0,0.0,C267096524,169573.94,307485.92
273,CASH_OUT,18306.0,C448442084,0.0,0.0,C1343381224,1162528.16,1180834.16
273,CASH_OUT,110652.16,C1606961416,0.0,0.0,C1216174282,247769.5,358421.66
273,CASH_OUT,111874.39,C359051063,0.0,0.0,C282118305,5850231.79,5962106.18
273,CASH_OUT,201077.56,C1345996348,0.0,0.0,C323358650,1523867.41,1724944.97
273,CASH_OUT,235722.97,C532156241,0.0,0.0,C862788692,4020709.82,4256432.8
273,CASH_OUT,269407.92,C36013479,0.0,0.0,C1136419747,6400695.96,6670103.88
273,CASH_OUT,326142.93,C580554179,0.0,0.0,C1625040461,848618.57,1174761.5
273,CASH_OUT,214582.49,C538129418,0.0,0.0,C800919244,331115.12,545697.61
273,CASH_OUT,420222.63,C2131654110,0.0,0.0,C978154663,969086.65,1389309.27
273,CASH_OUT,37145.88,C1361633061,0.0,0.0,C2027923063,806765.36,843911.24
273,CASH_OUT,14032.01,C665494614,0.0,0.0,C1970488896,330864.58,344896.59
273,CASH_OUT,56054.87,C513828813,0.0,0.0,C1548512809,177633.06,233687.92
273,CASH_OUT,23909.1,C311181634,0.0,0.0,C799280913,1.320115442E7,1.322506352E7
273,CASH_OUT,37381.64,C97154497,0.0,0.0,C1884972603,2701426.74,2738808.39
273,CASH_OUT,118579.37,C2008082746,0.0,0.0,C460549861,204407.56,322986.93
273,CASH_OUT,104473.27,C1781753358,0.0,0.0,C1881174947,666237.68,770710.95
273,CASH_OUT,85767.62,C440773723,0.0,0.0,C1782834303,438737.62,524505.24
273,CASH_OUT,54260.86,C1282913967,0.0,0.0,C1185168562,400851.56,455112.43
273,CASH_OUT,190222.41,C1023311650,0.0,0.0,C803319258,1595814.75,1786037.16
273,CASH_OUT,72556.55,C1301048741,0.0,0.0,C1339361343,153215.9,225772.45
273,CASH_OUT,75750.91,C2057058107,0.0,0.0,C562553373,412791.47,488542.38
273,CASH_OUT,64649.6,C196031497,0.0,0.0,C1354441196,325807.67,390457.27
273,CASH_OUT,73632.24,C1147620657,0.0,0.0,C1650742132,129580.15,203212.39
273,CASH_OUT,171371.42,C1789452637,0.0,0.0,C860841894,844030.97,1015402.38
273,CASH_OUT,334109.0,C1897277148,0.0,0.0,C1220395687,2906044.95,3240153.95
273,CASH_OUT,85575.53,C65751947,0.0,0.0,C2079557365,2389877.08,2475452.61
273,TRANSFER,137982.29,C2107342850,49929.0,0.0,C645855295,1017592.63,1155574.92
273,PAYMENT,86.25,C1343497445,29426.0,29339.75,M276089085,0.0,0.0
273,CASH_OUT,116047.92,C1234857579,29339.75,0.0,C833199922,808368.51,924416.43
273,CASH_OUT,186858.79,C1755344074,0.0,0.0,C2072164244,1612335.49,1799194.28
273,CASH_OUT,182820.1,C425872951,0.0,0.0,C2122926659,644493.42,827313.53
273,CASH_OUT,166156.32,C803692230,0.0,0.0,C1432077169,1087208.96,1253365.27
273,CASH_OUT,35061.71,C898929767,0.0,0.0,C1876743315,3819847.17,3854908.88
273,CASH_OUT,12729.22,C1589209123,0.0,0.0,C730072414,2198953.73,2211682.95
273,CASH_OUT,6302.35,C1436653109,0.0,0.0,C786420622,1.054065026E7,1.054695261E7
