step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
411,TRANSFER,427373.65,C985224754,427373.65,0.0,C2110832776,0.0,0.0
411,CASH_OUT,427373.65,C1090338431,427373.65,0.0,C347796427,64983.82,492357.46
411,TRANSFER,1.0E7,C179802055,1.206831394E7,2068313.94,C845099418,0.0,0.0
411,CASH_OUT,1.0E7,C1299526002,1.0E7,0.0,C1744662180,0.0,1.0E7
411,TRANSFER,2068313.94,C1024321064,2068313.94,0.0,C285826944,0.0,0.0
411,CASH_OUT,2068313.94,C338311472,2068313.94,0.0,C1131834798,0.0,2068313.94
411,TRANSFER,1464008.18,C576017861,1464008.18,0.0,C2007796943,0.0,0.0
411,CASH_OUT,1464008.18,C1187974748,1464008.18,0.0,C1271941656,0.0,1464008.18
411,TRANSFER,365069.45,C337746955,365069.45,0.0,C1144989996,0.0,0.0
411,CASH_OUT,365069.45,C1359467526,365069.45,0.0,C142819942,1033912.43,1398981.88
411,TRANSFER,281023.82,C1500797086,281023.82,0.0,C1892705319,0.0,0.0
411,CASH_OUT,281023.82,C1744244738,281023.82,0.0,C1290764514,0.0,281023.82
411,TRANSFER,1240717.75,C2142112051,1240717.75,0.0,C853827129,0.0,0.0
411,CASH_OUT,1240717.75,C275137828,1240717.75,0.0,C989949797,144986.76,1385704.52
411,TRANSFER,6370726.84,C303116308,6370726.84,0.0,C1806524190,0.0,0.0
411,CASH_OUT,6370726.84,C523292689,6370726.84,0.0,C1072409344,49570.47,6420297.31
