step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
664,CASH_IN,149644.68,C1156989146,347986.0,497630.68,C795080540,0.0,0.0
664,CASH_OUT,46612.91,C1384224977,12321.0,0.0,C1979253644,0.0,46612.91
664,TRANSFER,628722.75,C332177409,7897.0,0.0,C1955190645,1781006.9,2409729.65
664,CASH_IN,368231.22,C535733262,226.0,368457.22,C1059468012,618774.13,250542.91
664,PAYMENT,8107.21,C1776863161,368457.22,360350.01,M938577221,0.0,0.0
664,DEBIT,796.02,C1103888146,18330.0,17533.98,C1276865588,194769.17,195565.19
664,PAYMENT,29023.89,C728755697,17533.98,0.0,M68497962,0.0,0.0
664,CASH_OUT,83852.67,C1068833864,11784.0,0.0,C1772867605,574032.05,657884.73
664,CASH_IN,286604.15,C563632067,181.0,286785.15,C1439597351,0.0,0.0
664,PAYMENT,19082.18,C1976313444,20035.0,952.82,M1483071125,0.0,0.0
664,PAYMENT,8986.96,C1327877773,106082.0,97095.04,M744537829,0.0,0.0
664,PAYMENT,1750.7,C940265995,97095.04,95344.34,M1315746537,0.0,0.0
664,CASH_IN,177438.48,C802970639,286.0,177724.48,C2125141074,134326.75,0.0
664,CASH_OUT,125497.95,C115497095,48597.0,0.0,C1848795746,0.0,125497.95
664,CASH_OUT,290818.3,C1679546714,4091.0,0.0,C1556134384,0.0,290818.3
664,CASH_OUT,102561.52,C1330365642,0.0,0.0,C219551556,300447.67,403009.2
664,CASH_OUT,96562.44,C45798664,34638.0,0.0,C1532944056,0.0,96562.44
664,CASH_IN,519176.64,C369656760,193521.0,712697.64,C1676541667,424796.0,0.0
664,CASH_IN,115585.53,C753097002,200428.0,316013.53,C1061394323,456004.12,340418.58
664,CASH_OUT,286759.04,C1033872872,100143.0,0.0,C546443644,0.0,286759.04
664,CASH_OUT,35117.72,C1775838662,11087.0,0.0,C986867205,144631.64,179749.36
