step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
561,TRANSFER,1383818.98,C833791313,1383818.98,0.0,C586813963,0.0,0.0
561,CASH_OUT,1383818.98,C602727752,1383818.98,0.0,C1182308451,26146.79,1409965.77
561,TRANSFER,31945.44,C432306592,31945.44,0.0,C1736640771,0.0,0.0
561,CASH_OUT,31945.44,C366088606,31945.44,0.0,C1251565216,95415.09,127360.53
561,TRANSFER,2763025.35,C829335128,2763025.35,0.0,C897120803,0.0,0.0
561,CASH_OUT,2763025.35,C1978450840,2763025.35,0.0,C1939942308,74021.98,2837047.33
561,TRANSFER,285294.11,C1340063228,285294.11,0.0,C1532572341,0.0,0.0
561,CASH_OUT,285294.11,C1241779064,285294.11,0.0,C1539330075,181588.17,466882.27
561,TRANSFER,615954.92,C114731289,615954.92,0.0,C236726278,0.0,0.0
561,CASH_OUT,615954.92,C1033091830,615954.92,0.0,C690014487,3271323.95,3887278.88
561,TRANSFER,348983.86,C2059773310,348983.86,0.0,C1170744604,0.0,0.0
561,CASH_OUT,348983.86,C1006058561,348983.86,0.0,C235524557,73131.44,422115.3
561,TRANSFER,897131.97,C140166215,897131.97,0.0,C187205970,0.0,0.0
561,CASH_OUT,897131.97,C675187632,897131.97,0.0,C1138443516,533166.71,1430298.68
561,TRANSFER,2329379.8,C2139567516,2329379.8,0.0,C411313831,0.0,0.0
561,CASH_OUT,2329379.8,C2098207513,2329379.8,0.0,C1426455605,53551.16,2382930.96
