step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
379,PAYMENT,4349.85,C1253256779,61649.0,57299.15,M296539644,0.0,0.0
379,CASH_OUT,47474.33,C1569215878,6228.0,0.0,C927912679,0.0,47474.33
379,CASH_OUT,156237.66,C1944456465,1572.0,0.0,C1990227726,0.0,156237.66
379,PAYMENT,8766.02,C552903760,34503.0,25736.98,M1468044935,0.0,0.0
379,TRANSFER,775432.73,C1211882900,19891.0,0.0,C1800007051,441846.82,1217279.55
379,CASH_OUT,172559.49,C192335623,102388.0,0.0,C1241934533,4071148.59,4243708.08
379,TRANSFER,270473.9,C237321245,21209.0,0.0,C1369500595,293881.7,564355.61
379,CASH_OUT,159980.19,C1564653552,37768.0,0.0,C1181818998,1193438.02,1353418.21
379,CASH_OUT,70374.61,C1266878129,0.0,0.0,C1191637378,126884.91,197259.52
379,CASH_IN,299921.24,C1982916145,60710.0,360631.24,C1179733152,2993147.33,2693226.1
379,CASH_OUT,109302.91,C1364392254,30169.0,0.0,C1173407849,2438692.65,2547995.56
379,CASH_IN,327168.9,C426191315,20129.0,347297.9,C1909704608,476524.68,149355.78
379,CASH_IN,277168.27,C1241649856,111.0,277279.27,C2050124910,8861819.53,8584651.27
379,CASH_OUT,216655.69,C1005741279,31280.0,0.0,C470529057,3925664.1,4142319.79
379,CASH_IN,48789.98,C2100294038,140311.0,189100.98,C888123035,1727584.48,1678794.5
379,CASH_OUT,83928.04,C1562797649,261.0,0.0,C859483790,0.0,83928.04
379,PAYMENT,30905.31,C124316455,588.0,0.0,M789885833,0.0,0.0
379,CASH_OUT,48458.26,C766858428,12138.0,0.0,C1914562959,4.865588427E7,4.870434253E7
379,CASH_IN,176935.67,C1137683381,6189.0,183124.67,C2078175133,3427789.81,3250854.15
379,CASH_IN,99495.2,C54411576,70039.0,169534.2,C100604492,86701.0,0.0
379,PAYMENT,18151.47,C154935853,11151.0,0.0,M246122242,0.0,0.0
379,CASH_IN,20237.58,C805767009,12109.0,32346.58,C1078262050,0.0,0.0
379,PAYMENT,6152.28,C1094821848,108.0,0.0,M696572055,0.0,0.0
379,PAYMENT,9689.55,C2076563762,0.0,0.0,M1936848164,0.0,0.0
379,PAYMENT,21224.83,C1069736949,0.0,0.0,M814601466,0.0,0.0
379,PAYMENT,6257.42,C1700038544,331517.0,325259.58,M426804939,0.0,0.0
379,PAYMENT,10075.16,C822412123,325259.58,315184.42,M1878076293,0.0,0.0
379,TRANSFER,717047.96,C777542124,198220.0,0.0,C1587624737,2912717.21,3629765.17
379,PAYMENT,16060.46,C855884850,10487.0,0.0,M704972498,0.0,0.0
379,CASH_OUT,192489.93,C1288613140,29446.0,0.0,C874688826,0.0,192489.93
379,PAYMENT,26508.94,C548735576,696.0,0.0,M230320168,0.0,0.0
379,CASH_OUT,164273.42,C260824283,20261.0,0.0,C1243192265,569578.48,733851.9
379,CASH_OUT,188191.41,C907306547,50010.0,0.0,C762240176,1182530.54,1370721.95
379,CASH_OUT,314063.86,C1056660835,119299.0,0.0,C650349902,41175.8,355239.66
379,TRANSFER,438895.68,C1616812476,103171.0,0.0,C2130278071,428566.59,867462.27
379,PAYMENT,12840.42,C836955240,8064.0,0.0,M617755033,0.0,0.0
379,PAYMENT,12444.38,C1084645413,205251.0,192806.62,M1411482356,0.0,0.0
379,CASH_OUT,33143.63,C1921426868,9946.0,0.0,C1878348525,14444.11,47587.74
379,TRANSFER,78626.93,C1198328964,39975.0,0.0,C2114001576,1083700.86,1162327.79
379,PAYMENT,5033.56,C884603652,198616.0,193582.44,M1826093381,0.0,0.0
379,CASH_OUT,307433.8,C725305966,541.0,0.0,C316092691,251639.62,559073.42
379,PAYMENT,18431.57,C77429409,0.0,0.0,M2139603181,0.0,0.0
379,TRANSFER,483730.52,C751371145,7119.0,0.0,C948612902,133179.01,616909.53
379,CASH_IN,103016.12,C1573934148,195381.0,298397.12,C1365063711,1043644.71,940628.59
379,PAYMENT,7060.69,C846685485,58957.0,51896.31,M1941330726,0.0,0.0
379,CASH_OUT,69042.12,C386390930,51896.31,0.0,C180584877,7911917.3,7980959.42
379,CASH_OUT,56660.56,C1219153730,0.0,0.0,C1399386741,146988.78,203649.35
379,CASH_OUT,33624.71,C1107137911,0.0,0.0,C1257082590,171205.8,204830.51
379,CASH_OUT,349276.8,C13867269,0.0,0.0,C570927863,560762.7,910039.49
379,CASH_OUT,311786.52,C698419654,0.0,0.0,C1584684478,815675.86,1127462.38
379,CASH_OUT,48566.17,C930026351,0.0,0.0,C1199246143,226419.4,274985.58
379,CASH_OUT,29156.45,C445939416,0.0,0.0,C34408575,3208138.43,3237294.88
379,CASH_OUT,171183.5,C101963582,0.0,0.0,C2057605043,666630.9,837814.4
379,CASH_OUT,274877.45,C660410627,0.0,0.0,C1995525292,1767623.88,2042501.33
379,CASH_OUT,138521.27,C1751550700,0.0,0.0,C1185140764,500252.54,638773.82
379,CASH_OUT,395429.75,C1371360134,0.0,0.0,C460400564,2110355.24,2505784.99
379,CASH_OUT,13402.3,C1225772200,0.0,0.0,C1992167367,2099679.64,2113081.93
379,CASH_OUT,119103.81,C102046083,0.0,0.0,C1975668219,3878195.31,3997299.12
379,CASH_OUT,58885.78,C1526256199,0.0,0.0,C1264970041,532484.51,591370.29
379,CASH_OUT,112727.69,C1638024165,0.0,0.0,C1535168098,590211.98,702939.67
379,CASH_OUT,70449.31,C1459599861,0.0,0.0,C1666581814,411571.06,482020.37
379,CASH_OUT,203773.34,C2013821864,0.0,0.0,C790377395,393735.36,597508.7
379,CASH_OUT,21995.1,C1694426116,0.0,0.0,C1333034467,71839.51,93834.61
379,CASH_OUT,78150.02,C397426197,0.0,0.0,C877891130,2042013.16,2120163.17
379,CASH_OUT,100089.59,C1017842951,0.0,0.0,C1478247822,4989968.94,5090058.53
379,CASH_OUT,107013.1,C130413569,0.0,0.0,C422465014,250393.69,357406.79
379,CASH_OUT,61197.85,C344518201,0.0,0.0,C1698098856,147327.56,208525.42
379,CASH_OUT,415758.32,C48114219,0.0,0.0,C2133302924,636273.94,1052032.27
379,CASH_OUT,233043.25,C1727646786,0.0,0.0,C724025401,320503.19,553546.44
379,CASH_OUT,116991.5,C1320442208,73758.0,0.0,C90088261,216430.96,333422.46
379,PAYMENT,15968.72,C496930729,11365.0,0.0,M1851941187,0.0,0.0
379,CASH_OUT,57276.41,C1179728657,110150.0,52873.59,C906691993,407555.02,464831.44
379,PAYMENT,1294.02,C717362658,13039.0,11744.98,M1128801492,0.0,0.0
379,CASH_IN,112613.56,C1054682503,51215.0,163828.56,C707045625,88192.54,0.0
379,PAYMENT,5959.15,C1905987838,163828.56,157869.41,M1263298090,0.0,0.0
379,CASH_OUT,208308.66,C59117018,71914.0,0.0,C1477442554,0.0,208308.66
379,CASH_IN,60176.91,C1888627642,31287.0,91463.91,C1389890081,0.0,0.0
379,CASH_IN,23004.06,C406146807,184.0,23188.06,C1434758891,242661.13,219657.07
379,CASH_OUT,330337.07,C634000994,11415.0,0.0,C1769342564,314388.41,644725.48
379,CASH_OUT,268414.17,C378611676,0.0,0.0,C1712250740,639761.35,908175.52
379,CASH_OUT,8567.58,C2000617807,30072.0,21504.42,C2115603376,361537.92,370105.51
379,CASH_OUT,205397.75,C1171237801,145.0,0.0,C1013268634,140715.56,346113.3
379,CASH_OUT,262997.33,C818142324,2844.0,0.0,C1356978014,2201989.76,2464987.09
379,CASH_OUT,158210.06,C796111479,163818.0,5607.94,C60719183,0.0,158210.06
379,PAYMENT,8239.16,C541719471,9573.0,1333.84,M417566444,0.0,0.0
379,CASH_IN,154282.93,C921555448,179821.37,334104.3,C251472456,193585.86,39302.92
379,PAYMENT,16860.56,C79641944,334104.3,317243.74,M1799633635,0.0,0.0
379,PAYMENT,11852.98,C1876188553,317243.74,305390.76,M938357658,0.0,0.0
379,PAYMENT,11758.17,C1254526402,305390.76,293632.59,M10429787,0.0,0.0
379,PAYMENT,11448.9,C1307183316,293632.59,282183.69,M190746640,0.0,0.0
379,PAYMENT,4132.37,C1963504676,282183.69,278051.33,M205845027,0.0,0.0
379,PAYMENT,9972.58,C301328343,278051.33,268078.75,M1851014121,0.0,0.0
379,PAYMENT,5103.16,C1590500243,268078.75,262975.59,M1974681475,0.0,0.0
379,PAYMENT,13808.08,C1262921149,262975.59,249167.5,M75650127,0.0,0.0
379,PAYMENT,13939.2,C841336527,249167.5,235228.3,M1585887279,0.0,0.0
379,PAYMENT,4569.08,C546542863,235228.3,230659.22,M916823422,0.0,0.0
379,CASH_OUT,117437.24,C707409627,537.0,0.0,C2101441298,147867.0,8907158.32
379,PAYMENT,6847.99,C1090954353,0.0,0.0,M2105633459,0.0,0.0
379,CASH_OUT,68338.9,C1742030352,167953.0,99614.1,C125021274,3203808.41,3272147.31
379,PAYMENT,10815.37,C481442015,30514.0,19698.63,M1751327252,0.0,0.0
379,CASH_OUT,145173.96,C515967321,34249.0,0.0,C258640698,26275.35,171449.31
379,CASH_OUT,129187.39,C1407789399,0.0,0.0,C1219036734,7400885.17,7530072.57
379,PAYMENT,2436.32,C1586530101,41847.0,39410.68,M798125425,0.0,0.0
379,CASH_IN,262679.69,C957297179,445.0,263124.69,C837641272,0.0,0.0
379,PAYMENT,8011.78,C590747644,263124.69,255112.91,M2042992000,0.0,0.0
379,CASH_OUT,264926.9,C1157662252,20731.0,0.0,C187080627,57563.01,322489.91
379,CASH_OUT,12553.24,C90176381,52272.0,39718.76,C1709623625,116348.67,128901.91
379,CASH_OUT,76285.76,C373659101,568.0,0.0,C69056801,1019938.43,1096224.19
379,CASH_OUT,140895.69,C1132030720,99095.0,0.0,C1259630432,0.0,231310.56
379,PAYMENT,5118.69,C34190501,134.0,0.0,M2029462410,0.0,0.0
379,PAYMENT,7979.11,C1109834292,41409.0,33429.89,M1250949147,0.0,0.0
379,CASH_OUT,232292.5,C91017587,79346.0,0.0,C1461378260,730275.72,962568.23
379,CASH_OUT,259421.78,C1145461031,20872.0,0.0,C1086524898,0.0,259421.78
379,CASH_OUT,125699.2,C868662401,5539.0,0.0,C2135283607,77008.53,202707.73
379,CASH_IN,277793.59,C104650178,14604.0,292397.59,C2095931660,44845.88,0.0
379,CASH_IN,3453.63,C1698196287,10131.0,13584.63,C626274719,964074.94,960621.31
379,PAYMENT,7559.22,C331450846,417.0,0.0,M367336851,0.0,0.0
379,CASH_OUT,250269.89,C1964460072,346716.0,96446.11,C1942768375,0.0,250269.89
379,CASH_IN,5508.52,C1406186534,19984.0,25492.52,C2132023515,0.0,0.0
379,CASH_OUT,117085.45,C1279285499,22898.0,0.0,C1781100751,2115443.0,2232528.46
379,CASH_OUT,169773.59,C1903480165,0.0,0.0,C1460939607,263154.51,432928.1
379,CASH_OUT,129314.72,C1055755627,1083.0,0.0,C446555073,0.0,129314.72
379,CASH_IN,168045.62,C1758101268,53.0,168098.62,C1236155994,77578.64,0.0
379,CASH_OUT,151072.81,C646149494,522642.0,371569.19,C498701405,0.0,151072.81
379,CASH_IN,190626.17,C1909168934,11371.0,201997.17,C1686307174,439861.11,249234.94
379,PAYMENT,26121.67,C589289121,25717.0,0.0,M404107017,0.0,0.0
379,CASH_OUT,161554.88,C629395896,39617.0,0.0,C1156669810,492994.28,654549.17
379,PAYMENT,69.42,C138177669,876.0,806.58,M1439369725,0.0,0.0
379,CASH_OUT,106186.9,C2089556522,30064.0,0.0,C1710701089,2001178.56,2107365.45
379,PAYMENT,7183.94,C1203313170,0.0,0.0,M747249188,0.0,0.0
379,PAYMENT,5179.6,C562261673,0.0,0.0,M1027767801,0.0,0.0
379,DEBIT,747.58,C841255369,107719.0,106971.42,C523645026,338471.75,339219.33
379,CASH_IN,13299.15,C1319361175,10513.0,23812.15,C1454354787,3390813.68,3377514.53
379,PAYMENT,17244.14,C1953432524,3113.0,0.0,M1517032717,0.0,0.0
379,CASH_IN,159408.79,C1284547912,79791.0,239199.79,C1660018740,0.0,0.0
379,CASH_OUT,183704.57,C481802543,19371.0,0.0,C731065621,0.0,28745.35
379,PAYMENT,13160.34,C281716758,0.0,0.0,M716444543,0.0,0.0
379,CASH_IN,82023.27,C1674008964,136.0,82159.27,C1812714511,297364.23,215340.96
379,CASH_OUT,20679.94,C1108929042,130.0,0.0,C155629046,422624.74,443304.67
379,PAYMENT,6961.13,C131555423,0.0,0.0,M234009649,0.0,0.0
379,CASH_OUT,157474.95,C1419827058,114843.0,0.0,C2078597763,147218.55,304693.49
379,PAYMENT,1314.24,C1374551950,0.0,0.0,M1829021812,0.0,0.0
379,CASH_IN,59133.63,C1968167641,100016.0,159149.63,C1891546671,0.0,0.0
379,CASH_IN,95116.24,C663132229,72461.0,167577.24,C90754215,430894.87,335778.64
379,PAYMENT,11094.22,C422118068,32171.0,21076.78,M1369857773,0.0,0.0
379,CASH_OUT,141425.25,C1521803026,37831.0,0.0,C879969653,0.0,141425.25
379,PAYMENT,29397.1,C1239625905,0.0,0.0,M403617691,0.0,0.0
379,CASH_OUT,6036.61,C2067583809,160.0,0.0,C727440100,0.0,6036.61
379,TRANSFER,455120.1,C118284155,11329.0,0.0,C321755373,25219.65,480339.75
379,TRANSFER,476893.19,C1471807891,203456.0,0.0,C1925515353,35372.53,512265.71
379,PAYMENT,917.77,C979748496,0.0,0.0,M660515910,0.0,0.0
379,CASH_IN,25086.74,C1187535057,166929.0,192015.74,C256266311,17077.45,0.0
379,CASH_IN,2006.57,C1098481410,221197.0,223203.57,C591920442,0.0,0.0
379,PAYMENT,8713.28,C1438408955,223203.57,214490.29,M122870422,0.0,0.0
379,CASH_OUT,249872.23,C56099965,50638.0,0.0,C26679812,1657774.63,1907646.86
379,CASH_OUT,322593.05,C156494459,90682.0,0.0,C10747418,0.0,322593.05
379,PAYMENT,26685.49,C1071577106,0.0,0.0,M784925461,0.0,0.0
379,CASH_OUT,57863.37,C1836159325,11563.0,0.0,C680944586,392739.77,450603.14
379,TRANSFER,458058.75,C2070396602,152567.0,0.0,C1541082077,274782.01,755925.11
379,PAYMENT,13940.14,C858904492,1155.0,0.0,M1434893172,0.0,0.0
379,PAYMENT,12947.22,C874259424,99600.0,86652.78,M1917372855,0.0,0.0
379,PAYMENT,20160.36,C1341783269,86652.78,66492.42,M793031541,0.0,0.0
379,CASH_IN,126396.13,C2048034398,35034.0,161430.13,C170082657,18773.82,0.0
379,CASH_OUT,42072.3,C1310977498,16029.0,0.0,C298877445,19728.33,61800.63
379,PAYMENT,948.32,C1321025071,0.0,0.0,M1156117398,0.0,0.0
379,PAYMENT,4837.7,C715570467,175824.0,170986.3,M2067454096,0.0,0.0
379,TRANSFER,73368.37,C1557257630,30957.0,0.0,C2007111400,1478033.18,1551401.56
379,PAYMENT,10845.88,C1596387793,0.0,0.0,M1089867955,0.0,0.0
379,CASH_OUT,26178.85,C1839574629,22182.0,0.0,C608262762,0.0,26178.85
379,CASH_OUT,13367.21,C1070248802,102929.0,89561.79,C1567617667,0.0,13367.21
379,CASH_OUT,219313.7,C1460299059,2485.0,0.0,C102166612,0.0,219313.7
379,PAYMENT,1877.72,C654939369,0.0,0.0,M1738522859,0.0,0.0
379,PAYMENT,2300.01,C228867801,0.0,0.0,M159637923,0.0,0.0
379,PAYMENT,5069.66,C1648792230,107.0,0.0,M2068291229,0.0,0.0
379,CASH_IN,195290.54,C1463363034,24473.0,219763.54,C1218643841,1092386.22,897095.68
379,TRANSFER,169380.69,C1101088871,5639.0,0.0,C1528474434,2160333.28,2329713.97
379,CASH_OUT,241364.6,C388243799,94213.0,0.0,C592088095,2220024.07,2562768.37
379,CASH_OUT,235027.31,C1347483224,1674.0,0.0,C2113256966,1.008102428E7,1.268115751E7
379,TRANSFER,577061.47,C1314463357,0.0,0.0,C1815334069,1016229.36,1593290.83
379,CASH_OUT,189397.75,C91260321,53062.0,0.0,C1932343010,0.0,189397.75
379,CASH_OUT,195110.38,C870851265,291.0,0.0,C1323800905,4273361.88,4468472.26
379,PAYMENT,1324.81,C1692266706,0.0,0.0,M1660006594,0.0,0.0
379,PAYMENT,8302.17,C1672309936,0.0,0.0,M287421486,0.0,0.0
379,PAYMENT,18096.81,C443649464,2663.0,0.0,M1978227092,0.0,0.0
379,CASH_IN,70527.6,C2099864437,10181.0,80708.6,C888957227,486414.09,415886.49
379,TRANSFER,450764.34,C1639266362,80708.6,0.0,C1848110361,4238757.28,4689521.62
379,CASH_IN,270041.49,C2000647673,8535.0,278576.49,C1421386281,0.0,0.0
379,CASH_IN,122165.09,C1218815859,46932.0,169097.09,C779810044,0.0,0.0
