step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
274,PAYMENT,5590.21,C1474368966,11371.0,5780.79,M1351090778,0.0,0.0
274,CASH_IN,109840.65,C2082056250,30445.0,140285.65,C2108511216,376107.66,266267.01
274,PAYMENT,4202.53,C927616329,95111.0,90908.47,M1750737219,0.0,0.0
274,TRANSFER,140590.81,C2018534592,10900.0,0.0,C1327636518,1168205.93,1308796.75
274,TRANSFER,673555.5,C1228495752,30616.0,0.0,C1152155589,0.0,673555.5
274,CASH_OUT,147942.2,C746350563,0.0,0.0,C609149875,992629.95,1140572.16
274,CASH_IN,398077.01,C362093334,198148.0,596225.01,C654479861,2771.07,0.0
274,PAYMENT,1594.2,C1855458048,5086.0,3491.8,M1837037632,0.0,0.0
274,PAYMENT,12494.29,C577948019,9203.0,0.0,M528624512,0.0,0.0
274,CASH_OUT,39873.46,C837612411,0.0,0.0,C1603366771,1521812.87,1561686.33
274,CASH_OUT,307531.7,C734704126,20370.0,0.0,C1894254274,1595139.98,1902671.68
274,CASH_OUT,7646.72,C524799141,2581.0,0.0,C1704567772,977811.93,985458.65
274,PAYMENT,4336.87,C286735078,0.0,0.0,M1194751124,0.0,0.0
274,CASH_OUT,139269.25,C965568717,4027.0,0.0,C200029685,0.0,139269.25
274,CASH_IN,76495.03,C412002749,206040.0,282535.03,C561331537,339006.56,262511.53
274,CASH_OUT,143408.23,C812015680,20350.0,0.0,C1208412684,124421.02,267829.25
274,CASH_OUT,66356.61,C1149247500,74615.0,8258.39,C607685185,343432.32,409788.94
274,PAYMENT,1906.77,C370795345,8258.39,6351.61,M2075616110,0.0,0.0
274,CASH_OUT,237341.86,C2026924088,203.0,0.0,C216479265,109837.46,347179.32
274,PAYMENT,3831.48,C1024829294,0.0,0.0,M1691338998,0.0,0.0
274,CASH_IN,120307.08,C614689554,2067.0,122374.08,C2007985594,29518.71,0.0
274,CASH_OUT,89982.12,C1607030294,51837.0,0.0,C321946517,1043633.98,1133616.1
274,CASH_OUT,350.63,C1333245014,11731.0,11380.37,C318377875,313048.0,313398.63
274,PAYMENT,13520.45,C1432702262,793.0,0.0,M1788958579,0.0,0.0
274,PAYMENT,7485.64,C2135807447,13262.0,5776.36,M225053548,0.0,0.0
274,PAYMENT,6305.89,C1922689802,5776.36,0.0,M308490469,0.0,0.0
274,CASH_OUT,84584.56,C59878419,11266.0,0.0,C1240787683,77682.54,162267.1
274,PAYMENT,8684.32,C1585309286,8010.0,0.0,M1661048600,0.0,0.0
274,PAYMENT,10207.06,C1752070021,297034.0,286826.94,M1720827823,0.0,0.0
274,CASH_OUT,81756.38,C1466837965,95339.0,13582.62,C1216008165,298645.62,380402.0
274,CASH_IN,168210.73,C943251311,151373.0,319583.73,C1447601009,0.0,0.0
274,CASH_OUT,6344.83,C603018674,10613.0,4268.17,C1147431109,201554.99,207899.81
274,CASH_OUT,73494.61,C1215756964,12222.0,0.0,C1105040260,2649481.33,2722975.95
274,CASH_OUT,151721.91,C1860210724,13742.0,0.0,C1725664569,344907.99,496629.9
274,CASH_OUT,101481.62,C282982704,801.0,0.0,C1424606682,256763.42,358245.04
274,CASH_OUT,125331.05,C958952028,253687.0,128355.95,C1578899808,96234.83,221565.88
274,CASH_IN,118394.62,C1190398983,11650.0,130044.62,C1875658557,112199.14,0.0
274,CASH_OUT,107895.44,C754963789,520.0,0.0,C957270023,0.0,107895.44
274,PAYMENT,2756.0,C1402256795,184.0,0.0,M693411623,0.0,0.0
274,CASH_OUT,285318.31,C1327905342,432.0,0.0,C2075512876,0.0,285318.31
274,CASH_OUT,278692.82,C497142570,43036.0,0.0,C2127778293,18128.64,296821.47
274,PAYMENT,4052.88,C1798296928,0.0,0.0,M1712308869,0.0,0.0
274,TRANSFER,733169.34,C403108784,319707.0,0.0,C1424289994,0.0,733169.34
274,PAYMENT,6437.35,C200114945,0.0,0.0,M519881673,0.0,0.0
274,PAYMENT,10963.45,C117387641,0.0,0.0,M701225317,0.0,0.0
274,PAYMENT,779.22,C1322889942,144373.0,143593.78,M918803023,0.0,0.0
274,PAYMENT,13328.04,C1229474071,143593.78,130265.74,M1052750250,0.0,0.0
274,CASH_OUT,79299.94,C1031007145,1069.0,0.0,C468913427,1530674.97,1609974.91
274,PAYMENT,7308.14,C361371618,2873.0,0.0,M511833269,0.0,0.0
274,CASH_OUT,127865.78,C1576023086,40981.0,0.0,C1706472662,1393961.46,1521827.24
274,CASH_OUT,48534.21,C2138874522,21613.0,0.0,C2097980556,642525.26,691059.47
274,CASH_IN,5855.51,C982294416,41439.0,47294.51,C663925883,0.0,0.0
274,CASH_OUT,65010.75,C725217320,47294.51,0.0,C1164329862,940053.82,1005064.57
274,CASH_OUT,5075.44,C1999953957,137.0,0.0,C216902313,911800.84,916876.27
274,PAYMENT,8209.75,C1841755179,383520.0,375310.25,M862488092,0.0,0.0
274,PAYMENT,1290.93,C1463060713,375310.25,374019.32,M131166178,0.0,0.0
274,TRANSFER,176409.49,C1567401119,52449.0,0.0,C735376061,0.0,176409.49
274,PAYMENT,1675.27,C709067080,0.0,0.0,M1497573161,0.0,0.0
274,PAYMENT,4440.47,C1432481180,0.0,0.0,M1838281715,0.0,0.0
274,PAYMENT,4527.75,C1533961928,0.0,0.0,M466909411,0.0,0.0
274,PAYMENT,6577.36,C1099131656,0.0,0.0,M602871456,0.0,0.0
274,PAYMENT,6836.05,C195001395,111191.0,104354.95,M867442371,0.0,0.0
274,PAYMENT,5747.7,C1773533334,22638.0,16890.3,M842316054,0.0,0.0
274,CASH_OUT,101980.61,C1111111047,25649.0,0.0,C2011265483,598395.31,700375.92
274,CASH_OUT,264238.3,C1365993733,0.0,0.0,C471648208,1697641.54,1961879.84
274,PAYMENT,10935.94,C400313078,49112.0,38176.06,M3652882,0.0,0.0
274,CASH_OUT,195484.88,C330442398,38176.06,0.0,C534749956,1675543.28,1871028.16
274,PAYMENT,6116.22,C421217964,51591.0,45474.78,M1818567811,0.0,0.0
274,CASH_OUT,78965.83,C1359469360,29964.0,0.0,C1742454690,262016.44,340982.28
274,CASH_OUT,84981.95,C1392742744,459.0,0.0,C1119643904,329650.11,414632.06
274,PAYMENT,7255.7,C275682226,8568.0,1312.3,M1433070592,0.0,0.0
274,CASH_IN,73183.68,C979067846,1312.3,74495.99,C1414395628,251390.91,178207.22
274,CASH_IN,115758.69,C1973267588,74495.99,190254.68,C707480384,179622.57,63863.88
274,CASH_IN,198297.83,C285885062,190254.68,388552.51,C2134981211,1221848.13,1023550.29
274,CASH_IN,30958.94,C318944843,388552.51,419511.45,C557566599,60809.93,29850.99
274,CASH_IN,111587.7,C1915138750,419511.45,531099.15,C2021291986,230888.88,119301.18
274,CASH_IN,78260.6,C1791482354,531099.15,609359.75,C1461111928,449106.16,370845.56
274,CASH_IN,441720.79,C689612894,609359.75,1051080.54,C913671970,652216.83,210496.03
274,CASH_IN,94657.78,C791475160,1051080.54,1145738.33,C128207279,667665.78,573007.99
274,CASH_IN,117751.15,C1750603713,1145738.33,1263489.48,C1098828005,256427.95,138676.8
274,CASH_IN,63140.13,C1015307121,1263489.48,1326629.61,C252315297,155015.95,91875.82
274,CASH_IN,213081.6,C1075858663,1326629.61,1539711.22,C200771693,530086.3,317004.7
274,CASH_IN,114811.78,C140166408,1539711.22,1654523.0,C1524851381,2554186.58,2439374.79
274,CASH_IN,264069.66,C538193373,1654523.0,1918592.66,C616686081,1910177.54,1646107.88
274,CASH_IN,31943.48,C1054188925,1918592.66,1950536.15,C583292932,3983622.27,3951678.79
274,CASH_IN,25462.19,C2094039348,1950536.15,1975998.34,C1545493414,1089637.33,1064175.14
274,CASH_IN,27986.3,C586967331,1975998.34,2003984.64,C315679728,116514.2,88527.91
274,CASH_IN,85649.09,C587711076,2003984.64,2089633.73,C985761628,1339304.46,1253655.37
274,CASH_IN,259111.19,C820671796,2089633.73,2348744.92,C1885819652,572496.34,313385.15
274,CASH_IN,341541.14,C1212910396,2348744.92,2690286.06,C1090777953,2168293.91,1826752.77
274,CASH_IN,594013.19,C163530343,2690286.06,3284299.25,C157354477,9197207.63,8603194.44
274,CASH_IN,72192.39,C347517398,3284299.25,3356491.63,C1946880839,659246.14,587053.75
274,CASH_IN,158119.4,C2006328737,3356491.63,3514611.03,C1986537321,1199392.62,1041273.23
274,CASH_IN,7616.5,C1670402564,3514611.03,3522227.53,C1820028044,407286.94,399670.44
274,CASH_IN,65827.54,C284142703,3522227.53,3588055.08,C1656163512,1317471.75,1251644.21
274,CASH_IN,244423.26,C829851557,3588055.08,3832478.34,C197122832,275235.76,30812.5
274,CASH_IN,224000.46,C1997215495,3832478.34,4056478.8,C172822934,936827.48,712827.01
274,CASH_IN,8743.86,C384465808,4056478.8,4065222.67,C1020615322,384839.7,376095.84
274,CASH_IN,332788.04,C2072715766,4065222.67,4398010.71,C2007891714,861061.11,528273.06
274,CASH_IN,178980.01,C2118507149,4398010.71,4576990.72,C434451853,325925.19,146945.18
274,CASH_IN,1888.42,C1364805997,4576990.72,4578879.13,C1365114315,616419.31,614530.89
274,CASH_IN,53842.35,C338337325,4578879.13,4632721.48,C882629398,2964374.91,2910532.56
274,CASH_IN,49941.64,C906795471,4632721.48,4682663.13,C2066760744,647458.08,597516.44
274,CASH_IN,267598.78,C1724759089,4682663.13,4950261.91,C401067111,4323674.16,4056075.38
274,CASH_IN,93824.89,C2110030756,4950261.91,5044086.79,C1195511666,235661.12,141836.23
274,CASH_IN,514475.72,C1038066119,5044086.79,5558562.51,C213560252,1729226.08,1214750.36
274,CASH_IN,486118.59,C1867486546,5558562.51,6044681.11,C953912371,1153552.42,667433.83
274,CASH_IN,211111.07,C1684574398,6044681.11,6255792.18,C1297817757,228035.72,16924.64
274,CASH_IN,322958.41,C1038677556,6255792.18,6578750.59,C1140579094,4530901.8,4207943.4
274,CASH_IN,127990.35,C2105125335,6578750.59,6706740.93,C2001713501,180890.63,52900.28
274,CASH_IN,11622.64,C1846498863,6706740.93,6718363.57,C483412701,997468.13,985845.5
274,CASH_IN,128807.1,C1313003056,6718363.57,6847170.67,C1906622701,194805.52,65998.42
274,CASH_IN,496925.98,C887210138,6847170.67,7344096.65,C2012636259,1069163.35,572237.38
274,CASH_IN,285231.03,C82239680,7344096.65,7629327.67,C681563549,453338.86,168107.84
274,CASH_IN,118154.93,C273444957,7629327.67,7747482.6,C690209267,996660.28,878505.35
274,CASH_IN,193975.16,C1214764850,7747482.6,7941457.77,C439545512,654447.9,460472.73
274,CASH_IN,255768.26,C1924676532,7941457.77,8197226.03,C1194351489,1045928.91,790160.65
274,CASH_IN,164280.59,C1097541059,8197226.03,8361506.61,C815692184,1554067.98,1389787.39
274,CASH_IN,184242.35,C852912939,8361506.61,8545748.97,C1183749532,4655964.14,4829680.25
274,CASH_IN,412090.92,C1157555204,8545748.97,8957839.89,C385755591,3603707.26,3191616.34
274,CASH_IN,141644.68,C2007503540,8957839.89,9099484.57,C874434088,191233.58,49588.91
274,CASH_IN,52076.77,C1869964479,9099484.57,9151561.33,C1305739685,6977959.31,6925882.54
274,CASH_IN,9341.44,C1861993801,9151561.33,9160902.77,C1796549337,2170205.65,2160864.21
274,CASH_IN,306231.94,C1570161238,9160902.77,9467134.71,C1069141189,401109.37,94877.43
274,CASH_IN,118162.49,C1788626658,9467134.71,9585297.21,C377139811,1090736.32,972573.82
274,CASH_IN,121272.81,C780699538,9585297.21,9706570.02,C1527003642,2084652.19,1963379.37
274,CASH_IN,140564.06,C510254727,9706570.02,9847134.08,C959039081,261651.68,121087.62
274,CASH_IN,140996.9,C1963338606,9847134.08,9988130.98,C98101670,779579.1,638582.2
274,CASH_IN,479716.77,C2099628154,9988130.98,1.046784775E7,C1657622350,1675053.53,1195336.76
274,CASH_IN,356340.52,C402351195,1.046784775E7,1.082418827E7,C285414532,2684044.47,2327703.95
274,CASH_IN,77968.64,C1194728901,1.082418827E7,1.090215691E7,C112850626,90828.71,12860.07
274,CASH_IN,134528.12,C61805334,1.090215691E7,1.103668503E7,C1270591285,188267.73,53739.61
274,CASH_IN,232340.38,C1352301825,20010.0,252350.38,C349026718,0.0,0.0
274,CASH_OUT,433461.31,C479134453,20570.0,0.0,C672700487,872147.2,1305608.5
274,TRANSFER,266628.84,C1805708436,0.0,0.0,C730654410,539141.79,805770.63
274,CASH_IN,329241.9,C275539285,76573.0,405814.9,C71660339,0.0,0.0
274,PAYMENT,4242.27,C320692268,292.0,0.0,M2011254800,0.0,0.0
274,CASH_OUT,290495.31,C466212404,30292.0,0.0,C1243478584,802028.62,1092523.93
274,CASH_OUT,300323.08,C1761365717,13261.0,0.0,C1685778787,921560.67,1221883.76
274,TRANSFER,518720.27,C270028774,31680.0,0.0,C1969214270,171361.61,690081.89
274,PAYMENT,5357.52,C1829043237,0.0,0.0,M950665159,0.0,0.0
274,CASH_OUT,184793.19,C841581793,85.0,0.0,C632523375,2005590.5,2190383.69
274,PAYMENT,2955.75,C1620871741,460.0,0.0,M708032479,0.0,0.0
274,CASH_OUT,233937.17,C1569923737,0.0,0.0,C597419163,3042471.41,3276408.57
274,CASH_OUT,103206.01,C593738566,6414.0,0.0,C306768013,1097411.96,1200617.97
274,PAYMENT,874.99,C657068149,0.0,0.0,M269534720,0.0,0.0
274,PAYMENT,5363.57,C1423157617,32224.0,26860.43,M1783927078,0.0,0.0
274,CASH_OUT,23612.56,C487230881,20401.0,0.0,C1337637324,0.0,23612.56
274,PAYMENT,1784.92,C196901062,0.0,0.0,M1122877665,0.0,0.0
274,CASH_OUT,204307.9,C218014779,21200.0,0.0,C291130830,35921.14,240229.03
274,PAYMENT,3831.97,C1162889088,40388.0,36556.03,M767716772,0.0,0.0
274,CASH_OUT,88209.69,C25446965,198.0,0.0,C1084158960,1121185.91,1209395.61
274,PAYMENT,5008.46,C2023946562,0.0,0.0,M1065999761,0.0,0.0
