step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
116,TRANSFER,2066848.27,C1157016440,2066848.27,0.0,C1147862541,0.0,0.0
116,CASH_OUT,2066848.27,C170219617,2066848.27,0.0,C1752658199,0.0,2066848.27
116,TRANSFER,2694857.26,C2100014537,2694857.26,0.0,C973050515,0.0,0.0
116,CASH_OUT,2694857.26,C1699838041,2694857.26,0.0,C1076792770,573517.09,3268374.34
116,TRANSFER,1562871.32,C344826592,1562871.32,0.0,C654151270,0.0,0.0
116,CASH_OUT,1562871.32,C885720640,1562871.32,0.0,C1672277432,802340.28,2365211.6
116,TRANSFER,1243269.91,C338600181,1243269.91,0.0,C2026102647,0.0,0.0
116,CASH_OUT,1243269.91,C2060685721,1243269.91,0.0,C2030405592,25244.22,1268514.13
116,TRANSFER,522465.43,C61912705,522465.43,0.0,C539442999,0.0,0.0
116,CASH_OUT,522465.43,C1864714673,522465.43,0.0,C64133603,1116912.37,1639377.8
116,TRANSFER,12477.96,C250439080,12477.96,0.0,C225968166,0.0,0.0
116,CASH_OUT,12477.96,C1758753461,12477.96,0.0,C1314480354,0.0,12477.96
116,TRANSFER,85408.24,C1773883691,85408.24,0.0,C1851184528,0.0,0.0
116,CASH_OUT,85408.24,C873337141,85408.24,0.0,C1236162256,299363.12,384771.36
