step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
289,CASH_IN,197168.38,C1021290741,9263.0,206431.38,C1476827884,88831.43,0.0
289,CASH_OUT,206815.64,C1999745322,206431.38,0.0,C1089648948,867564.26,1074379.9
289,PAYMENT,10185.97,C1093042136,740.0,0.0,M36033049,0.0,0.0
289,PAYMENT,48556.99,C1140607656,0.0,0.0,M968760092,0.0,0.0
289,TRANSFER,228511.61,C1268017996,72457.0,0.0,C983494451,0.0,228511.61
289,PAYMENT,77754.44,C1728957757,0.0,0.0,M1174758014,0.0,0.0
289,PAYMENT,6256.98,C254469977,100098.0,93841.02,M1728852987,0.0,0.0
289,DEBIT,6736.93,C1851883010,70598.0,63861.07,C40530509,309136.97,315873.9
289,PAYMENT,1367.5,C60487458,200935.0,199567.5,M1532155943,0.0,0.0
289,PAYMENT,9604.6,C1573366621,21194.0,11589.4,M942890889,0.0,0.0
289,PAYMENT,11214.93,C1816435786,97185.0,85970.07,M555409925,0.0,0.0
289,PAYMENT,4207.29,C1105668152,202742.0,198534.71,M1670047898,0.0,0.0
289,PAYMENT,8602.78,C728010349,71.0,0.0,M1561873358,0.0,0.0
289,PAYMENT,3317.64,C625348285,11075.0,7757.36,M297594039,0.0,0.0
289,DEBIT,3308.13,C514068235,186.0,0.0,C1273884854,39921.91,43230.04
289,PAYMENT,4829.05,C24994090,206.0,0.0,M349942878,0.0,0.0
289,PAYMENT,7717.74,C1651780390,20609.0,12891.26,M1544993844,0.0,0.0
289,PAYMENT,924.48,C914944685,31692.0,30767.52,M2142820710,0.0,0.0
289,PAYMENT,11750.97,C1020719276,543.0,0.0,M1439173662,0.0,0.0
289,PAYMENT,16513.71,C606372240,0.0,0.0,M493752219,0.0,0.0
289,PAYMENT,6637.53,C372694794,26866.0,20228.47,M59480366,0.0,0.0
289,CASH_OUT,152074.64,C52666574,20228.47,0.0,C975269323,1.001060564E7,1.016268028E7
289,PAYMENT,4967.25,C1859937766,42528.0,37560.75,M1311914424,0.0,0.0
289,PAYMENT,2840.53,C296717241,10999.0,8158.47,M261389458,0.0,0.0
289,PAYMENT,9614.53,C40557523,21088.0,11473.47,M1573576159,0.0,0.0
289,PAYMENT,3748.29,C810903452,1500.0,0.0,M478805480,0.0,0.0
289,PAYMENT,3954.57,C1214847465,3222.0,0.0,M1128661278,0.0,0.0
289,PAYMENT,7405.6,C1488254829,40198.0,32792.4,M184624942,0.0,0.0
289,TRANSFER,83571.29,C187154934,746.0,0.0,C2130144967,27770.0,111341.29
289,PAYMENT,3050.7,C2023391101,182110.0,179059.3,M124448924,0.0,0.0
289,PAYMENT,6065.81,C97558280,7058.0,992.19,M818796085,0.0,0.0
289,PAYMENT,6202.2,C461846214,992.19,0.0,M1262082874,0.0,0.0
289,PAYMENT,19272.05,C1242576266,0.0,0.0,M347221635,0.0,0.0
289,PAYMENT,25456.99,C908139477,0.0,0.0,M868541984,0.0,0.0
289,PAYMENT,29825.7,C2016618935,0.0,0.0,M2104542724,0.0,0.0
289,PAYMENT,30650.17,C1127318988,0.0,0.0,M1464897132,0.0,0.0
289,PAYMENT,4285.51,C911174560,0.0,0.0,M1307888523,0.0,0.0
289,PAYMENT,18086.77,C44312604,0.0,0.0,M1364522442,0.0,0.0
289,PAYMENT,1082.08,C470517291,0.0,0.0,M2009644722,0.0,0.0
289,PAYMENT,6572.67,C1418697887,0.0,0.0,M579066209,0.0,0.0
289,PAYMENT,1701.02,C1660500420,0.0,0.0,M1358308871,0.0,0.0
289,PAYMENT,33167.68,C2016748514,0.0,0.0,M1145152852,0.0,0.0
289,PAYMENT,1201.75,C1876792065,0.0,0.0,M251283171,0.0,0.0
289,PAYMENT,48796.08,C1602309869,0.0,0.0,M371407692,0.0,0.0
289,PAYMENT,18944.08,C367388434,0.0,0.0,M1232365075,0.0,0.0
289,PAYMENT,6253.5,C475508726,0.0,0.0,M329322091,0.0,0.0
289,PAYMENT,854.12,C700884602,47628.0,46773.88,M1139280303,0.0,0.0
289,PAYMENT,6120.37,C1650533947,2093.0,0.0,M2041097802,0.0,0.0
289,DEBIT,2116.21,C1707156083,43364.0,41247.79,C758860718,45698.79,47815.0
289,PAYMENT,4867.03,C1726474773,30947.0,26079.97,M232540172,0.0,0.0
289,CASH_OUT,267161.64,C825912579,26079.97,0.0,C314715223,800099.85,1067261.49
289,CASH_OUT,250359.59,C1560544237,0.0,0.0,C596251021,407637.23,657996.83
289,TRANSFER,237882.99,C82504986,256302.0,18419.01,C2061436178,576350.58,814233.57
289,PAYMENT,3187.33,C1805207971,8467.0,5279.67,M153707430,0.0,0.0
289,PAYMENT,2968.78,C1959723525,11354.0,8385.22,M664712123,0.0,0.0
289,PAYMENT,10096.65,C116073146,8108.0,0.0,M1142769042,0.0,0.0
289,PAYMENT,15500.24,C1221503038,206902.0,191401.76,M446683639,0.0,0.0
289,PAYMENT,22629.09,C1161742060,191401.76,168772.67,M1797339660,0.0,0.0
289,PAYMENT,8324.95,C1444147214,344302.0,335977.05,M841468762,0.0,0.0
289,CASH_OUT,360288.76,C18702932,335977.05,0.0,C1151307788,906050.37,1266339.14
289,CASH_OUT,130331.64,C1661913377,0.0,0.0,C1701164770,1515777.34,1646108.98
289,CASH_OUT,345322.14,C710198990,0.0,0.0,C857075262,2281934.38,2627256.52
289,CASH_OUT,363477.57,C640001477,0.0,0.0,C1400382945,755526.11,1119003.68
289,CASH_OUT,529826.6,C1287679127,0.0,0.0,C1176787310,569878.1,1099704.7
289,CASH_OUT,363326.71,C1494414319,0.0,0.0,C814104058,2079901.87,2443228.58
289,CASH_OUT,274017.19,C1442589877,0.0,0.0,C936546474,957756.59,1231773.78
289,CASH_OUT,193710.28,C1593618498,0.0,0.0,C1344784453,334662.45,528372.73
289,CASH_OUT,81967.57,C295164894,0.0,0.0,C2054540191,1802708.27,1884675.84
289,DEBIT,1859.98,C1607786376,40784.0,38924.02,C1796234378,427759.62,429619.6
289,TRANSFER,109345.16,C1803147587,3511.0,0.0,C1390234089,399587.36,508932.52
289,PAYMENT,6800.54,C1346116302,8218.0,1417.46,M2145018428,0.0,0.0
289,PAYMENT,5734.62,C109828816,52123.0,46388.38,M589146243,0.0,0.0
289,PAYMENT,3200.17,C331820100,308492.0,305291.83,M1067476866,0.0,0.0
289,PAYMENT,7647.35,C1738897404,26261.0,18613.65,M691175995,0.0,0.0
289,PAYMENT,6548.76,C62729813,101.0,0.0,M1067304407,0.0,0.0
289,PAYMENT,4462.94,C1934319439,659239.0,654776.06,M1322592327,0.0,0.0
289,TRANSFER,39912.77,C619739214,26315.0,0.0,C1532997996,0.0,39912.77
289,PAYMENT,2995.88,C1964159610,107117.0,104121.12,M1552558768,0.0,0.0
289,PAYMENT,4351.23,C997893750,1156.0,0.0,M485464927,0.0,0.0
289,PAYMENT,2629.94,C2089708506,12391.0,9761.06,M1901859153,0.0,0.0
289,DEBIT,5460.1,C536559642,19250.0,13789.9,C1713501108,1818312.82,1823772.92
289,TRANSFER,194264.94,C2133722585,251.0,0.0,C1099754012,0.0,194264.94
289,CASH_OUT,262306.81,C1894867293,0.0,0.0,C1937785666,2709078.63,2971385.44
289,PAYMENT,1528.79,C1639325835,119874.0,118345.21,M604526391,0.0,0.0
289,PAYMENT,1457.0,C721915554,2224.0,767.0,M1342695702,0.0,0.0
289,PAYMENT,7041.92,C15018469,127095.0,120053.08,M1722971937,0.0,0.0
289,PAYMENT,10223.64,C1901561803,98448.0,88224.36,M511156142,0.0,0.0
289,DEBIT,413.31,C938751876,20215.0,19801.69,C12250232,506448.07,506861.38
289,PAYMENT,7761.17,C1116357924,411702.0,403940.83,M254737249,0.0,0.0
289,PAYMENT,2313.96,C755404741,3020.0,706.04,M1004066294,0.0,0.0
289,PAYMENT,2059.27,C728433868,1065.0,0.0,M1399199539,0.0,0.0
289,DEBIT,3406.34,C1242022461,348.0,0.0,C223612360,1955950.67,1959357.02
289,PAYMENT,3173.4,C923654638,0.0,0.0,M1152644775,0.0,0.0
289,PAYMENT,1118.02,C655343245,475867.0,474748.98,M1399690875,0.0,0.0
289,CASH_OUT,157814.01,C183953233,474748.98,316934.97,C701154378,478616.6,636430.61
289,PAYMENT,3622.82,C1370177126,39761.0,36138.18,M193595656,0.0,0.0
289,PAYMENT,6087.88,C887855180,42020.0,35932.12,M152710639,0.0,0.0
289,PAYMENT,2279.0,C30042788,102761.0,100482.0,M1515446748,0.0,0.0
289,CASH_IN,335413.64,C848444194,100482.0,435895.64,C1786914526,385527.14,50113.5
289,CASH_IN,98162.77,C1790905802,435895.64,534058.42,C525345654,1376970.3,1278807.52
289,CASH_IN,6450.2,C947045747,534058.42,540508.62,C1262637116,259382.61,252932.41
289,CASH_IN,282589.56,C2112523936,540508.62,823098.18,C1167277464,333724.11,51134.54
289,CASH_IN,375783.76,C1585635604,823098.18,1198881.94,C2025838839,2801101.07,2425317.31
289,CASH_IN,228069.03,C1279354451,1198881.94,1426950.97,C1653657117,938652.2,710583.16
289,CASH_IN,472434.97,C1647733749,1426950.97,1899385.94,C701133424,2982167.63,2509732.65
289,CASH_IN,106790.39,C1266710173,1899385.94,2006176.33,C330194770,131037.9,24247.51
289,CASH_IN,158932.33,C37991608,2006176.33,2165108.67,C1854955480,1332374.46,1173442.13
289,CASH_IN,255382.95,C1165441373,2165108.67,2420491.62,C1781044877,2928500.92,2673117.97
289,CASH_IN,71863.01,C349150149,2420491.62,2492354.62,C685988779,1410245.4,1338382.39
289,CASH_IN,155833.99,C1555243871,2492354.62,2648188.61,C1436705538,3449784.8,3293950.81
289,CASH_IN,79202.4,C1128966661,2648188.61,2727391.02,C1454101779,176531.37,97328.97
289,CASH_IN,108890.18,C1057742560,2727391.02,2836281.2,C1229420541,324097.83,215207.65
289,CASH_IN,68835.82,C1475509111,2836281.2,2905117.02,C754142898,852526.73,783690.91
289,CASH_IN,214709.97,C303960845,2905117.02,3119826.99,C33579374,440700.38,225990.41
289,CASH_IN,67035.31,C76716489,3119826.99,3186862.3,C715562479,721543.04,654507.74
289,CASH_IN,743201.41,C1695529829,3186862.3,3930063.71,C762581279,924616.81,181415.41
289,CASH_IN,377012.74,C560094576,3930063.71,4307076.45,C400501321,1673105.91,1296093.17
289,CASH_IN,737171.11,C1132897322,4307076.45,5044247.56,C185767641,9708998.3,8971827.19
289,CASH_IN,171195.1,C1397367106,5044247.56,5215442.67,C1706823917,1383739.3,1212544.2
289,CASH_IN,3144.89,C1267104989,5215442.67,5218587.56,C1462380819,91480.58,88335.68
289,CASH_IN,118754.06,C2017210624,5218587.56,5337341.62,C689862456,535571.28,416817.22
289,CASH_IN,94842.67,C250445273,5337341.62,5432184.28,C1077630393,2490315.29,2395472.62
289,CASH_IN,513201.79,C204414327,5432184.28,5945386.07,C305377788,2077598.18,1564396.39
289,CASH_IN,9938.24,C1958209723,5945386.07,5955324.31,C1754141610,230776.15,220837.91
289,CASH_IN,156741.91,C1830449948,5955324.31,6112066.22,C487774384,197306.76,40564.86
289,CASH_IN,78030.98,C150788307,6112066.22,6190097.21,C228022309,239377.51,161346.53
289,PAYMENT,2028.18,C2085402654,49526.0,47497.82,M938833180,0.0,0.0
289,PAYMENT,4791.54,C155804269,9025.0,4233.46,M1738349015,0.0,0.0
289,PAYMENT,9937.24,C2114503026,8319.0,0.0,M1657345594,0.0,0.0
289,CASH_OUT,234622.81,C550586884,0.0,0.0,C660827718,7980514.66,8215137.47
289,CASH_OUT,233312.83,C797817960,0.0,0.0,C884037880,5382749.27,5616062.1
