step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
386,TRANSFER,305879.17,C1764122938,11443.0,0.0,C1559681802,0.0,305879.17
386,PAYMENT,15348.09,C686521716,12748.0,0.0,M165479397,0.0,0.0
386,PAYMENT,29318.8,C1538447850,0.0,0.0,M21449751,0.0,0.0
386,DEBIT,1157.4,C1916043670,22478.0,21320.6,C1526509987,114607.94,115765.34
386,PAYMENT,2365.56,C328693278,10101.0,7735.44,M1579651087,0.0,0.0
386,TRANSFER,1500582.08,C1706772520,1500582.08,0.0,C818905702,0.0,0.0
386,CASH_OUT,1500582.08,C869621048,1500582.08,0.0,C1722207907,2.488235762E7,2.63829397E7
386,PAYMENT,16921.9,C467331802,10333.0,0.0,M2032121414,0.0,0.0
386,PAYMENT,13427.51,C1188715333,0.0,0.0,M1610605115,0.0,0.0
386,PAYMENT,6826.05,C322916132,10134.0,3307.95,M395736707,0.0,0.0
386,CASH_OUT,50033.99,C58857287,11607.0,0.0,C1423709967,451670.7,501704.69
386,CASH_OUT,125912.66,C592237366,12374.0,0.0,C868853749,454120.15,580032.81
386,CASH_OUT,56569.67,C1248062996,85899.0,29329.33,C1805253792,1.930009951E7,1.935666918E7
386,PAYMENT,4587.02,C1852160949,101297.0,96709.98,M2110697745,0.0,0.0
386,CASH_OUT,328167.7,C954075389,96709.98,0.0,C571875745,1456556.81,1784724.51
386,PAYMENT,15152.31,C1830306492,20918.0,5765.69,M778298553,0.0,0.0
386,PAYMENT,16785.89,C640519773,11146.0,0.0,M1862067077,0.0,0.0
386,PAYMENT,8003.08,C1096700228,213247.0,205243.92,M1890137082,0.0,0.0
386,DEBIT,4756.59,C977016020,39805.0,35048.41,C1355961650,185160.21,189916.8
386,PAYMENT,44981.75,C869611741,35048.41,0.0,M11705234,0.0,0.0
386,PAYMENT,18130.99,C960323229,0.0,0.0,M1669167066,0.0,0.0
386,TRANSFER,171792.02,C2046077112,133133.0,0.0,C336449478,518727.71,690519.73
386,CASH_OUT,26199.4,C1838072351,0.0,0.0,C735468984,1327145.41,1353344.82
386,CASH_OUT,163002.02,C1049931909,0.0,0.0,C422393138,6061380.3,6224382.32
386,CASH_OUT,458796.48,C912245546,0.0,0.0,C1923194208,708003.74,1166800.22
