step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
338,PAYMENT,9229.21,C1519672571,22005.0,12775.79,M863835170,0.0,0.0
338,PAYMENT,8944.15,C1465920348,31618.0,22673.85,M874497307,0.0,0.0
338,PAYMENT,12024.5,C1276392679,22673.85,10649.36,M395568451,0.0,0.0
338,PAYMENT,5154.43,C1107236390,299786.0,294631.57,M184693791,0.0,0.0
338,TRANSFER,1085799.68,C1717344916,294631.57,0.0,C382961988,2026416.4,3112216.08
338,TRANSFER,2689227.94,C1852691169,0.0,0.0,C328388943,9582048.51,1.227127645E7
338,TRANSFER,702906.68,C1469753132,0.0,0.0,C417509766,831276.25,1534182.93
338,TRANSFER,1699464.7,C1302512396,0.0,0.0,C1864876543,5833331.72,7532796.42
338,DEBIT,3516.19,C1336436758,5225.0,1708.81,C1318613689,1188819.33,1192335.51
338,PAYMENT,10639.79,C1339179480,11657.0,1017.21,M1307786441,0.0,0.0
338,PAYMENT,357.68,C378678488,21415.0,21057.32,M443944644,0.0,0.0
338,DEBIT,837.15,C1207386323,10776.0,9938.85,C1879634205,1196388.09,1197225.24
338,PAYMENT,12034.8,C322320784,50785.0,38750.2,M348464066,0.0,0.0
338,DEBIT,219.97,C1055854512,284171.0,283951.03,C1878454814,51202.91,51422.88
338,PAYMENT,3611.61,C1130570086,6895.0,3283.39,M1631283747,0.0,0.0
338,CASH_OUT,444900.96,C1558028021,3283.39,0.0,C948969432,1126549.14,1571450.1
338,PAYMENT,7237.75,C436836433,5537.0,0.0,M1077670503,0.0,0.0
338,PAYMENT,4465.58,C2053894705,3544.0,0.0,M1248981439,0.0,0.0
338,PAYMENT,7020.12,C476853168,836336.0,829315.88,M64705168,0.0,0.0
338,PAYMENT,57.9,C646238880,15500.0,15442.1,M1664955334,0.0,0.0
338,CASH_OUT,160226.13,C514944418,15442.1,0.0,C172625067,274644.53,434870.65
338,PAYMENT,6522.17,C1193796406,30667.0,24144.83,M1203120288,0.0,0.0
338,PAYMENT,5680.02,C1293914259,27206.0,21525.98,M1490430191,0.0,0.0
338,PAYMENT,7561.44,C546332304,28611.0,21049.56,M1444253962,0.0,0.0
338,PAYMENT,12002.42,C1740576851,21049.56,9047.14,M239584539,0.0,0.0
338,PAYMENT,1205.22,C738291357,1727.0,521.78,M1457924054,0.0,0.0
338,PAYMENT,7278.29,C1233436889,34811.0,27532.71,M2036050927,0.0,0.0
338,PAYMENT,1943.9,C1586059231,125577.0,123633.1,M968229711,0.0,0.0
338,PAYMENT,6966.3,C1457229480,53168.0,46201.7,M1920680783,0.0,0.0
338,PAYMENT,702.52,C1725486448,46201.7,45499.18,M1878859423,0.0,0.0
338,PAYMENT,6909.22,C1700360966,57346.0,50436.78,M1301292505,0.0,0.0
338,TRANSFER,175401.36,C1841502798,117452.0,0.0,C1368048569,231318.44,406719.79
338,PAYMENT,10692.65,C1783490703,118935.0,108242.35,M1143105411,0.0,0.0
338,PAYMENT,6356.14,C147860531,72171.0,65814.86,M2100577805,0.0,0.0
338,PAYMENT,1915.33,C2016989364,6587.0,4671.67,M804372047,0.0,0.0
338,PAYMENT,1225.88,C642362934,304.0,0.0,M2039648476,0.0,0.0
338,PAYMENT,7364.24,C1200706090,180565.0,173200.76,M1706069841,0.0,0.0
338,PAYMENT,8132.0,C241415631,21379.0,13247.0,M1671090351,0.0,0.0
338,PAYMENT,1890.74,C785895156,13247.0,11356.26,M1333532280,0.0,0.0
338,PAYMENT,9221.86,C1554124693,20474.0,11252.14,M1770562310,0.0,0.0
338,DEBIT,1534.65,C2033741997,97919.0,96384.35,C1281496727,1666965.5,1668500.15
338,DEBIT,2473.48,C1457026596,51070.0,48596.52,C774249477,684577.34,687050.82
338,PAYMENT,2295.35,C449451469,48596.52,46301.17,M922096897,0.0,0.0
338,PAYMENT,9586.02,C208774762,99489.0,89902.98,M420317334,0.0,0.0
338,PAYMENT,1352.97,C1394835975,89902.98,88550.02,M1434180479,0.0,0.0
338,DEBIT,6836.52,C1412986188,44603.0,37766.48,C1451642858,2481471.89,2488308.4
338,PAYMENT,7556.56,C562306661,15298.0,7741.44,M1853395944,0.0,0.0
338,CASH_OUT,47325.73,C1708330363,7741.44,0.0,C1327589135,171962.21,219287.94
338,CASH_OUT,55241.97,C1918277272,110615.0,55373.03,C255575352,101153.51,156395.47
338,PAYMENT,182.58,C1931528577,2375.0,2192.42,M1508762590,0.0,0.0
338,PAYMENT,5461.5,C606639437,33793.0,28331.5,M1653355782,0.0,0.0
338,DEBIT,4102.42,C387286039,29811.0,25708.58,C1859283524,1274928.05,1279030.46
338,TRANSFER,113895.93,C558917176,20646.0,0.0,C1795413715,53237.97,167133.89
338,PAYMENT,7988.87,C1093799330,27888.0,19899.13,M1117070471,0.0,0.0
338,PAYMENT,9454.74,C2031826430,6058.0,0.0,M1532558659,0.0,0.0
338,PAYMENT,10435.05,C181843095,211431.0,200995.95,M1628178518,0.0,0.0
338,PAYMENT,5238.79,C1092117836,67494.0,62255.21,M1563835081,0.0,0.0
338,CASH_IN,59635.02,C1652252660,62255.21,121890.23,C173221861,497252.9,437617.88
338,CASH_IN,41128.81,C1672787285,121890.23,163019.05,C1962140712,202847.27,161718.45
338,CASH_IN,129242.57,C1627688554,163019.05,292261.62,C454727293,164118.74,34876.17
338,CASH_IN,209337.29,C227016945,292261.62,501598.91,C1426310555,228071.04,18733.75
338,CASH_IN,298144.57,C892627531,501598.91,799743.48,C1236587005,398898.63,100754.06
338,CASH_IN,32504.11,C1944879013,799743.48,832247.59,C1673386299,1641187.5,1608683.39
338,CASH_IN,211636.02,C912185452,832247.59,1043883.61,C304406283,920825.76,709189.75
338,CASH_IN,47642.01,C2065484254,1043883.61,1091525.62,C322184892,4350835.88,4303193.87
338,CASH_IN,73177.98,C1835832004,1091525.62,1164703.6,C1264821815,572562.02,499384.04
338,CASH_IN,46710.08,C2104351131,1164703.6,1211413.68,C1929958708,579127.14,532417.06
338,CASH_IN,357507.15,C1035006946,1211413.68,1568920.83,C422971499,1096824.98,739317.83
338,CASH_IN,39051.44,C545234867,1568920.83,1607972.27,C1402630256,1928519.99,1889468.55
338,CASH_IN,25647.42,C697091018,1607972.27,1633619.69,C2011798088,402447.44,376800.02
338,CASH_IN,292967.85,C977172065,1633619.69,1926587.55,C1772895422,2.624502916E7,2.59520613E7
338,CASH_IN,52086.31,C11250983,1926587.55,1978673.86,C2040997164,686842.2,634755.89
338,CASH_IN,247780.51,C1551181958,1978673.86,2226454.37,C990287866,1036675.08,788894.57
338,CASH_IN,39314.72,C321397329,2226454.37,2265769.09,C972197861,538351.79,499037.07
338,CASH_IN,43981.06,C1525465899,2265769.09,2309750.15,C656450941,219954.54,175973.47
338,CASH_IN,487647.95,C125013956,2309750.15,2797398.1,C1051411487,552902.37,65254.43
338,CASH_IN,169615.42,C1924642484,2797398.1,2967013.52,C1024978264,4599321.81,4429706.39
338,CASH_IN,108834.58,C543107097,2967013.52,3075848.09,C2068720842,880480.52,771645.94
338,CASH_IN,17904.81,C471224994,3075848.09,3093752.91,C667403177,52488.22,34583.4
338,CASH_IN,38475.59,C117502795,3093752.91,3132228.5,C549560629,43340.72,4865.12
338,CASH_IN,46844.67,C1221453577,3132228.5,3179073.17,C1845131899,47264.57,419.9
338,CASH_IN,314535.1,C294322665,3179073.17,3493608.28,C1905034907,608158.18,293623.07
338,CASH_IN,227947.49,C1067897400,3493608.28,3721555.77,C1064504470,1133548.24,905600.75
338,CASH_IN,147868.22,C1060955180,3721555.77,3869423.99,C1649187523,169523.19,21654.96
338,CASH_IN,19060.68,C409909613,3869423.99,3888484.67,C437956256,982480.01,963419.33
338,CASH_IN,174397.67,C1361274816,3888484.67,4062882.33,C2089198262,219455.41,45057.75
338,CASH_IN,94394.13,C1478314190,4062882.33,4157276.47,C524804429,7465036.65,7370642.52
338,CASH_IN,135089.66,C14211685,4157276.47,4292366.13,C1796041488,542436.88,407347.22
338,CASH_IN,255012.4,C1838202562,4292366.13,4547378.53,C630499677,332210.62,77198.22
338,CASH_IN,99280.59,C667404759,4547378.53,4646659.11,C1046372201,2346388.05,2247107.46
338,CASH_IN,17889.76,C355380953,4646659.11,4664548.87,C468933829,217828.01,199938.25
338,CASH_IN,97514.11,C1399014891,4664548.87,4762062.98,C764445035,661606.63,564092.52
