step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
311,PAYMENT,1962.43,C425508601,25590.0,23627.57,M579469628,0.0,0.0
311,CASH_OUT,37954.53,C1282837904,78127.0,40172.47,C202058342,358121.13,396075.66
311,PAYMENT,8397.82,C1705905159,5070.0,0.0,M435805501,0.0,0.0
311,PAYMENT,820.85,C1804119263,202878.0,202057.15,M334149171,0.0,0.0
311,PAYMENT,23390.92,C103894653,80010.0,56619.08,M1366715315,0.0,0.0
311,PAYMENT,4793.17,C2142690070,56619.08,51825.91,M967549437,0.0,0.0
311,PAYMENT,13668.69,C895828499,27484.0,13815.31,M1470926079,0.0,0.0
311,PAYMENT,6865.01,C504071031,21779.0,14913.99,M2060156162,0.0,0.0
311,PAYMENT,1636.62,C1696714130,10740.0,9103.38,M1457094333,0.0,0.0
311,PAYMENT,12523.91,C336289578,27522.0,14998.09,M898171844,0.0,0.0
311,PAYMENT,10624.19,C1588532666,4023.0,0.0,M1126081604,0.0,0.0
311,PAYMENT,15279.33,C220348674,46139.0,30859.67,M1892217921,0.0,0.0
311,PAYMENT,3197.91,C1458322727,30859.67,27661.76,M1625722682,0.0,0.0
311,PAYMENT,7953.29,C2144598133,75768.0,67814.71,M1217290546,0.0,0.0
311,PAYMENT,13008.46,C2143053825,10142.0,0.0,M729261971,0.0,0.0
311,TRANSFER,376049.84,C1267196632,118038.0,0.0,C2017541127,289026.29,665076.13
311,PAYMENT,666.16,C1882951019,107.0,0.0,M1817906957,0.0,0.0
311,PAYMENT,12564.63,C2055632426,180568.0,168003.37,M249813632,0.0,0.0
311,TRANSFER,415200.38,C580869858,22061.0,0.0,C147073685,0.0,415200.38
311,PAYMENT,8573.77,C369630939,0.0,0.0,M1609964822,0.0,0.0
311,PAYMENT,4733.73,C1339161522,69850.0,65116.27,M392287460,0.0,0.0
311,PAYMENT,22614.65,C1095368213,11987.0,0.0,M783828359,0.0,0.0
311,CASH_OUT,18384.36,C1853110153,14111.0,0.0,C849658542,250140.58,268524.94
311,CASH_OUT,108526.64,C1999308887,0.0,0.0,C2100987310,402288.98,510815.63
311,PAYMENT,1957.05,C2040330737,30532.0,28574.95,M358879032,0.0,0.0
311,PAYMENT,8935.08,C1516481122,28574.95,19639.87,M1973778633,0.0,0.0
311,PAYMENT,60181.48,C1810384125,19639.87,0.0,M1581288311,0.0,0.0
311,PAYMENT,27691.09,C423037543,0.0,0.0,M1200249528,0.0,0.0
311,PAYMENT,17626.8,C1860968728,0.0,0.0,M883754113,0.0,0.0
311,PAYMENT,11266.26,C359158849,0.0,0.0,M10650574,0.0,0.0
311,PAYMENT,20743.53,C256476707,0.0,0.0,M1402733127,0.0,0.0
311,PAYMENT,26475.59,C75603497,0.0,0.0,M271171972,0.0,0.0
311,PAYMENT,7914.34,C1393702204,0.0,0.0,M1613732643,0.0,0.0
311,PAYMENT,7413.74,C1758933465,0.0,0.0,M908912806,0.0,0.0
311,PAYMENT,19193.38,C1960149130,0.0,0.0,M1749023664,0.0,0.0
311,PAYMENT,10760.82,C959927959,0.0,0.0,M1745871055,0.0,0.0
311,PAYMENT,11205.19,C805760148,0.0,0.0,M661873503,0.0,0.0
311,PAYMENT,32520.12,C611519176,0.0,0.0,M862818065,0.0,0.0
311,PAYMENT,5251.27,C881375140,0.0,0.0,M140329969,0.0,0.0
311,PAYMENT,5590.03,C876887416,0.0,0.0,M1804483046,0.0,0.0
311,PAYMENT,30448.65,C449484452,0.0,0.0,M2028608711,0.0,0.0
311,PAYMENT,15738.26,C1842364767,0.0,0.0,M2005603338,0.0,0.0
311,PAYMENT,33366.84,C968541161,0.0,0.0,M295631933,0.0,0.0
311,PAYMENT,49159.0,C2116783592,0.0,0.0,M1370488163,0.0,0.0
311,PAYMENT,28496.43,C1046862132,0.0,0.0,M1484568017,0.0,0.0
311,PAYMENT,1373.3,C2056927227,0.0,0.0,M1425049902,0.0,0.0
311,PAYMENT,10922.06,C1145849597,0.0,0.0,M2032382360,0.0,0.0
311,PAYMENT,8293.09,C1378710696,43618.0,35324.91,M46415418,0.0,0.0
311,PAYMENT,6534.9,C605678385,238277.0,231742.1,M1087512923,0.0,0.0
311,PAYMENT,15870.47,C2036565469,21339.0,5468.53,M1517633829,0.0,0.0
311,PAYMENT,1511.63,C828275001,79570.0,78058.37,M1624723120,0.0,0.0
311,PAYMENT,2766.91,C92238362,112072.0,109305.09,M1970497529,0.0,0.0
311,PAYMENT,7393.11,C933646303,109305.09,101911.98,M1834886485,0.0,0.0
311,PAYMENT,14971.83,C323970374,51411.0,36439.17,M2112722041,0.0,0.0
311,CASH_OUT,20688.84,C2016474284,36439.17,15750.32,C2017438724,131525.53,152214.37
311,PAYMENT,6349.94,C1691878002,24532.0,18182.06,M206909178,0.0,0.0
311,PAYMENT,18641.29,C487210325,25990.0,7348.71,M1650474956,0.0,0.0
311,PAYMENT,3032.95,C1183808096,298780.0,295747.05,M1661517493,0.0,0.0
311,PAYMENT,687.78,C799328020,295747.05,295059.27,M1289290611,0.0,0.0
311,PAYMENT,26850.52,C1899511026,15584.0,0.0,M1474550134,0.0,0.0
311,PAYMENT,8533.68,C1584802041,314222.0,305688.32,M1521515231,0.0,0.0
311,PAYMENT,10651.16,C1793000151,16016.0,5364.84,M599678611,0.0,0.0
311,PAYMENT,7159.73,C1281399805,77304.0,70144.27,M366966316,0.0,0.0
311,CASH_OUT,375609.8,C117708794,70144.27,0.0,C2085533186,3297936.38,3673546.18
