step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
33,CASH_IN,95054.68,C2106345451,24672.0,119726.68,C922871524,3935169.95,3840115.27
33,PAYMENT,2323.83,C1575658290,14938.0,12614.17,M1586255517,0.0,0.0
33,CASH_OUT,256294.82,C1433685998,30924.0,0.0,C1101494900,0.0,256294.82
33,PAYMENT,843.51,C1255733684,25407.0,24563.49,M1109598446,0.0,0.0
33,CASH_OUT,71285.16,C2124922505,50640.0,0.0,C1557986692,625675.4,696960.55
33,CASH_IN,152164.85,C165381516,51241.0,203405.85,C1766137165,0.0,0.0
33,CASH_OUT,390827.58,C79939674,32390.0,0.0,C823040610,46375.08,437202.66
33,PAYMENT,15427.26,C1597815932,562395.0,546967.74,M472646372,0.0,0.0
33,CASH_IN,289496.6,C1225655048,330297.0,619793.6,C2124514638,0.0,0.0
33,PAYMENT,9457.77,C1402311531,619793.6,610335.82,M1768954425,0.0,0.0
33,CASH_OUT,110250.76,C364318417,994056.0,883805.24,C1169710214,79180.44,189431.19
33,DEBIT,3133.09,C748177708,45360.0,42226.91,C1362415458,442470.3,484749.67
33,CASH_IN,300048.54,C1399429407,151019.0,451067.54,C937262188,1234989.67,934941.13
33,CASH_OUT,56387.5,C975298713,528.0,0.0,C893801689,0.0,56387.5
33,CASH_IN,316023.44,C399356042,105126.0,421149.44,C1297348908,223390.77,0.0
33,CASH_IN,185414.73,C2037537398,9968.0,195382.73,C1501652707,3766360.66,3580945.94
33,CASH_OUT,475526.94,C1724679462,112153.0,0.0,C928094130,2.103917025E7,2.151469719E7
33,PAYMENT,11232.02,C1398576206,11102.0,0.0,M703543119,0.0,0.0
33,CASH_OUT,224894.29,C1109748206,223.0,0.0,C2014491385,39174.0,200578.03
33,PAYMENT,8601.59,C1078075705,0.0,0.0,M1997222811,0.0,0.0
33,CASH_OUT,63704.56,C663631738,20750.0,0.0,C593737334,0.0,832525.08
33,TRANSFER,907233.88,C1309491324,0.0,0.0,C241328157,3242331.96,4015315.4
33,TRANSFER,1168800.29,C521665389,7290.0,0.0,C205734787,0.0,1168800.29
33,PAYMENT,10173.63,C825136383,298448.0,288274.37,M1733115975,0.0,0.0
33,TRANSFER,403955.18,C1139270258,10626.0,0.0,C2082628894,102022.67,505977.85
33,CASH_OUT,158272.33,C1661707760,32208.0,0.0,C1892776528,37422.22,195694.55
33,TRANSFER,2025006.19,C650599426,21563.0,0.0,C1131125488,150881.41,3989783.95
33,CASH_OUT,35853.06,C730169317,113870.0,78016.94,C826390089,0.0,35853.06
33,PAYMENT,58.02,C1468918933,78016.94,77958.91,M1763174321,0.0,0.0
33,DEBIT,530.02,C1974243805,59435.0,58904.98,C618335476,172789.81,173319.83
33,CASH_OUT,55714.46,C1968616154,20301.0,0.0,C1669577717,2311988.61,1704911.53
33,PAYMENT,24202.51,C1300693409,170232.0,146029.49,M469458383,0.0,0.0
33,PAYMENT,3532.27,C180884756,128.0,0.0,M1246275317,0.0,0.0
33,CASH_IN,189914.47,C1060584468,56014.0,245928.47,C1029125570,9797443.18,9607528.7
33,CASH_IN,285220.68,C2120420120,6004.0,291224.68,C1614837211,2295625.85,1775796.85
33,PAYMENT,9107.78,C885641589,133.0,0.0,M993637911,0.0,0.0
33,CASH_OUT,92092.66,C1030290168,0.0,0.0,C472511801,6149086.79,6241179.45
33,CASH_OUT,35476.14,C1530207622,0.0,0.0,C1540214605,4033917.38,4069393.52
33,CASH_OUT,50913.87,C562904556,0.0,0.0,C82400954,1186260.55,1237174.42
33,CASH_OUT,42391.78,C1475526340,0.0,0.0,C334823028,370896.06,413287.84
33,CASH_OUT,266373.53,C766976504,0.0,0.0,C639862924,3234534.28,3500907.8
33,CASH_OUT,525921.06,C1579012325,0.0,0.0,C794978521,5811004.17,6336925.23
33,CASH_OUT,173220.0,C372761751,0.0,0.0,C1178950434,238562.94,411782.94
33,CASH_OUT,252262.94,C1416723467,0.0,0.0,C1501460927,387942.54,640205.48
33,CASH_OUT,92756.47,C1079848860,0.0,0.0,C298251125,2860712.15,2953468.62
33,CASH_OUT,416758.22,C1886868874,0.0,0.0,C588453906,500978.88,917737.1
33,CASH_OUT,12126.77,C1506612303,0.0,0.0,C616203825,630114.69,642241.47
33,CASH_OUT,23271.69,C109296217,0.0,0.0,C606706860,1613285.83,1636557.53
33,CASH_OUT,91019.88,C797660378,0.0,0.0,C2080781909,583871.33,674891.2
33,CASH_OUT,62968.97,C1704628132,0.0,0.0,C9869457,1369597.79,1432566.75
33,CASH_OUT,107028.05,C1413779508,0.0,0.0,C1311717305,826166.28,933194.33
33,CASH_OUT,256029.01,C1326365079,0.0,0.0,C1219241264,930226.14,1186255.16
33,CASH_OUT,62283.51,C978721064,0.0,0.0,C1281863046,79520.0,141803.51
33,CASH_OUT,255825.48,C192960105,0.0,0.0,C116678948,1535645.89,1791471.37
33,CASH_OUT,121397.96,C2067112477,0.0,0.0,C1171758755,2188459.48,2506425.24
33,CASH_OUT,66627.58,C1103982317,0.0,0.0,C1192902294,70957.0,111467.02
33,CASH_OUT,143310.48,C1272488101,0.0,0.0,C744072694,605071.39,748381.87
33,CASH_OUT,121979.16,C1122145449,0.0,0.0,C1257838201,745970.37,867949.53
33,CASH_OUT,79917.2,C336716706,0.0,0.0,C105129740,2426932.78,2506849.97
33,CASH_OUT,240304.27,C1048665547,0.0,0.0,C288665596,3231617.38,3471921.65
33,CASH_OUT,187394.03,C810684214,0.0,0.0,C1100493291,4815385.66,5002779.69
33,CASH_OUT,522337.95,C1724093001,0.0,0.0,C1096283470,6380960.97,6903298.92
33,CASH_OUT,353161.43,C2102686144,0.0,0.0,C1527935080,1082310.74,1435472.17
33,CASH_OUT,4654.37,C1225725092,0.0,0.0,C1920353605,273505.4,278159.77
33,CASH_OUT,312355.19,C1770293516,0.0,0.0,C1201342452,410417.71,722772.9
33,CASH_OUT,162187.29,C321855407,0.0,0.0,C659787299,5873302.12,6035489.41
33,CASH_OUT,298457.37,C1294710395,0.0,0.0,C1860319846,845086.89,1143544.26
33,CASH_OUT,514721.31,C2091921742,0.0,0.0,C122501657,3649269.61,4147075.28
33,CASH_OUT,5236.01,C833686333,0.0,0.0,C1928916442,43980.91,167157.81
33,CASH_OUT,200116.3,C1510521027,0.0,0.0,C2100246770,370750.09,286492.05
33,CASH_OUT,171026.95,C1241531799,0.0,0.0,C1833467691,4331747.41,4375310.5
33,CASH_OUT,132908.13,C927410136,0.0,0.0,C535259904,179817.7,312725.83
33,CASH_OUT,36638.58,C236337902,0.0,0.0,C414386513,372580.06,409218.64
33,CASH_OUT,287398.69,C298276175,0.0,0.0,C774852893,2038659.95,2326058.64
33,CASH_OUT,502842.37,C1495500317,0.0,0.0,C1418266079,2426168.45,2929010.81
