step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
661,CASH_OUT,136646.35,C171881325,216050.0,79403.65,C1549295610,948889.36,1085535.71
661,CASH_OUT,104058.96,C667463419,79403.65,0.0,C1513655036,597554.58,701613.54
661,PAYMENT,1.11,C715366437,27255.0,27253.89,M41734786,0.0,0.0
661,CASH_IN,163200.15,C2108079227,133536.0,296736.15,C1808781365,71876.77,0.0
661,PAYMENT,7144.59,C536570434,21478.0,14333.41,M686703376,0.0,0.0
661,PAYMENT,8482.14,C1281522765,16717.0,8234.86,M82789598,0.0,0.0
661,CASH_OUT,153931.78,C1082300283,719504.0,565572.22,C2065911723,0.0,153931.78
661,CASH_OUT,49564.27,C447658680,633508.0,583943.73,C2123315577,743492.09,793056.36
661,TRANSFER,863466.09,C1173433780,10723.0,0.0,C797258113,3577782.7,4441248.78
661,CASH_OUT,126591.52,C994461792,291228.0,164636.48,C810472206,519094.15,645685.67
661,CASH_OUT,152957.82,C1873488188,164636.48,11678.66,C1450931034,2031363.14,2184320.96
661,CASH_IN,171774.42,C12526859,146787.0,318561.42,C1604541025,0.0,0.0
661,CASH_OUT,71640.67,C1282356261,36498.0,0.0,C238987731,1129925.81,1201566.47
661,CASH_IN,460716.32,C1172533376,21346.0,482062.32,C1868826498,1097744.99,637028.67
661,CASH_OUT,224313.81,C1933001673,17275.0,0.0,C810599775,1109167.89,1333481.71
661,CASH_IN,267771.74,C173651929,143422.0,411193.74,C1870711772,1996085.94,1728314.2
661,CASH_OUT,31606.52,C1067607211,52643.0,21036.48,C617782460,145577.74,177184.26
661,CASH_IN,217754.58,C1629189295,8032.0,225786.58,C565061096,0.0,0.0
661,CASH_OUT,483053.37,C679168590,20950.0,0.0,C564071508,0.0,483053.37
661,CASH_IN,500972.41,C1868285927,37146.0,538118.41,C1362750187,1050532.72,549560.31
661,CASH_OUT,434648.89,C1139831195,297.0,0.0,C267712212,0.0,434648.89
661,CASH_IN,127586.75,C2037697350,869841.0,997427.75,C1997556661,280999.18,153412.43
661,PAYMENT,15050.13,C187684636,98111.0,83060.87,M989482337,0.0,0.0
661,CASH_OUT,82399.86,C2051444492,32952.0,0.0,C944351572,216696.12,299095.98
661,CASH_OUT,59971.24,C632772089,0.0,0.0,C1794610108,1930155.03,1990126.27
661,CASH_IN,68963.9,C1347805540,19887.0,88850.9,C924954315,1163728.46,1094764.56
661,CASH_OUT,257001.81,C950808394,205551.0,0.0,C1261435426,278300.56,535302.36
661,CASH_OUT,229618.85,C1994189244,220.0,0.0,C1482375485,0.0,229618.85
661,PAYMENT,13108.77,C1775989251,3542.0,0.0,M385544349,0.0,0.0
661,PAYMENT,10122.31,C1341475703,0.0,0.0,M1584781884,0.0,0.0
661,PAYMENT,7971.7,C1812787355,24747.0,16775.3,M758356895,0.0,0.0
661,TRANSFER,328191.14,C1215873981,30763.0,0.0,C123475765,7693026.63,8021217.77
661,PAYMENT,5529.41,C942425268,0.0,0.0,M867164930,0.0,0.0
661,CASH_OUT,181034.96,C49375627,198130.0,17095.04,C40567452,0.0,181034.96
661,PAYMENT,3305.82,C211433283,17095.04,13789.22,M1456065408,0.0,0.0
661,CASH_IN,534765.49,C439522728,6009.0,540774.49,C529770176,840006.84,305241.35
661,CASH_OUT,396280.13,C327551572,149.0,0.0,C1853166251,33444.43,429724.56
661,CASH_OUT,141152.38,C1325078344,9955.0,0.0,C121050126,11652.17,152804.55
661,CASH_OUT,400099.01,C1458983132,90327.0,0.0,C1789342788,7434567.92,7834666.92
661,CASH_OUT,190917.26,C1483149439,183181.0,0.0,C436937420,536258.95,727176.21
661,CASH_OUT,369022.92,C2064672141,16019.0,0.0,C638790199,379563.8,748586.72
661,CASH_IN,116120.9,C1833397488,22405.0,138525.9,C1080408248,0.0,0.0
661,CASH_IN,79070.31,C164868404,58914.0,137984.31,C90990418,633253.4,554183.09
661,TRANSFER,1044035.34,C1767357593,137984.31,0.0,C809141640,1161273.36,2205308.7
661,TRANSFER,91933.94,C286490675,0.0,0.0,C1937997013,115412.24,207346.18
661,CASH_IN,290696.97,C1206210061,34131.0,324827.97,C1692499678,887261.37,596564.4
661,CASH_IN,368491.58,C1395334612,112850.0,481341.58,C52236857,0.0,0.0
661,PAYMENT,9838.01,C122474588,481341.58,471503.57,M181652126,0.0,0.0
661,PAYMENT,19070.79,C1739290863,471503.57,452432.78,M1818565747,0.0,0.0
661,PAYMENT,18997.71,C223018899,452432.78,433435.07,M425280414,0.0,0.0
661,PAYMENT,8908.71,C629750874,433435.07,424526.36,M1640708636,0.0,0.0
661,PAYMENT,4603.61,C992475089,424526.36,419922.76,M1748047512,0.0,0.0
661,PAYMENT,19506.93,C70683688,419922.76,400415.83,M1016421736,0.0,0.0
661,PAYMENT,11205.05,C948485204,400415.83,389210.78,M1483601931,0.0,0.0
661,PAYMENT,3362.82,C1745516770,389210.78,385847.96,M2128742038,0.0,0.0
661,PAYMENT,6541.03,C58031874,385847.96,379306.92,M879715015,0.0,0.0
661,PAYMENT,33081.13,C253346240,379306.92,346225.8,M1637986307,0.0,0.0
661,PAYMENT,7799.25,C1225018970,346225.8,338426.55,M103970023,0.0,0.0
661,PAYMENT,3829.89,C1197781536,338426.55,334596.66,M732504935,0.0,0.0
661,PAYMENT,11914.62,C1077202646,334596.66,322682.04,M1437863803,0.0,0.0
661,PAYMENT,13987.96,C933450335,322682.04,308694.08,M1433664983,0.0,0.0
661,TRANSFER,701854.73,C861391825,75386.0,0.0,C419839655,0.0,701854.73
661,CASH_IN,580773.33,C1189991703,583.0,581356.33,C964124182,0.0,0.0
661,CASH_OUT,113050.57,C1810974271,581356.33,468305.76,C1088581558,507065.26,620115.83
661,CASH_OUT,130175.51,C564564947,2073.0,0.0,C1840248417,0.0,130175.51
661,CASH_OUT,266506.32,C740478325,0.0,0.0,C1281898359,1.243428554E7,1.270079186E7
661,PAYMENT,15242.02,C72343691,923.0,0.0,M1701748355,0.0,0.0
661,PAYMENT,23762.74,C1891873270,0.0,0.0,M1253086206,0.0,0.0
661,PAYMENT,12988.56,C830499227,0.0,0.0,M546010030,0.0,0.0
661,CASH_IN,531225.91,C1302997576,4020.0,535245.91,C2075119778,0.0,0.0
661,PAYMENT,17321.26,C55279456,535245.91,517924.65,M833946147,0.0,0.0
661,PAYMENT,2277.32,C1247285688,517924.65,515647.33,M1446812369,0.0,0.0
661,PAYMENT,3617.88,C248798985,515647.33,512029.44,M401203434,0.0,0.0
661,PAYMENT,31946.35,C490141310,512029.44,480083.09,M795745563,0.0,0.0
661,PAYMENT,11229.96,C65938408,480083.09,468853.13,M1540910543,0.0,0.0
661,PAYMENT,11464.63,C1903683020,468853.13,457388.51,M783198268,0.0,0.0
661,PAYMENT,13212.59,C1554857826,457388.51,444175.92,M1149470509,0.0,0.0
661,PAYMENT,4093.35,C169104372,444175.92,440082.57,M1369499074,0.0,0.0
661,PAYMENT,14476.38,C1682147003,440082.57,425606.19,M1017241585,0.0,0.0
661,PAYMENT,8305.7,C335716450,425606.19,417300.49,M1113250261,0.0,0.0
661,PAYMENT,6659.55,C978643323,417300.49,410640.93,M137951127,0.0,0.0
661,PAYMENT,2249.3,C154687298,410640.93,408391.63,M498639809,0.0,0.0
661,PAYMENT,3222.6,C12230204,408391.63,405169.03,M1332823539,0.0,0.0
661,PAYMENT,2403.34,C79206680,405169.03,402765.69,M1548125413,0.0,0.0
661,PAYMENT,17567.38,C140093999,402765.69,385198.32,M1296185354,0.0,0.0
661,PAYMENT,5847.18,C225577187,385198.32,379351.14,M1711002628,0.0,0.0
661,PAYMENT,34442.53,C548799046,379351.14,344908.61,M2095639602,0.0,0.0
661,PAYMENT,13581.07,C1640027740,344908.61,331327.54,M1512072596,0.0,0.0
661,PAYMENT,36441.35,C1242888356,331327.54,294886.19,M1898321064,0.0,0.0
661,PAYMENT,12508.68,C380853990,294886.19,282377.51,M1340507489,0.0,0.0
661,PAYMENT,3090.99,C576361953,282377.51,279286.51,M1670927958,0.0,0.0
661,PAYMENT,7670.75,C1875927213,279286.51,271615.76,M350633403,0.0,0.0
661,PAYMENT,7370.89,C1650808667,271615.76,264244.88,M1131321255,0.0,0.0
661,CASH_OUT,361635.32,C802636399,14900.0,0.0,C1469163694,0.0,361635.32
661,PAYMENT,10038.42,C184134091,0.0,0.0,M1114568768,0.0,0.0
661,PAYMENT,13832.82,C1972014085,0.0,0.0,M1624997089,0.0,0.0
661,CASH_OUT,88008.07,C665528000,11279.0,0.0,C659261536,10723.81,98731.88
661,CASH_OUT,378258.43,C305297037,0.0,0.0,C1244577604,599317.65,977576.08
661,CASH_IN,328930.08,C871971434,106003.0,434933.08,C1618193371,111266.98,0.0
661,PAYMENT,21616.33,C150893696,31337.0,9720.67,M1981664889,0.0,0.0
661,CASH_OUT,521950.52,C1998215209,2070.0,0.0,C1864868324,165058.2,687008.72
661,DEBIT,12473.14,C231343818,147711.0,135237.86,C314226506,398437.21,410910.35
661,PAYMENT,20832.71,C1986734471,4968.0,0.0,M1855807285,0.0,0.0
661,PAYMENT,21401.62,C1264818655,16240.0,0.0,M381827631,0.0,0.0
661,CASH_IN,203931.86,C961154657,24842.0,228773.86,C958609095,1883240.33,1679308.47
661,PAYMENT,16658.84,C1034586762,228773.86,212115.01,M1783644545,0.0,0.0
661,PAYMENT,16300.12,C1833180582,21237.0,4936.88,M76820329,0.0,0.0
661,TRANSFER,1015310.89,C1828920235,4936.88,0.0,C105181454,1019922.4,2035233.29
661,PAYMENT,7313.77,C95884227,225.0,0.0,M1213437950,0.0,0.0
661,CASH_OUT,128306.7,C1838749434,72005.0,0.0,C584973934,857660.15,985966.85
661,PAYMENT,6593.65,C414353057,10893.0,4299.35,M623294335,0.0,0.0
661,PAYMENT,6250.6,C1897805890,4299.35,0.0,M1419103837,0.0,0.0
661,CASH_OUT,358109.47,C1478413792,51413.0,0.0,C1737361311,0.0,358109.47
661,CASH_OUT,281450.23,C1217598675,10790.0,0.0,C1986952942,20396.43,301846.66
661,CASH_OUT,340977.2,C1213196715,0.0,0.0,C259703433,521692.49,862669.69
661,CASH_IN,207990.02,C844243417,51397.0,259387.02,C1887109772,1447292.52,1239302.5
661,CASH_OUT,367330.14,C479038398,28552.0,0.0,C800112781,8200.08,375530.22
661,PAYMENT,5818.81,C1281896816,0.0,0.0,M2069732327,0.0,0.0
661,CASH_OUT,69134.53,C1478635964,60094.0,0.0,C369785021,0.0,69134.53
661,CASH_IN,326550.75,C679641469,17051.0,343601.75,C236351530,137779.63,0.0
661,TRANSFER,4392.05,C636274348,191.0,0.0,C1867896025,1872088.79,1876480.84
661,CASH_OUT,26058.43,C846848853,49521.0,23462.57,C1776111660,597610.58,623669.01
661,CASH_OUT,13321.38,C2065668983,100495.0,87173.62,C53225656,0.0,13321.38
661,CASH_OUT,138560.33,C1193960448,87173.62,0.0,C1910303979,404032.85,542593.18
661,CASH_OUT,131129.13,C78648303,32276.0,0.0,C1936975988,61775.77,192904.9
661,TRANSFER,385037.43,C2033072999,30744.0,0.0,C983036087,0.0,385037.43
661,PAYMENT,5023.56,C2129511190,20922.0,15898.44,M1794355887,0.0,0.0
661,CASH_OUT,279383.66,C1851321205,10911.0,0.0,C2129390929,200045.11,479428.77
661,CASH_IN,255063.24,C1713705178,253349.0,508412.24,C299319362,1.055261399E7,1.029755075E7
