step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
456,TRANSFER,448266.86,C874085933,448266.86,0.0,C2077005975,0.0,0.0
456,CASH_OUT,448266.86,C978638319,448266.86,0.0,C1081325178,47028.83,495295.7
456,TRANSFER,4017972.88,C571696283,4017972.88,0.0,C340828714,0.0,0.0
456,CASH_OUT,4017972.88,C826677509,4017972.88,0.0,C1483869567,0.0,4017972.88
456,TRANSFER,30548.46,C1322381590,30548.46,0.0,C876969670,0.0,0.0
456,CASH_OUT,30548.46,C1387708046,30548.46,0.0,C1963829295,804314.46,834862.92
456,TRANSFER,1.0E7,C1807237119,1.058539614E7,585396.14,C1910239392,0.0,0.0
456,CASH_OUT,1.0E7,C1790414268,1.0E7,0.0,C1595458981,13098.64,1.001309864E7
456,TRANSFER,585396.14,C732924093,585396.14,0.0,C1550431717,0.0,0.0
456,CASH_OUT,585396.14,C1275728264,585396.14,0.0,C62774884,1984527.66,2569923.8
456,TRANSFER,79717.14,C1726453809,79717.14,0.0,C1824298603,0.0,0.0
456,CASH_OUT,79717.14,C812331836,79717.14,0.0,C1874670723,0.0,79717.14
456,TRANSFER,760984.58,C1733734380,760984.58,0.0,C1612257977,0.0,0.0
456,CASH_OUT,760984.58,C2076996831,760984.58,0.0,C1951439287,1550675.96,2311660.54
456,TRANSFER,38180.99,C556813703,38180.99,0.0,C1076802652,0.0,0.0
456,CASH_OUT,38180.99,C1210808398,38180.99,0.0,C475311068,134902.72,173083.71
456,TRANSFER,13914.81,C449877864,13914.81,0.0,C727110696,0.0,0.0
456,CASH_OUT,13914.81,C44196449,13914.81,0.0,C477039753,1495380.79,1509295.6
