step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
517,CASH_OUT,138192.95,C1759915551,30633.0,0.0,C2105612323,226339.26,364532.21
517,CASH_OUT,93854.89,C1716668524,51726.0,0.0,C777298766,811027.23,904882.12
517,CASH_OUT,239642.2,C1794635701,107941.0,0.0,C2023150630,279965.2,519607.4
517,PAYMENT,7087.26,C1048968159,0.0,0.0,M1732951238,0.0,0.0
517,CASH_IN,92275.53,C330271083,356860.0,449135.53,C1110012862,8127.09,0.0
517,PAYMENT,18442.18,C1185976052,14324.0,0.0,M1476054782,0.0,0.0
517,TRANSFER,978433.4,C1701114955,55251.0,0.0,C1408686573,1.175856515E7,1.273699855E7
517,CASH_OUT,328255.97,C175103325,20897.0,0.0,C1134383136,664569.67,992825.64
517,CASH_IN,32670.68,C1223308746,431975.0,464645.68,C564774269,0.0,0.0
517,CASH_IN,300825.74,C1231458071,102062.0,402887.74,C805086227,0.0,0.0
517,PAYMENT,3151.88,C191032540,402887.74,399735.86,M2140360152,0.0,0.0
517,PAYMENT,3935.07,C1724806021,399735.86,395800.79,M464340604,0.0,0.0
517,CASH_OUT,391299.06,C120937945,12060.0,0.0,C539697033,0.0,391299.06
517,PAYMENT,774.0,C1655516522,0.0,0.0,M2003445985,0.0,0.0
517,CASH_OUT,78487.96,C100994774,955.0,0.0,C1176644073,1640597.81,1719085.78
517,PAYMENT,4300.38,C728973402,36919.0,32618.62,M549383715,0.0,0.0
517,CASH_OUT,46961.62,C104200181,32618.62,0.0,C834123437,899258.16,946219.78
517,CASH_OUT,735.02,C677919323,0.0,0.0,C1562451833,246545.39,247280.41
517,PAYMENT,31226.78,C422108828,136.0,0.0,M1320215660,0.0,0.0
517,CASH_IN,254847.89,C1737701392,0.0,254847.89,C608757258,273398.22,18550.33
517,CASH_IN,161035.82,C239107163,254847.89,415883.7,C778431720,295934.9,134899.09
517,CASH_IN,108275.32,C1371770673,415883.7,524159.03,C421842399,403717.44,295442.12
517,CASH_IN,181576.97,C412713697,524159.03,705736.0,C1527378317,1061186.22,879609.25
517,CASH_IN,11626.09,C1723099738,705736.0,717362.09,C1766967277,25366.98,13740.89
517,CASH_IN,269894.96,C1805344883,717362.09,987257.05,C542928895,1356626.86,1086731.9
517,CASH_IN,15582.84,C653049910,987257.05,1002839.89,C574120307,1.896176983E7,1.894618699E7
517,CASH_IN,223181.27,C1924579456,1002839.89,1226021.16,C1954934292,1034867.15,811685.89
517,CASH_IN,144740.85,C932545078,1226021.16,1370762.01,C1239506187,923923.21,779182.36
517,CASH_IN,62510.28,C121496655,1370762.01,1433272.29,C1301465227,406250.85,343740.56
517,CASH_IN,38395.18,C1200650734,1433272.29,1471667.48,C1512892400,1.170640766E7,1.166801248E7
517,CASH_IN,37098.04,C57017180,1471667.48,1508765.51,C1275673913,853078.45,815980.41
517,CASH_IN,175351.46,C410629428,1508765.51,1684116.97,C47579550,5834886.49,5659535.04
517,CASH_IN,89805.01,C1888364008,1684116.97,1773921.98,C1310864170,1.077486823E7,1.068506321E7
517,CASH_IN,189410.82,C873823518,1773921.98,1963332.8,C702990453,293849.03,104438.21
517,CASH_IN,152306.9,C123401251,1963332.8,2115639.7,C128620441,504348.22,352041.32
517,CASH_IN,37523.52,C1390354921,2115639.7,2153163.22,C1943434047,1107136.09,1069612.58
517,CASH_IN,321981.62,C1400897343,2153163.22,2475144.84,C460451653,1463394.96,1141413.34
517,CASH_IN,262929.1,C1285395907,2475144.84,2738073.93,C998575631,496427.26,233498.16
517,CASH_IN,134971.99,C473340831,2738073.93,2873045.92,C226197827,167361.48,32389.5
517,CASH_IN,153510.69,C936194457,2873045.92,3026556.61,C1152856662,389742.29,236231.6
517,CASH_IN,136077.13,C459777624,3026556.61,3162633.74,C1883836279,506509.78,370432.64
517,CASH_IN,4328.94,C997460858,3162633.74,3166962.68,C1807858012,1875335.56,1871006.62
517,CASH_IN,93642.35,C330733032,3166962.68,3260605.03,C71432014,101777.78,8135.43
517,CASH_IN,143564.99,C1294548990,3260605.03,3404170.02,C1426888956,299194.4,155629.41
517,CASH_IN,294083.66,C1809450341,3404170.02,3698253.68,C1823156981,528970.98,234887.32
517,CASH_IN,26233.91,C1894706367,3698253.68,3724487.59,C792129865,215670.26,189436.35
517,CASH_IN,18872.2,C1473265311,3724487.59,3743359.79,C1700320775,187748.59,168876.39
517,CASH_IN,344925.94,C1392655700,3743359.79,4088285.73,C1452134377,1655584.66,1310658.72
517,CASH_IN,311039.93,C1758002044,4088285.73,4399325.67,C477148400,4630282.69,4319242.76
517,CASH_IN,194709.58,C1875147214,4399325.67,4594035.24,C796037323,1941651.37,1746941.79
517,CASH_IN,415121.45,C968267375,4594035.24,5009156.69,C154960847,1521039.56,1105918.11
517,CASH_IN,400508.02,C2073879696,5009156.69,5409664.71,C1960859010,1654028.06,1253520.04
517,CASH_IN,99312.15,C1411445636,5409664.71,5508976.86,C93103533,485032.42,385720.27
517,CASH_IN,266882.68,C409402055,5508976.86,5775859.54,C1941984638,5149541.48,4882658.8
517,CASH_IN,169407.92,C367923786,5775859.54,5945267.46,C1855222043,8167650.77,7998242.85
517,CASH_IN,143722.63,C155900931,5945267.46,6088990.09,C1388219149,1020330.32,876607.69
517,CASH_IN,81713.51,C1520804477,6088990.09,6170703.6,C1182701573,1143626.27,1061912.76
517,CASH_IN,297830.51,C1966787372,6170703.6,6468534.11,C652365978,6.499956276E7,6.470173225E7
517,CASH_IN,125479.58,C279178115,6468534.11,6594013.69,C800891387,302242.44,176762.87
517,CASH_IN,337825.68,C1339459408,6594013.69,6931839.37,C248696683,633428.4,295602.71
517,CASH_IN,46123.13,C949445277,6931839.37,6977962.5,C578934939,1781393.06,1735269.92
517,CASH_IN,49531.16,C467119368,6977962.5,7027493.66,C1477908363,70156.75,20625.59
517,CASH_IN,169392.85,C338141698,7027493.66,7196886.51,C1933503897,3228120.46,3058727.62
517,CASH_IN,253828.23,C1873824721,7196886.51,7450714.74,C1257244610,3421182.97,3167354.74
517,CASH_IN,298444.29,C1823493936,7450714.74,7749159.03,C1537037787,7721354.18,7422909.89
517,CASH_IN,39541.76,C1252589635,7749159.03,7788700.79,C1418989379,561046.03,521504.27
517,CASH_IN,116665.04,C1672973478,7788700.79,7905365.83,C1918701314,165089.77,48424.72
517,CASH_IN,13773.01,C246721986,7905365.83,7919138.84,C97910491,2106148.95,2092375.94
517,CASH_IN,75932.49,C1611905771,7919138.84,7995071.33,C1750536320,330025.6,254093.12
517,CASH_IN,9603.12,C1656362418,7995071.33,8004674.45,C64043539,432836.58,423233.46
517,CASH_IN,299114.88,C1035429887,8004674.45,8303789.33,C1471007413,528146.13,229031.25
517,CASH_IN,186140.07,C373688118,8303789.33,8489929.4,C1839750287,3452050.02,3265909.95
517,CASH_IN,85697.25,C1811882999,8489929.4,8575626.65,C628452876,94470.85,8773.6
517,CASH_IN,165742.68,C1507507391,8575626.65,8741369.33,C904550894,170783.33,5040.65
517,CASH_IN,310387.92,C1607770340,8741369.33,9051757.26,C1466293753,1538361.98,1227974.05
517,CASH_IN,61763.33,C2039313311,9051757.26,9113520.58,C1877516204,1847368.35,1785605.02
517,CASH_IN,97268.79,C1811879874,9113520.58,9210789.38,C36577797,1820204.57,1722935.77
517,CASH_IN,233916.96,C1733058886,9210789.38,9444706.33,C1204295263,1087905.49,853988.53
517,CASH_IN,66375.99,C501558987,9444706.33,9511082.33,C1684031871,4264713.4,4198337.41
517,CASH_IN,214207.71,C258385763,9511082.33,9725290.03,C228276514,2547580.36,2333372.65
517,CASH_IN,175206.73,C481615946,9725290.03,9900496.77,C1584971827,848209.21,673002.48
517,CASH_OUT,508305.86,C410445003,40917.0,0.0,C723399104,511183.74,1019489.6
517,PAYMENT,18290.16,C743506552,0.0,0.0,M372700462,0.0,0.0
517,CASH_OUT,171587.47,C767287570,28024.0,0.0,C1122096188,0.0,171587.47
