step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
352,CASH_OUT,411537.45,C137675121,10082.0,0.0,C1677421766,0.0,411537.45
352,CASH_OUT,28800.32,C742773583,41563.0,12762.68,C205292676,550163.45,578963.77
352,CASH_OUT,252560.6,C1772890363,30734.0,0.0,C500136648,0.0,252560.6
352,CASH_OUT,605175.78,C1163993187,0.0,0.0,C902862816,1443822.62,2048998.4
352,CASH_OUT,289511.6,C1802526455,64768.0,0.0,C1624052208,1663176.66,1952688.26
352,PAYMENT,8577.8,C1772955517,459.0,0.0,M1632514371,0.0,0.0
352,TRANSFER,1443893.44,C761292593,0.0,0.0,C1138806458,3355980.47,4799873.91
352,TRANSFER,314329.82,C1141769100,0.0,0.0,C1723517772,519275.19,833605.01
352,CASH_OUT,702273.57,C1150829247,30160.0,0.0,C820603162,710696.52,1412970.08
352,PAYMENT,17129.62,C1414313798,29994.0,12864.38,M2050693905,0.0,0.0
352,CASH_OUT,190665.0,C1318942137,3011.0,0.0,C594486047,448506.62,639171.62
352,PAYMENT,6411.6,C1209420655,0.0,0.0,M2035364780,0.0,0.0
352,PAYMENT,9760.34,C1536187396,0.0,0.0,M2114308722,0.0,0.0
352,TRANSFER,302307.66,C78822382,79570.0,0.0,C1619174061,0.0,302307.66
352,CASH_OUT,956.32,C1947088007,118028.0,117071.68,C185812407,396802.8,397759.12
352,CASH_OUT,308405.67,C757540478,88953.0,0.0,C750452235,4.387952515E7,4.418793081E7
352,TRANSFER,2084003.16,C2099331058,0.0,0.0,C1860895538,2432455.85,4516459.01
352,CASH_IN,92635.31,C1818068595,50.0,92685.31,C276211819,0.0,0.0
352,PAYMENT,4203.79,C1769094515,203595.0,199391.21,M2113073909,0.0,0.0
352,CASH_IN,108425.71,C165190678,294.0,108719.71,C892993362,164416.96,55991.25
352,PAYMENT,7381.93,C162983232,22434.0,15052.07,M1909969056,0.0,0.0
352,TRANSFER,2027097.62,C467202357,15052.07,0.0,C678651991,4593855.23,6620952.85
352,CASH_IN,278782.37,C1445852788,19537.0,298319.37,C932801009,0.0,0.0
352,PAYMENT,8049.44,C1750060316,298319.37,290269.93,M659706469,0.0,0.0
352,CASH_IN,151776.06,C2069843683,61534.0,213310.06,C227960485,155651.44,3875.38
352,PAYMENT,39.95,C1123588522,16532.0,16492.05,M1414106052,0.0,0.0
352,PAYMENT,27846.69,C1639791186,21816.0,0.0,M1620330704,0.0,0.0
352,CASH_OUT,455590.13,C1722267809,0.0,0.0,C496891141,2062023.13,2517613.26
352,CASH_OUT,196468.18,C2124941338,0.0,0.0,C1546937283,1423264.93,1619733.11
352,CASH_OUT,74337.17,C1984938551,11193.0,0.0,C1383206576,305533.71,379870.88
352,CASH_OUT,370214.57,C878692070,5071.0,0.0,C598577514,8307617.94,1.048583168E7
352,CASH_IN,256201.85,C1868960380,26391.0,282592.85,C828769106,54344.45,0.0
352,CASH_OUT,61999.72,C1370500946,104637.0,42637.28,C1761123232,1152026.95,1214026.67
352,CASH_OUT,418358.42,C1499857193,48243.0,0.0,C1327114391,2287030.32,2705388.74
352,CASH_OUT,520562.5,C331645973,31276.0,0.0,C419437286,2871485.46,3392047.97
352,CASH_OUT,472532.04,C1282310627,39767.0,0.0,C46387816,592161.56,1064693.61
352,PAYMENT,2003.49,C477429123,34186.0,32182.51,M1978845293,0.0,0.0
352,CASH_IN,248936.91,C1109462762,21049.0,269985.91,C1208440894,1236020.9,987083.99
352,CASH_IN,275215.56,C2054749908,41840.0,317055.56,C1073236208,323770.35,48554.79
352,CASH_OUT,19906.13,C1104907517,10101.0,0.0,C716403028,2029722.66,2049628.79
352,PAYMENT,7983.01,C579441931,33124.0,25140.99,M1754630638,0.0,0.0
352,CASH_OUT,181819.59,C1436959862,482419.0,300599.41,C1262827108,20172.61,201992.2
352,PAYMENT,14425.78,C1216845403,300599.41,286173.63,M642278285,0.0,0.0
352,CASH_OUT,244254.4,C1658209363,21246.0,0.0,C104835636,0.0,244254.4
352,CASH_IN,129252.75,C87308683,41299.0,170551.75,C1422234526,563044.0,433791.25
352,CASH_OUT,409285.02,C1911898680,170551.75,0.0,C540669197,773956.01,1183241.03
352,CASH_OUT,324815.17,C348390272,11597.0,0.0,C65153900,648757.75,973572.92
352,CASH_OUT,318692.73,C1155545495,0.0,0.0,C557134189,2024587.07,2343279.8
352,CASH_IN,191816.33,C1622976737,19830.0,211646.33,C205791102,283406.61,91590.28
352,PAYMENT,13912.74,C990106188,211646.33,197733.59,M258940591,0.0,0.0
352,CASH_OUT,374888.21,C1241952852,1750.0,0.0,C2044269433,0.0,374888.21
352,PAYMENT,6225.47,C1341710421,0.0,0.0,M1791806036,0.0,0.0
352,PAYMENT,16928.34,C488713156,57241.0,40312.66,M1657454118,0.0,0.0
