step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
286,PAYMENT,171.24,C676927300,75822.0,75650.76,M878319324,0.0,0.0
286,PAYMENT,1866.35,C125796092,131707.0,129840.65,M2090379817,0.0,0.0
286,PAYMENT,31730.66,C479945161,129840.65,98109.99,M2022930544,0.0,0.0
286,PAYMENT,1018.14,C82276608,98109.99,97091.85,M1024940631,0.0,0.0
286,DEBIT,430.46,C2051399957,50457.0,50026.54,C826484000,655859.68,656290.14
286,PAYMENT,6789.58,C427185877,32032.0,25242.42,M640048010,0.0,0.0
286,PAYMENT,8982.01,C560228603,22908.0,13925.99,M1962698891,0.0,0.0
286,PAYMENT,8252.91,C1595361343,11078.0,2825.09,M1266262620,0.0,0.0
286,CASH_OUT,96302.76,C1230518392,62876.0,0.0,C782730249,0.0,96302.76
286,PAYMENT,43066.91,C1593293288,0.0,0.0,M1002722489,0.0,0.0
286,PAYMENT,6370.22,C1026128607,43160.0,36789.78,M892997370,0.0,0.0
286,PAYMENT,1546.24,C1457637708,10884.0,9337.76,M1335439029,0.0,0.0
286,PAYMENT,6774.25,C965757467,82962.0,76187.75,M1547230733,0.0,0.0
286,PAYMENT,4092.73,C72075119,69625.0,65532.27,M44150229,0.0,0.0
286,PAYMENT,3519.98,C970653448,900.0,0.0,M587765384,0.0,0.0
286,PAYMENT,25329.88,C2032291129,0.0,0.0,M1994561741,0.0,0.0
286,PAYMENT,814.76,C414063526,31704.0,30889.24,M2146788077,0.0,0.0
286,PAYMENT,11604.32,C341156783,257146.0,245541.68,M1989371160,0.0,0.0
286,PAYMENT,6993.01,C503853895,30779.0,23785.99,M1245628513,0.0,0.0
286,CASH_OUT,243768.38,C1934578258,22485.0,0.0,C1641503777,0.0,243768.38
286,PAYMENT,36612.6,C504971910,0.0,0.0,M1096075273,0.0,0.0
286,PAYMENT,2215.85,C2106948994,68256.0,66040.15,M1950449056,0.0,0.0
286,PAYMENT,7836.21,C538451164,11228.0,3391.79,M1206623318,0.0,0.0
286,CASH_OUT,32369.5,C298090564,106190.0,73820.5,C1591929503,73280.04,105649.54
286,PAYMENT,9289.12,C1855411105,73820.5,64531.38,M235490387,0.0,0.0
286,PAYMENT,1532.46,C354121960,261635.0,260102.54,M552078511,0.0,0.0
286,PAYMENT,5734.02,C1958103368,179.0,0.0,M807004249,0.0,0.0
286,PAYMENT,1243.46,C2123041418,21605.0,20361.54,M518454400,0.0,0.0
286,PAYMENT,46077.09,C1482431005,20361.54,0.0,M670595695,0.0,0.0
286,PAYMENT,11731.07,C16907072,0.0,0.0,M682231068,0.0,0.0
286,PAYMENT,37342.83,C270429926,0.0,0.0,M1959875976,0.0,0.0
286,PAYMENT,25091.4,C2047114153,0.0,0.0,M41816848,0.0,0.0
286,PAYMENT,14457.8,C1635005671,0.0,0.0,M536297556,0.0,0.0
286,PAYMENT,7750.38,C1182247216,0.0,0.0,M887346301,0.0,0.0
286,PAYMENT,33288.87,C1953500426,0.0,0.0,M1361057328,0.0,0.0
286,PAYMENT,10547.25,C719657741,0.0,0.0,M9396752,0.0,0.0
286,PAYMENT,3638.55,C1952655190,0.0,0.0,M623066748,0.0,0.0
286,PAYMENT,3937.89,C656176294,0.0,0.0,M1559760311,0.0,0.0
286,PAYMENT,2982.33,C827115753,0.0,0.0,M228642914,0.0,0.0
286,PAYMENT,34208.37,C1239235636,0.0,0.0,M1439962381,0.0,0.0
286,PAYMENT,24173.69,C34112734,0.0,0.0,M161507133,0.0,0.0
286,PAYMENT,3463.64,C691852961,0.0,0.0,M1547031286,0.0,0.0
286,PAYMENT,8631.08,C442336218,0.0,0.0,M273585699,0.0,0.0
286,PAYMENT,12532.08,C1594413909,0.0,0.0,M760748064,0.0,0.0
286,PAYMENT,20748.88,C1542266114,0.0,0.0,M1073113042,0.0,0.0
286,PAYMENT,17074.99,C645765378,0.0,0.0,M1267272949,0.0,0.0
