step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
71,TRANSFER,322113.91,C1765119291,322113.91,0.0,C371379583,0.0,0.0
71,CASH_OUT,322113.91,C1982559118,322113.91,0.0,C1018969803,0.0,322113.91
71,TRANSFER,91691.75,C1715084286,91691.75,0.0,C415375205,0.0,0.0
71,CASH_OUT,91691.75,C1841119507,91691.75,0.0,C1966998418,329117.96,420809.71
71,TRANSFER,1871553.73,C677678546,1871553.73,0.0,C646623849,0.0,0.0
71,CASH_OUT,1871553.73,C92154963,1871553.73,0.0,C1037207091,0.0,1871553.73
71,TRANSFER,2949339.09,C866984681,2949339.09,0.0,C1857536723,0.0,0.0
71,CASH_OUT,2949339.09,C874465366,2949339.09,0.0,C1545590429,167663.32,3117002.41
71,TRANSFER,479892.04,C949573914,479892.04,0.0,C346346824,0.0,0.0
71,CASH_OUT,479892.04,C1282533102,479892.04,0.0,C672637887,1600079.29,2079971.33
71,TRANSFER,304085.48,C378617827,304085.48,0.0,C1265131322,0.0,0.0
71,CASH_OUT,304085.48,C1476565151,304085.48,0.0,C1637975724,152325.14,456410.63
71,TRANSFER,14385.54,C706829068,14385.54,0.0,C1684593692,0.0,0.0
71,CASH_OUT,14385.54,C1772396080,14385.54,0.0,C257338994,28309.09,42694.63
71,TRANSFER,62091.44,C1985338048,62091.44,0.0,C1366367431,0.0,0.0
71,CASH_OUT,62091.44,C979329781,62091.44,0.0,C1938348365,6296058.91,6358150.35
71,TRANSFER,386996.34,C436643721,386996.34,0.0,C295403005,0.0,0.0
71,CASH_OUT,386996.34,C1461649383,386996.34,0.0,C798055687,512943.11,899939.45
71,TRANSFER,345526.4,C264616990,345526.4,0.0,C1955514169,0.0,0.0
71,CASH_OUT,345526.4,C1313615833,345526.4,0.0,C475338087,210291.99,555818.38
