step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
603,TRANSFER,1263340.66,C670652368,1263340.66,0.0,C526059376,0.0,0.0
603,CASH_OUT,1263340.66,C262166214,1263340.66,0.0,C1840377384,4780628.29,6043968.95
603,TRANSFER,1778520.7,C1279323433,1778520.7,0.0,C1913190788,0.0,0.0
603,CASH_OUT,1778520.7,C72958099,1778520.7,0.0,C1226050355,0.0,1778520.7
603,TRANSFER,39247.74,C1777586207,39247.74,0.0,C1509442679,0.0,0.0
603,CASH_OUT,39247.74,C1684585857,39247.74,0.0,C2029518292,3972842.93,4012090.67
603,TRANSFER,2319926.01,C797588864,2319926.01,0.0,C510193996,0.0,0.0
603,CASH_OUT,2319926.01,C1629072698,2319926.01,0.0,C1470265305,843706.68,3163632.69
603,TRANSFER,4099382.36,C371063342,4099382.36,0.0,C1426227397,0.0,0.0
603,CASH_OUT,4099382.36,C934857177,4099382.36,0.0,C358568461,0.0,4099382.36
603,TRANSFER,158879.1,C1226871955,158879.1,0.0,C1363273657,0.0,0.0
603,CASH_OUT,158879.1,C1711046896,158879.1,0.0,C1985698288,751402.72,910281.82
