step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
260,PAYMENT,9440.0,C1402731811,49998.0,40558.0,M546369009,0.0,0.0
260,CASH_OUT,8815.82,C986796915,21941.0,13125.18,C242989599,520720.23,529536.04
260,CASH_OUT,12630.38,C1674755634,159241.0,146610.62,C997447263,467936.64,480567.02
260,PAYMENT,9653.82,C1873556878,146610.62,136956.8,M1223996143,0.0,0.0
260,TRANSFER,35657.65,C2022586953,15434.0,0.0,C1613929073,755942.58,791600.23
260,PAYMENT,1580.76,C249247812,14530.0,12949.24,M5602388,0.0,0.0
260,CASH_OUT,27846.13,C1843119483,41716.0,13869.87,C1708093689,120556.78,148402.91
260,PAYMENT,786.1,C1687086843,73776.0,72989.9,M859892534,0.0,0.0
260,PAYMENT,2382.49,C417109718,72989.9,70607.41,M731867307,0.0,0.0
260,PAYMENT,4501.4,C943057437,106800.0,102298.6,M211332982,0.0,0.0
260,PAYMENT,7689.44,C1888416277,59229.0,51539.56,M545523359,0.0,0.0
260,PAYMENT,7650.99,C930506128,51539.56,43888.58,M2128383767,0.0,0.0
260,CASH_OUT,88120.62,C2034619523,3261.0,0.0,C537029079,0.0,88120.62
260,CASH_OUT,146187.77,C2046137802,214.0,0.0,C360586813,412331.75,558519.52
260,PAYMENT,1001.19,C2108368257,359.0,0.0,M1729476884,0.0,0.0
260,CASH_OUT,28809.22,C816027833,0.0,0.0,C1951056653,5232431.43,5261240.65
260,PAYMENT,11232.12,C1697448098,14450.0,3217.88,M1099871915,0.0,0.0
260,PAYMENT,984.59,C194603671,3217.88,2233.29,M668163341,0.0,0.0
260,TRANSFER,92234.0,C712401221,34216.0,0.0,C1619739763,0.0,92234.0
260,CASH_OUT,92487.14,C519676238,66705.0,0.0,C520419599,181450.64,273937.79
260,TRANSFER,966036.33,C1593097684,152684.0,0.0,C1342137514,176046.51,1142082.85
260,PAYMENT,815.83,C1668458546,0.0,0.0,M2048364880,0.0,0.0
260,PAYMENT,2994.15,C691518605,0.0,0.0,M1381412450,0.0,0.0
260,CASH_OUT,60251.97,C613662498,3089.0,0.0,C554680530,0.0,60251.97
260,PAYMENT,677.97,C1657288689,0.0,0.0,M1980706033,0.0,0.0
260,PAYMENT,215.06,C290302444,30545.0,30329.94,M681475656,0.0,0.0
260,CASH_OUT,171997.71,C189444885,2154.0,0.0,C1351691403,0.0,171997.71
260,PAYMENT,10382.45,C78474793,15342.0,4959.55,M2018747801,0.0,0.0
260,PAYMENT,3029.21,C602204389,102885.0,99855.79,M2112365975,0.0,0.0
260,PAYMENT,492.71,C308002853,197.0,0.0,M2000797850,0.0,0.0
260,PAYMENT,5395.14,C1944501591,0.0,0.0,M1335818785,0.0,0.0
260,CASH_IN,192871.41,C59261215,3185.0,196056.41,C1041135846,851481.28,658609.88
260,CASH_OUT,97926.33,C2050233572,527.0,0.0,C424050735,119654.77,217581.09
260,CASH_OUT,374880.92,C1023279856,0.0,0.0,C83218652,1.06971461E7,1.107202701E7
260,PAYMENT,4217.58,C67745980,21946.0,17728.42,M1170772379,0.0,0.0
260,CASH_OUT,175319.18,C520171250,680.0,0.0,C1874443331,49455.99,224775.17
260,PAYMENT,31.18,C1394890336,0.0,0.0,M438421728,0.0,0.0
260,CASH_OUT,216075.58,C467981942,20560.0,0.0,C271388218,46281.61,262357.18
260,CASH_IN,198305.49,C218373446,140.0,198445.49,C1684195184,0.0,0.0
260,CASH_OUT,97596.7,C2095238608,15376.0,0.0,C1275148484,319550.0,403465.65
260,PAYMENT,11509.22,C1745910884,0.0,0.0,M1434075254,0.0,0.0
