step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
741,TRANSFER,1.0E7,C780743034,4.567454789E7,3.567454789E7,C491519946,0.0,0.0
741,CASH_OUT,1.0E7,C421958672,1.0E7,0.0,C2034016962,0.0,1.0E7
741,TRANSFER,1.0E7,C1111699947,3.567454789E7,2.567454789E7,C949015157,0.0,0.0
741,CASH_OUT,1.0E7,C1647199421,1.0E7,0.0,C2077145577,35922.97,1.003592297E7
741,TRANSFER,1.0E7,C88849251,2.567454789E7,1.567454789E7,C1939028448,0.0,0.0
741,CASH_OUT,1.0E7,C677394894,1.0E7,0.0,C1866259073,0.0,1.0E7
741,TRANSFER,1.0E7,C1945606464,1.567454789E7,5674547.89,C625944676,0.0,0.0
741,CASH_OUT,1.0E7,C1668034607,1.0E7,0.0,C1250722530,192912.98,1.019291298E7
741,TRANSFER,5674547.89,C992223106,5674547.89,5674547.89,C1366804249,0.0,0.0
741,CASH_OUT,0.0,C312737633,0.0,0.0,C1400061387,267522.87,267522.87
741,TRANSFER,62297.18,C1565612524,62297.18,0.0,C435734396,0.0,0.0
741,CASH_OUT,62297.18,C1597957921,62297.18,0.0,C734451013,1060553.11,1122850.29
741,TRANSFER,114149.44,C1157446475,114149.44,0.0,C1367473638,0.0,0.0
741,CASH_OUT,114149.44,C1235786818,114149.44,0.0,C1738374799,0.0,114149.44
741,TRANSFER,323726.61,C509686434,323726.61,0.0,C1310143791,0.0,0.0
741,CASH_OUT,323726.61,C919525792,323726.61,0.0,C993635374,561753.58,885480.19
741,TRANSFER,383661.1,C457476945,383661.1,0.0,C1688658215,0.0,0.0
741,CASH_OUT,383661.1,C369315575,383661.1,0.0,C2069429837,1788112.7,2171773.8
741,TRANSFER,144945.34,C31496887,144945.34,0.0,C1251365829,0.0,0.0
741,CASH_OUT,144945.34,C1092829426,144945.34,0.0,C716019997,0.0,144945.34
741,TRANSFER,48442.88,C1112979339,48442.88,0.0,C2114078084,0.0,0.0
741,CASH_OUT,48442.88,C1706094385,48442.88,0.0,C2109905271,513746.19,562189.07
