step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
238,CASH_OUT,285302.7,C1527713983,10160.0,0.0,C887987119,3217605.91,3502908.6
238,PAYMENT,24423.82,C2106549300,161552.0,137128.18,M452021454,0.0,0.0
238,CASH_IN,30091.13,C1825178947,51116.0,81207.13,C669009703,495285.96,465194.83
238,PAYMENT,3692.82,C1331915405,101688.0,97995.18,M1229654417,0.0,0.0
238,PAYMENT,4115.32,C1498200906,97995.18,93879.85,M1703955773,0.0,0.0
238,PAYMENT,4208.05,C838038528,70878.0,66669.95,M543552558,0.0,0.0
238,PAYMENT,465.04,C483368323,302675.0,302209.96,M2077348482,0.0,0.0
238,PAYMENT,4473.22,C1361640076,9.0,0.0,M1583587331,0.0,0.0
238,PAYMENT,42920.74,C1050676681,0.0,0.0,M1259380061,0.0,0.0
238,TRANSFER,465060.48,C1568338473,12565.0,0.0,C1659592378,103176.43,568236.91
238,PAYMENT,6071.88,C509227581,0.0,0.0,M539667066,0.0,0.0
238,PAYMENT,12469.32,C1864311127,0.0,0.0,M1711172903,0.0,0.0
238,CASH_IN,161836.54,C712663167,336991.0,498827.54,C204770061,1.474575572E7,1.458391918E7
238,PAYMENT,4068.54,C1601599024,61354.0,57285.46,M1232462096,0.0,0.0
238,PAYMENT,13176.41,C1609841228,1387.0,0.0,M653574229,0.0,0.0
238,PAYMENT,155.61,C1247798605,11176.0,11020.39,M742711415,0.0,0.0
238,PAYMENT,7497.34,C1377602025,1547.0,0.0,M1391070615,0.0,0.0
238,TRANSFER,1212065.12,C1739255562,0.0,0.0,C401825929,6334796.08,7546861.2
238,TRANSFER,499848.59,C1818684624,26515.0,0.0,C1935883339,821214.41,1321063.0
238,PAYMENT,1826.75,C1510175604,0.0,0.0,M1476872982,0.0,0.0
238,CASH_IN,129413.76,C1751465379,19500.0,148913.76,C2091799580,0.0,0.0
238,PAYMENT,16232.84,C859724819,50866.0,34633.16,M1927746003,0.0,0.0
238,CASH_IN,165448.73,C274381666,18361.0,183809.73,C799399782,262787.24,97338.51
238,CASH_OUT,329792.09,C1368589551,10180.0,0.0,C1251552035,0.0,329792.09
238,PAYMENT,2698.82,C277611530,0.0,0.0,M1521477185,0.0,0.0
238,CASH_OUT,81881.73,C527157213,6326.0,0.0,C1516402267,157978.7,239860.43
238,DEBIT,2731.62,C1452674211,783718.0,780986.38,C2122622705,3335625.8,3338357.42
238,PAYMENT,2356.82,C642448943,780986.38,778629.56,M66226505,0.0,0.0
238,PAYMENT,7339.27,C1122431941,778629.56,771290.29,M619912238,0.0,0.0
238,PAYMENT,20050.63,C1429812505,771290.29,751239.65,M1108760118,0.0,0.0
238,PAYMENT,3440.37,C924581226,751239.65,747799.29,M188057035,0.0,0.0
238,PAYMENT,855.51,C397994057,747799.29,746943.77,M1743760238,0.0,0.0
238,PAYMENT,6908.78,C267905620,746943.77,740034.99,M676015548,0.0,0.0
238,PAYMENT,11036.01,C2019648092,740034.99,728998.98,M1649345253,0.0,0.0
238,PAYMENT,14318.99,C1381691826,728998.98,714679.99,M596447368,0.0,0.0
238,PAYMENT,19283.21,C1351480615,714679.99,695396.78,M1246731769,0.0,0.0
238,PAYMENT,26863.0,C1327309411,695396.78,668533.78,M81748568,0.0,0.0
238,PAYMENT,1186.88,C994347817,668533.78,667346.9,M231893485,0.0,0.0
238,PAYMENT,18868.91,C737823758,667346.9,648477.99,M1422407307,0.0,0.0
238,PAYMENT,148.67,C1263198968,648477.99,648329.33,M1439262589,0.0,0.0
238,PAYMENT,10570.15,C741006326,181.0,0.0,M960748694,0.0,0.0
238,PAYMENT,2279.53,C629322852,15333.0,13053.47,M1005505830,0.0,0.0
238,PAYMENT,969.83,C1105282246,13053.47,12083.64,M1726056192,0.0,0.0
238,PAYMENT,963.01,C1458581036,40417.0,39453.99,M465194537,0.0,0.0
238,CASH_OUT,100028.35,C1345781484,11240.0,0.0,C62930960,0.0,100028.35
238,CASH_IN,86003.18,C973449837,141015.0,227018.18,C377981602,111186.31,25183.13
238,TRANSFER,387674.07,C1842573903,227018.18,0.0,C1118423959,3788067.79,4175741.87
238,TRANSFER,474530.73,C617718490,0.0,0.0,C405587444,2001746.35,2476277.09
238,PAYMENT,16847.82,C1140324658,557.0,0.0,M1412855267,0.0,0.0
238,CASH_OUT,95510.93,C570504224,18997.0,0.0,C2137820338,300709.94,396220.87
238,CASH_OUT,56702.22,C191858120,645883.0,589180.78,C1479267125,0.0,56702.22
238,CASH_OUT,427265.78,C1999487998,589180.78,161915.01,C472685530,2459501.2,2886766.97
238,TRANSFER,348063.37,C273885589,183.0,0.0,C622957330,0.0,348063.37
238,CASH_IN,98976.88,C1004060555,55673.0,154649.88,C124099587,1498012.15,1399035.28
238,CASH_OUT,141934.92,C1282292989,154649.88,12714.96,C117697708,1.126169192E7,1.140362684E7
238,PAYMENT,2060.28,C1438983357,32430.0,30369.72,M1548988433,0.0,0.0
238,CASH_IN,256597.21,C579430647,12425.0,269022.21,C2089356629,0.0,0.0
238,PAYMENT,8331.22,C532492687,95235.0,86903.78,M1663110665,0.0,0.0
238,TRANSFER,1127410.94,C582220100,86903.78,0.0,C289876357,1150390.97,2277801.91
238,TRANSFER,1773837.91,C1259664181,0.0,0.0,C540157795,4143199.66,5917037.57
238,CASH_OUT,119727.08,C1028887185,257022.0,137294.92,C2054538336,0.0,119727.08
238,PAYMENT,14475.74,C1458147956,50939.0,36463.26,M1806514228,0.0,0.0
238,CASH_OUT,243743.7,C122479407,15544.0,0.0,C2022476735,819553.47,1063297.17
238,PAYMENT,4789.6,C648691277,321656.0,316866.4,M1019900638,0.0,0.0
238,PAYMENT,5393.47,C1050968555,10437.0,5043.53,M1586579595,0.0,0.0
238,CASH_OUT,36988.37,C700337474,16089.0,0.0,C1934336718,438853.1,475841.47
238,PAYMENT,2269.57,C1183684137,11797.0,9527.43,M1547496650,0.0,0.0
238,PAYMENT,2255.46,C138224342,118506.0,116250.54,M1395833550,0.0,0.0
238,PAYMENT,500.14,C2032423519,39667.0,39166.86,M1120254733,0.0,0.0
238,PAYMENT,14360.81,C596580881,76104.0,61743.19,M1705844836,0.0,0.0
238,TRANSFER,305723.83,C1044394020,92510.0,0.0,C529355171,0.0,305723.83
238,PAYMENT,1343.15,C1370683698,80334.0,78990.85,M171323015,0.0,0.0
238,CASH_OUT,165353.34,C110395813,78990.85,0.0,C1898232472,2159791.76,2325145.11
238,CASH_OUT,54484.46,C963268675,0.0,0.0,C132872990,4535269.44,4589753.9
238,CASH_OUT,570361.72,C2136425781,0.0,0.0,C216641754,4187019.26,4757380.98
238,CASH_OUT,280650.4,C1152261710,0.0,0.0,C2102455279,818067.44,1098717.85
238,CASH_OUT,356246.63,C1721054935,0.0,0.0,C1154643177,1163497.68,1519744.32
238,CASH_OUT,112098.59,C219585038,0.0,0.0,C2051253479,2548158.68,2660257.27
238,CASH_OUT,96234.23,C1219299444,0.0,0.0,C986392691,238707.94,334942.17
238,CASH_OUT,192668.35,C2084905793,0.0,0.0,C1366821803,428195.73,620864.08
238,CASH_OUT,304030.31,C866746768,0.0,0.0,C877683335,4717262.36,5021292.67
238,CASH_OUT,72477.73,C181844737,0.0,0.0,C2106866895,512646.7,585124.44
238,CASH_OUT,29722.36,C714669191,0.0,0.0,C1946509608,53449.19,83171.54
238,CASH_OUT,88822.06,C2140315070,0.0,0.0,C1405672047,194553.16,283375.22
238,CASH_OUT,52821.06,C13117149,0.0,0.0,C297995319,69137.02,121958.08
