step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
525,CASH_OUT,124187.89,C303440089,62137.0,0.0,C578225555,18769.02,142956.91
525,PAYMENT,32317.82,C215450192,86786.0,54468.18,M707368764,0.0,0.0
525,CASH_OUT,96722.87,C274365984,10084.0,0.0,C832993050,0.0,96722.87
525,PAYMENT,46106.71,C870941722,5005.0,0.0,M52188469,0.0,0.0
525,PAYMENT,47406.59,C1701487133,28527.0,0.0,M637697006,0.0,0.0
525,PAYMENT,32452.45,C1496642144,21350.0,0.0,M954249614,0.0,0.0
525,PAYMENT,2127.7,C145393349,181768.0,179640.3,M1036144949,0.0,0.0
525,DEBIT,5370.91,C1134236447,8581.0,3210.09,C1751780562,349316.08,354686.99
525,PAYMENT,30200.54,C2127214115,3210.09,0.0,M571116433,0.0,0.0
525,TRANSFER,22581.81,C233717020,100762.0,78180.19,C1715780798,131330.39,153912.2
525,PAYMENT,16661.08,C376882261,5078.0,0.0,M1025905430,0.0,0.0
525,PAYMENT,14124.39,C1258701088,0.0,0.0,M939299713,0.0,0.0
525,TRANSFER,351509.82,C386448711,109.0,0.0,C2067783135,443139.49,794649.31
525,PAYMENT,6935.14,C448504339,0.0,0.0,M1674440485,0.0,0.0
525,PAYMENT,37441.67,C821958726,73300.0,35858.33,M1649310107,0.0,0.0
525,PAYMENT,24476.23,C623043835,2851.0,0.0,M697992125,0.0,0.0
525,PAYMENT,24504.86,C1768325856,71086.0,46581.14,M2029366518,0.0,0.0
525,CASH_IN,142660.09,C1245878831,46581.14,189241.23,C1303659465,702653.5,559993.4
525,CASH_IN,281172.01,C934834097,189241.23,470413.24,C586619610,530537.64,249365.63
525,CASH_IN,223008.75,C1788119588,470413.24,693421.99,C2077514615,3549679.68,3326670.92
525,CASH_IN,199542.94,C1070799260,693421.99,892964.93,C320718507,4088768.52,3889225.58
525,CASH_IN,234019.28,C1637773227,892964.93,1126984.21,C348073420,306614.22,72594.94
525,CASH_IN,85797.89,C355422670,1126984.21,1212782.09,C1196372370,1.14244068E7,1.133860892E7
525,CASH_IN,127142.65,C1537486053,1212782.09,1339924.75,C1033902837,506371.41,379228.75
525,CASH_IN,119940.15,C2082263540,1339924.75,1459864.9,C727655882,452910.21,332970.06
525,CASH_IN,177600.25,C1861028587,1459864.9,1637465.15,C508552884,824886.45,647286.2
525,CASH_IN,195786.86,C27494361,1637465.15,1833252.01,C98394886,314366.8,118579.95
525,CASH_IN,703862.88,C2073710604,1833252.01,2537114.89,C1317378745,3030817.59,2326954.71
525,CASH_IN,305928.78,C1637072378,2537114.89,2843043.67,C238835397,1329135.14,1023206.37
525,CASH_IN,377086.59,C1731152241,2843043.67,3220130.26,C87891787,557336.24,180249.65
525,CASH_IN,158610.09,C2049935106,3220130.26,3378740.34,C1443803717,374646.62,216036.53
525,CASH_IN,300953.77,C1402774139,3378740.34,3679694.11,C51842649,609854.62,308900.84
525,CASH_IN,256178.5,C798796191,3679694.11,3935872.61,C391128123,9926189.47,9670010.97
525,CASH_IN,289576.72,C845486556,3935872.61,4225449.33,C90279292,4247595.15,3958018.43
525,CASH_IN,149961.25,C880058117,4225449.33,4375410.59,C1374112405,687431.25,537469.99
525,CASH_IN,84759.85,C47017098,4375410.59,4460170.43,C1185659032,394791.96,310032.11
525,CASH_IN,54717.06,C1213721885,4460170.43,4514887.49,C1159536416,2341496.59,2286779.53
525,CASH_IN,156891.09,C1390851634,4514887.49,4671778.58,C857884484,1600587.68,1443696.59
525,CASH_IN,395807.18,C1123715036,4671778.58,5067585.76,C2071663224,1175088.24,779281.06
525,CASH_IN,71228.99,C725223989,5067585.76,5138814.75,C1196119400,108207.67,36978.68
525,CASH_IN,12835.48,C1559373130,5138814.75,5151650.23,C1859413792,1244165.23,1231329.75
525,CASH_IN,306057.94,C1002594240,5151650.23,5457708.17,C1958280354,4553118.86,4247060.93
525,CASH_IN,173130.99,C756087555,5457708.17,5630839.15,C899186743,4773926.01,4600795.03
525,CASH_IN,433330.19,C1442854710,5630839.15,6064169.34,C1584838894,1908379.92,1475049.73
525,CASH_IN,508676.73,C454398153,6064169.34,6572846.07,C1683566673,713165.61,204488.88
525,CASH_IN,505316.46,C838918196,6572846.07,7078162.53,C1701929511,3.44607329E7,3.395541644E7
525,CASH_IN,240674.8,C409132436,7078162.53,7318837.33,C1505874436,1604102.92,1363428.12
525,CASH_IN,89561.66,C1334632489,7318837.33,7408398.99,C1181029920,957883.87,868322.21
525,CASH_IN,260332.04,C2015929033,7408398.99,7668731.04,C800643630,1542535.29,1282203.25
525,CASH_IN,313343.0,C1302129848,7668731.04,7982074.04,C779263978,2551363.42,2238020.41
525,CASH_IN,16446.35,C1125910242,7982074.04,7998520.39,C362023079,1.059878175E7,1.058233539E7
525,CASH_IN,11826.31,C1807301376,7998520.39,8010346.7,C297666577,18268.37,6442.06
525,CASH_IN,252881.43,C1455092308,8010346.7,8263228.13,C1349499591,2241518.1,1988636.67
525,CASH_IN,130002.42,C2087271703,8263228.13,8393230.55,C1305929097,146587.25,16584.83
525,CASH_IN,77761.23,C1600200558,8393230.55,8470991.78,C1380962587,696012.3,618251.08
525,CASH_IN,30737.61,C2099404473,8470991.78,8501729.39,C1244904654,1646743.86,1616006.25
525,CASH_IN,333765.01,C2081110811,8501729.39,8835494.4,C1700578461,2371263.64,2037498.63
525,CASH_IN,114596.69,C1228873736,8835494.4,8950091.09,C1069856793,336787.37,222190.68
525,CASH_IN,94262.24,C510843950,8950091.09,9044353.33,C1214712237,3698013.13,3603750.88
525,PAYMENT,24689.77,C1900711631,23488.0,0.0,M1413263390,0.0,0.0
525,PAYMENT,36581.69,C1689515505,12003.0,0.0,M1814611685,0.0,0.0
525,PAYMENT,13837.8,C1227948377,150559.0,136721.2,M2025649185,0.0,0.0
525,PAYMENT,64762.96,C56335034,52907.0,0.0,M695106522,0.0,0.0
525,PAYMENT,6264.02,C1754569831,224.0,0.0,M1997959336,0.0,0.0
525,CASH_OUT,201928.91,C684174010,3645.0,0.0,C2145418274,0.0,201928.91
525,CASH_OUT,32319.63,C1923982547,24200.0,0.0,C236758694,3470860.74,3503180.37
525,CASH_IN,90891.49,C1041660229,0.0,90891.49,C1120702661,3.110643229E7,3.10155408E7
525,CASH_IN,275523.04,C2059521311,90891.49,366414.53,C1423003075,1.079401925E7,1.051849622E7
525,CASH_IN,5238.68,C1875262087,366414.53,371653.2,C1359319885,4328043.26,4322804.58
525,CASH_IN,47531.77,C1884455056,371653.2,419184.98,C670251652,1268946.03,1221414.26
525,CASH_IN,113141.21,C2105738126,419184.98,532326.19,C779371229,159098.93,45957.72
525,CASH_IN,120852.17,C165580820,532326.19,653178.36,C1943246727,635154.84,514302.67
525,CASH_IN,87359.36,C1469223338,653178.36,740537.72,C1020307152,1921774.43,1834415.07
525,CASH_IN,230117.31,C857791944,740537.72,970655.03,C194238442,879600.18,649482.86
525,CASH_IN,165596.01,C1457141585,970655.03,1136251.04,C1182933986,3056295.42,2890699.41
525,CASH_IN,74197.07,C737760174,1136251.04,1210448.1,C1993196805,142480.55,68283.48
525,CASH_IN,492253.95,C1755678906,1210448.1,1702702.05,C127357831,567437.71,75183.76
525,CASH_IN,42760.0,C1566496507,1702702.05,1745462.05,C625213866,2310648.6,2267888.6
525,CASH_IN,63117.09,C1522074302,1745462.05,1808579.14,C2030405592,1958244.48,1895127.39
525,CASH_IN,126242.63,C993812068,1808579.14,1934821.77,C644297229,166994.9,40752.27
525,CASH_IN,233106.2,C2140725729,1934821.77,2167927.97,C1653510190,519158.91,286052.71
525,CASH_IN,276925.23,C1423575527,2167927.97,2444853.2,C980300472,1121816.52,844891.29
525,CASH_IN,237403.9,C1180978480,2444853.2,2682257.11,C1793325972,1.049062101E7,1.025321711E7
525,CASH_IN,91864.33,C527623398,2682257.11,2774121.44,C129004910,105397.26,13532.93
525,CASH_IN,113755.88,C660445440,2774121.44,2887877.32,C1747803310,124984.74,11228.85
525,CASH_IN,196948.91,C600582461,2887877.32,3084826.23,C318477003,411458.63,214509.72
525,CASH_IN,135673.42,C1193672121,3084826.23,3220499.65,C1681525832,943392.53,807719.11
525,CASH_IN,1082.42,C1341682799,3220499.65,3221582.08,C2060380184,507194.28,506111.85
525,CASH_IN,198178.77,C69624073,3221582.08,3419760.85,C943313398,784234.51,586055.75
525,CASH_IN,6936.22,C1180775793,3419760.85,3426697.07,C829011765,191473.76,184537.54
525,CASH_IN,67262.26,C784449585,3426697.07,3493959.33,C1906800332,75978.33,8716.07
525,CASH_IN,16284.9,C580293258,3493959.33,3510244.23,C1863719183,376249.26,359964.36
525,CASH_IN,59424.82,C353341944,3510244.23,3569669.05,C1973242464,4211860.57,4152435.75
525,CASH_IN,155562.45,C1519056021,3569669.05,3725231.5,C119694509,772198.39,616635.94
525,CASH_IN,7585.6,C2053793725,3725231.5,3732817.1,C628671004,516686.23,509100.63
525,CASH_IN,257941.64,C1828632760,3732817.1,3990758.74,C1251896615,2470911.02,2212969.39
525,CASH_IN,32836.96,C93807758,3990758.74,4023595.7,C1410516952,3591849.94,3559012.98
525,CASH_IN,282585.97,C137627381,4023595.7,4306181.67,C814049014,4405390.62,4122804.65
525,CASH_IN,92297.36,C566943681,4306181.67,4398479.02,C230247293,422092.84,329795.49
525,CASH_IN,108590.96,C946374712,4398479.02,4507069.98,C796629796,784183.78,675592.82
525,CASH_IN,121386.01,C115681455,4507069.98,4628455.99,C1690676111,1790539.96,1669153.95
525,CASH_IN,162414.96,C776897832,4628455.99,4790870.95,C1992284023,752520.13,590105.18
525,CASH_IN,13920.3,C1502442487,4790870.95,4804791.25,C1772143924,37771.15,23850.85
525,CASH_IN,69172.35,C634919350,4804791.25,4873963.61,C490426378,272783.01,203610.66
525,CASH_IN,395918.14,C173534706,4873963.61,5269881.74,C815947887,408587.96,12669.82
525,CASH_IN,302400.07,C1357532757,5269881.74,5572281.81,C51588524,1285846.88,983446.82
525,CASH_IN,87904.46,C1657441652,5572281.81,5660186.27,C67786727,667884.49,579980.03
525,CASH_IN,14700.98,C121253170,5660186.27,5674887.24,C847319415,838204.14,823503.16
525,CASH_IN,354295.63,C850880602,5674887.24,6029182.87,C1405892220,487668.17,133372.54
525,CASH_IN,110662.99,C816644287,6029182.87,6139845.86,C347415448,2500405.58,2389742.59
525,CASH_IN,12153.73,C112888563,6139845.86,6151999.59,C1451796659,1278590.42,1266436.69
525,CASH_IN,57399.98,C1346335915,6151999.59,6209399.57,C1496186846,944249.06,886849.09
525,CASH_IN,349968.2,C1505964878,6209399.57,6559367.77,C685278806,440174.53,90206.33
525,CASH_IN,166527.36,C20146225,6559367.77,6725895.13,C1700650124,3632227.11,3465699.75
525,CASH_IN,107614.29,C1401722870,6725895.13,6833509.42,C691480987,1804448.08,1696833.79
525,CASH_IN,107116.82,C2025663232,6833509.42,6940626.24,C187534499,785465.85,678349.03
525,CASH_IN,151410.64,C950283802,6940626.24,7092036.88,C311914880,316058.43,164647.79
525,CASH_IN,430516.01,C575450079,7092036.88,7522552.88,C758487437,7785508.34,7354992.33
525,CASH_IN,16899.9,C357088071,7522552.88,7539452.79,C756914492,1606497.01,1589597.11
525,CASH_IN,242558.5,C79460293,7539452.79,7782011.29,C1365301493,7129141.22,6886582.71
525,CASH_IN,646521.87,C502357430,7782011.29,8428533.16,C2112814562,2319169.96,1672648.09
525,CASH_IN,38280.42,C1520701316,8428533.16,8466813.58,C1474261437,304714.19,266433.77
525,CASH_IN,9245.02,C174458132,8466813.58,8476058.59,C134537138,3109454.84,3100209.82
525,CASH_IN,10150.21,C1837320642,8476058.59,8486208.8,C975702703,303129.97,292979.77
525,CASH_IN,315863.05,C2055779625,8486208.8,8802071.85,C1341903226,1339885.82,1024022.78
525,CASH_IN,16796.76,C11161043,8802071.85,8818868.61,C187435831,92906.56,76109.8
525,CASH_IN,97582.32,C979285623,8818868.61,8916450.93,C327341526,3482691.43,3385109.1
525,CASH_IN,101401.18,C1306797479,8916450.93,9017852.11,C1639205416,228081.5,126680.32
525,CASH_IN,26514.86,C1929048271,9017852.11,9044366.97,C1593177376,2970641.64,2944126.78
525,CASH_IN,449450.48,C552398742,9044366.97,9493817.46,C746247146,764485.18,315034.7
525,CASH_IN,209783.44,C1875777778,9493817.46,9703600.9,C24955689,4912096.67,4702313.24
525,CASH_IN,3536.75,C57393585,9703600.9,9707137.64,C946860344,1124142.98,1120606.24
525,CASH_IN,143925.15,C649213339,9707137.64,9851062.79,C1993657569,314618.38,170693.23
525,CASH_IN,156507.84,C1642458756,9851062.79,1.000757063E7,C307777060,224651.55,68143.71
525,CASH_IN,453281.07,C2129880002,1.000757063E7,1.04608517E7,C1687575534,473602.91,20321.85
525,CASH_IN,107844.54,C600327140,1.04608517E7,1.056869624E7,C237467600,211418.65,103574.11
525,CASH_IN,149800.67,C350336235,1.056869624E7,1.071849691E7,C982821858,296672.75,146872.07
525,CASH_IN,176545.86,C1514072381,1.071849691E7,1.089504277E7,C623837782,678712.03,502166.17
525,CASH_IN,18632.02,C1060535499,1.089504277E7,1.091367479E7,C986206515,144160.69,125528.67
525,CASH_IN,88869.94,C1585504170,1.091367479E7,1.100254473E7,C1697619340,1930733.13,1841863.19
525,CASH_IN,161880.97,C1205825149,1.100254473E7,1.11644257E7,C613605217,1425217.1,1263336.12
525,CASH_IN,167330.47,C1778712762,1.11644257E7,1.133175617E7,C2000319738,8140053.33,7972722.86
525,CASH_IN,49796.18,C1725561109,1.133175617E7,1.138155235E7,C2107201542,109568.06,59771.88
525,CASH_IN,175203.84,C1048315883,1.138155235E7,1.155675619E7,C1763630084,392773.38,217569.54
525,CASH_IN,62208.63,C49035999,1.155675619E7,1.161896482E7,C1458480622,397696.56,335487.93
525,CASH_IN,70934.98,C1085209320,1.161896482E7,1.16898998E7,C1123847177,785079.77,714144.79
