step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
465,TRANSFER,2577489.07,C939367162,2577489.07,0.0,C2087484651,0.0,0.0
465,CASH_OUT,2577489.07,C1475261726,2577489.07,0.0,C1054474053,0.0,2577489.07
465,TRANSFER,563388.67,C1663837850,563388.67,0.0,C76747824,0.0,0.0
465,CASH_OUT,563388.67,C1205919663,563388.67,0.0,C1646816538,0.0,563388.67
465,TRANSFER,461255.26,C470923235,461255.26,0.0,C588226024,0.0,0.0
465,CASH_OUT,461255.26,C1047897914,461255.26,0.0,C559992116,34467.19,495722.45
465,TRANSFER,44946.2,C1504640849,44946.2,0.0,C1013931672,0.0,0.0
465,CASH_OUT,44946.2,C1797253023,44946.2,0.0,C1822942612,1136952.09,1181898.29
465,TRANSFER,4690769.98,C43271707,4690769.98,0.0,C2144586539,0.0,0.0
465,CASH_OUT,4690769.98,C1265105517,4690769.98,0.0,C1603347069,0.0,4690769.98
465,TRANSFER,1760061.57,C1704841255,1760061.57,0.0,C1345313578,0.0,0.0
465,CASH_OUT,1760061.57,C1907027988,1760061.57,0.0,C1368065448,142305.44,1902367.02
