step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
514,CASH_IN,289563.54,C1332426415,22427.0,311990.54,C217268631,0.0,0.0
514,CASH_OUT,429285.37,C1673732201,51166.0,0.0,C1696439296,0.0,429285.37
514,CASH_OUT,182540.81,C342197797,51556.0,0.0,C359623589,958052.96,1140593.77
514,CASH_OUT,288951.72,C1292816613,1058.0,0.0,C615185135,1581377.69,1870329.41
514,PAYMENT,3292.07,C1539721637,0.0,0.0,M570223324,0.0,0.0
514,CASH_IN,253692.84,C420480104,133.0,253825.84,C1068963012,79850.15,0.0
514,PAYMENT,13670.86,C581072471,11968.0,0.0,M1262524615,0.0,0.0
514,TRANSFER,1368812.36,C229388665,0.0,0.0,C1753126029,2869052.41,4237864.76
514,CASH_IN,283919.85,C335955936,972.0,284891.85,C1820425999,1922943.04,1639023.19
514,TRANSFER,2797767.88,C623348729,284891.85,0.0,C1193439748,9587999.53,1.238576741E7
514,PAYMENT,827.66,C1794029882,106529.0,105701.34,M111508199,0.0,0.0
514,TRANSFER,4274142.9,C540677268,105701.34,0.0,C323245416,1.900684988E7,2.328099278E7
514,TRANSFER,184313.5,C970664745,0.0,0.0,C1917873943,1461780.36,1646093.86
514,TRANSFER,50444.36,C644051521,0.0,0.0,C1434466063,166568.62,217012.97
514,TRANSFER,1606365.15,C196888104,0.0,0.0,C417678259,4702921.27,6309286.42
514,TRANSFER,696873.32,C2077392255,0.0,0.0,C2082547672,891880.19,1588753.51
514,TRANSFER,24126.12,C456168271,0.0,0.0,C1527582755,3946299.33,3970425.45
514,TRANSFER,1191628.98,C654056210,0.0,0.0,C1560607671,7924074.0,9115702.98
514,TRANSFER,236148.66,C1327011043,0.0,0.0,C373789094,726513.15,962661.81
514,TRANSFER,117846.5,C667492858,0.0,0.0,C1962611203,145111.63,262958.14
514,TRANSFER,672978.22,C956069031,0.0,0.0,C1110077833,2407167.57,3080145.78
514,TRANSFER,426175.55,C2115951649,0.0,0.0,C679554262,3668159.83,4094335.38
514,TRANSFER,124648.13,C1965748365,0.0,0.0,C554349660,322619.98,447268.11
514,TRANSFER,141742.88,C453167395,0.0,0.0,C604285472,267993.78,409736.66
514,TRANSFER,752801.45,C1082183592,0.0,0.0,C612100596,4953793.02,5706594.47
514,TRANSFER,273665.88,C1215818829,0.0,0.0,C341190176,2375543.3,2649209.19
514,TRANSFER,1605641.38,C1794888534,0.0,0.0,C1166067536,8828677.19,1.043431858E7
514,TRANSFER,1372361.87,C1732068603,0.0,0.0,C1936087158,1662210.8,3034572.67
514,TRANSFER,805974.23,C562440763,0.0,0.0,C1271369019,958582.41,1764556.64
514,TRANSFER,1518146.43,C1449439170,0.0,0.0,C466754972,6179853.34,7697999.77
514,TRANSFER,137830.37,C1655809851,0.0,0.0,C2103611025,964138.87,1101969.23
514,TRANSFER,198049.6,C1873165578,0.0,0.0,C1187871127,4.434149136E7,4.453954096E7
514,TRANSFER,586860.63,C2145453367,0.0,0.0,C1255243066,667978.59,1254839.23
514,CASH_OUT,338157.13,C210284470,172713.0,0.0,C1641719094,0.0,338157.13
514,CASH_OUT,209282.24,C1668241763,14661.0,0.0,C1177827267,70615.52,279897.76
514,CASH_IN,348062.16,C1040152169,0.0,348062.16,C1986422018,6946038.32,6597976.16
514,CASH_IN,133664.38,C1245713500,348062.16,481726.54,C158226167,2074145.63,1940481.26
514,CASH_IN,22819.32,C66906045,481726.54,504545.86,C316928400,394050.88,371231.56
514,CASH_IN,218718.82,C440472288,504545.86,723264.68,C1159345521,690061.16,471342.34
514,CASH_IN,168690.68,C1548448767,723264.68,891955.36,C820812748,287898.78,119208.1
514,CASH_IN,76540.54,C375619294,891955.36,968495.9,C22164106,2153620.93,2077080.39
514,CASH_IN,439389.77,C1925624480,968495.9,1407885.67,C1771414348,687760.58,248370.82
514,CASH_IN,491109.21,C1619163146,1407885.67,1898994.88,C1454940935,4338695.88,3847586.68
514,CASH_IN,202073.61,C1741765486,1898994.88,2101068.49,C1366825414,254838.41,52764.8
514,CASH_IN,115367.52,C1783180484,2101068.49,2216436.01,C1470342758,266525.5,151157.98
514,CASH_IN,7675.77,C761118879,2216436.01,2224111.78,C17273655,7952108.38,7944432.61
514,CASH_IN,73612.15,C1592569622,2224111.78,2297723.93,C1786896712,733973.04,660360.89
514,CASH_IN,263427.62,C805893614,2297723.93,2561151.55,C2008974000,2428432.18,2165004.56
514,CASH_IN,103640.21,C319082535,2561151.55,2664791.76,C361298184,386645.82,283005.61
514,CASH_IN,5052.32,C1352578016,2664791.76,2669844.08,C819534331,771291.8,766239.48
514,CASH_IN,168373.7,C1806770938,2669844.08,2838217.78,C159829341,574354.69,405980.99
514,CASH_IN,176796.92,C476122599,2838217.78,3015014.7,C231351305,1976016.77,1799219.85
514,CASH_IN,37108.62,C701588388,3015014.7,3052123.33,C1611970732,93123.9,56015.27
514,CASH_IN,178873.09,C217437389,3052123.33,3230996.42,C721964148,465402.75,286529.66
514,CASH_IN,265615.55,C1857126747,3230996.42,3496611.97,C1361021053,1112001.37,846385.82
514,CASH_IN,136495.2,C2058069855,3496611.97,3633107.16,C686361138,1974212.91,1837717.71
514,CASH_IN,120745.31,C1489319917,3633107.16,3753852.47,C1915715130,236984.37,116239.06
514,CASH_IN,53383.53,C2050282372,3753852.47,3807236.0,C1631395209,157899.0,104515.48
514,CASH_IN,91511.0,C418197184,3807236.0,3898747.0,C498102655,596488.83,504977.82
514,CASH_IN,35714.87,C1071379421,3898747.0,3934461.88,C160177358,50698.12,14983.25
514,CASH_IN,55150.12,C1322307988,3934461.88,3989612.0,C1604561520,123960.72,68810.6
514,CASH_IN,142388.52,C304382777,3989612.0,4132000.52,C545066045,1531700.63,1389312.11
514,CASH_IN,425615.56,C1666069651,4132000.52,4557616.08,C1624049365,7509204.27,7083588.71
514,PAYMENT,23058.38,C65762876,170446.0,147387.62,M1266637732,0.0,0.0
514,CASH_OUT,21106.22,C2104767673,34081.0,12974.78,C803099767,231504.24,252610.46
514,DEBIT,4318.39,C1863085352,12974.78,8656.39,C1322286435,200242.57,204560.96
514,TRANSFER,3319078.96,C923708515,1966.0,0.0,C310725840,0.0,3319078.96
514,CASH_OUT,1727.22,C110981981,10373.0,8645.78,C1297907143,57976.25,59703.48
514,PAYMENT,42416.19,C1511022283,225324.0,182907.81,M1450777996,0.0,0.0
514,CASH_IN,97463.19,C341233300,31363.0,128826.19,C1886290199,301530.16,204066.98
514,CASH_IN,82652.62,C2042384600,60413.0,143065.62,C1572917263,874018.82,791366.2
514,PAYMENT,26397.7,C562212642,271.0,0.0,M1065960419,0.0,0.0
514,PAYMENT,7100.77,C487135464,20791.0,13690.23,M103330049,0.0,0.0
514,CASH_OUT,157190.3,C854062425,107811.0,0.0,C450268791,67010.6,224200.9
514,CASH_OUT,32888.99,C1199849149,25441.0,0.0,C479480222,339665.81,372554.81
514,CASH_IN,142147.16,C304066813,29966.0,172113.16,C1156410703,0.0,0.0
514,PAYMENT,17520.88,C1375517446,103954.0,86433.12,M1555878237,0.0,0.0
514,TRANSFER,2447365.23,C975924641,86433.12,0.0,C863096089,3579888.98,6027254.21
514,PAYMENT,1583.37,C1440524865,10893.0,9309.63,M1640763255,0.0,0.0
514,CASH_IN,196025.34,C1539312682,31998.0,228023.34,C104738614,0.0,0.0
514,CASH_OUT,338501.94,C988226710,1065.0,0.0,C935939543,992837.73,1331339.67
514,CASH_OUT,74001.08,C181997353,6626.0,0.0,C1974137107,0.0,74001.08
514,PAYMENT,16480.18,C191831730,10175.0,0.0,M1352004265,0.0,0.0
514,PAYMENT,779.05,C1398128569,0.0,0.0,M297222845,0.0,0.0
514,PAYMENT,30054.43,C1658733751,93845.0,63790.57,M497152767,0.0,0.0
514,TRANSFER,148027.38,C1668755077,30640.0,0.0,C1171416525,37659.72,185687.1
514,TRANSFER,1557539.98,C1224616700,3672.0,0.0,C1364281376,0.0,1557539.98
514,CASH_OUT,438184.83,C1486169256,0.0,0.0,C680699360,6176569.33,6614754.16
514,CASH_OUT,208829.44,C1253114703,16048.0,0.0,C901208383,11132.58,219962.02
514,CASH_IN,29266.86,C275259290,105354.0,134620.86,C2005181687,6750.38,0.0
514,CASH_OUT,127827.48,C695762593,1929.0,0.0,C873255335,5860.92,133688.41
514,CASH_IN,353265.31,C1488568130,20470.0,373735.31,C1514009871,145184.06,0.0
514,PAYMENT,8275.9,C441480289,373735.31,365459.41,M1251228798,0.0,0.0
514,CASH_OUT,605230.88,C544464635,49004.0,0.0,C405281362,241725.34,846956.22
514,PAYMENT,18076.39,C891627032,153002.0,134925.61,M751812513,0.0,0.0
514,PAYMENT,11539.48,C1205014922,70372.0,58832.52,M2036960141,0.0,0.0
514,CASH_IN,39873.42,C1709205342,5586.0,45459.42,C700055556,4124967.08,4085093.67
514,PAYMENT,6076.92,C872673012,539.0,0.0,M1795417791,0.0,0.0
514,CASH_OUT,69476.85,C1585655217,2113.0,0.0,C1011887300,138594.95,208071.81
514,CASH_IN,103227.85,C943680424,306789.0,410016.85,C489108333,2692381.0,2589153.14
514,PAYMENT,12202.56,C333469205,486.0,0.0,M1730309320,0.0,0.0
514,CASH_OUT,195096.55,C545991480,79470.0,0.0,C168257782,0.0,195096.55
514,CASH_OUT,179457.84,C1663723178,0.0,0.0,C1322042545,2961512.83,3140970.67
514,CASH_IN,98934.88,C1928057892,14545.0,113479.88,C1743747751,225143.29,126208.4
514,PAYMENT,24836.88,C115061405,567.0,0.0,M2138082197,0.0,0.0
514,TRANSFER,144225.52,C1340059111,0.0,0.0,C370310593,983800.6,617408.13
514,CASH_IN,410647.09,C1673071308,13828.0,424475.09,C2133793512,1839521.19,1428874.11
514,PAYMENT,9812.26,C942474108,424475.09,414662.82,M1140460495,0.0,0.0
514,PAYMENT,14797.87,C1903703746,414662.82,399864.95,M1522314571,0.0,0.0
514,CASH_OUT,230337.41,C182084483,7176.0,0.0,C1235245795,39105.96,269443.37
514,TRANSFER,1976549.43,C426616164,0.0,0.0,C570701148,2452570.07,4429119.5
514,CASH_OUT,286296.8,C697523885,260552.0,0.0,C41301162,1166825.96,1453122.76
514,CASH_IN,203914.21,C377120801,52554.0,256468.21,C1238790743,3676983.39,3473069.18
514,PAYMENT,11891.22,C1340458774,10857.0,0.0,M995564811,0.0,0.0
514,CASH_OUT,95164.52,C134367994,88581.0,0.0,C2082275367,111659.2,206823.72
514,CASH_OUT,268343.22,C1299976379,35223.0,0.0,C1680427361,2107420.83,2375764.05
514,CASH_OUT,231936.63,C742437749,0.0,0.0,C1478007466,1259409.79,1491346.42
514,CASH_IN,164035.78,C796679347,202575.0,366610.78,C1216292054,129557.93,0.0
514,CASH_IN,166366.71,C892573244,7257.0,173623.71,C1598246019,0.0,0.0
514,CASH_OUT,412084.77,C409444841,115762.0,0.0,C1879842998,0.0,412084.77
514,PAYMENT,11009.32,C823489163,129.0,0.0,M2084645342,0.0,0.0
514,PAYMENT,3400.18,C1433059868,0.0,0.0,M1890011569,0.0,0.0
514,CASH_IN,36796.44,C1790770180,50883.0,87679.44,C1874641162,828545.78,791749.34
514,CASH_OUT,248461.24,C524691284,20032.0,0.0,C1336460706,13482.15,261943.39
514,TRANSFER,535879.66,C473918594,20903.0,0.0,C454065870,331131.4,867011.05
514,PAYMENT,13245.52,C1444893813,12484.0,0.0,M1540284014,0.0,0.0
514,TRANSFER,2720980.1,C1964785348,34557.0,0.0,C300146432,0.0,2720980.1
514,TRANSFER,8583975.06,C304093081,0.0,0.0,C1992051038,8665797.97,1.724977303E7
514,CASH_OUT,166996.41,C1043354964,52.0,0.0,C2020584325,0.0,166996.41
