step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
443,TRANSFER,1162672.01,C920057135,1162672.01,0.0,C1730549845,0.0,0.0
443,CASH_OUT,1162672.01,C154007666,1162672.01,0.0,C184163720,5026373.25,6189045.26
443,TRANSFER,1795622.71,C699874957,1795622.71,0.0,C2123434459,0.0,0.0
443,CASH_OUT,1795622.71,C142314551,1795622.71,0.0,C1793840709,307814.85,2103437.56
443,TRANSFER,1591263.43,C159739802,1591263.43,0.0,C381034638,0.0,0.0
443,CASH_OUT,1591263.43,C1863182512,1591263.43,0.0,C2126274036,1147865.98,2739129.41
443,TRANSFER,348915.96,C1721589363,348915.96,0.0,C2136928394,0.0,0.0
443,CASH_OUT,348915.96,C1627009225,348915.96,0.0,C1624188690,0.0,348915.96
443,TRANSFER,43159.0,C1373322164,43159.0,0.0,C159626180,0.0,0.0
443,CASH_OUT,43159.0,C1632294441,43159.0,0.0,C1959724635,0.0,43159.0
