step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
214,PAYMENT,2907.93,C1029352940,951.0,0.0,M866520544,0.0,0.0
214,CASH_IN,91678.77,C536698490,20636.0,112314.77,C1096446538,0.0,0.0
214,PAYMENT,7398.93,C1867284616,34260.0,26861.07,M126973248,0.0,0.0
214,PAYMENT,5595.94,C81502559,3638.0,0.0,M1906319664,0.0,0.0
214,PAYMENT,12880.71,C2061739852,4151.0,0.0,M1993664037,0.0,0.0
214,PAYMENT,1708.16,C802971897,11378.0,9669.84,M1594195347,0.0,0.0
214,CASH_OUT,182623.23,C951810296,9669.84,0.0,C1934837365,9623114.11,9974778.96
214,CASH_OUT,78909.68,C1770996740,0.0,0.0,C1211062565,1.06249555E7,1.070386518E7
214,CASH_OUT,154567.77,C622344804,0.0,0.0,C2111230583,420798.08,575365.86
214,CASH_OUT,342177.27,C1359295153,0.0,0.0,C1527009983,4524754.88,4866932.15
214,CASH_OUT,37493.84,C840625361,0.0,0.0,C922732380,244337.79,281831.63
214,CASH_OUT,128366.07,C564539890,0.0,0.0,C1473754836,220276.91,348642.98
214,CASH_OUT,292010.7,C1166668984,0.0,0.0,C920817320,1806594.18,2098604.88
214,CASH_OUT,122387.65,C1038210562,0.0,0.0,C1703516746,482697.61,605085.26
214,CASH_OUT,62424.38,C1492703499,0.0,0.0,C1073457109,659398.16,721822.54
214,CASH_OUT,459242.03,C1212238407,0.0,0.0,C543423760,724960.53,1184202.56
214,CASH_OUT,134382.25,C1114069955,0.0,0.0,C1226766963,1696976.76,1831359.01
214,CASH_OUT,23453.73,C1904591947,0.0,0.0,C675402800,875649.94,899103.68
214,CASH_OUT,96512.85,C1873505265,0.0,0.0,C2020623187,282278.18,378791.03
214,CASH_OUT,74305.55,C771364657,0.0,0.0,C1070595261,89656.15,163961.69
214,CASH_OUT,61351.48,C1429993486,0.0,0.0,C2880750,209232.69,270584.17
214,CASH_OUT,148114.69,C172218750,0.0,0.0,C1251329883,855420.84,1003535.53
214,CASH_OUT,114171.45,C1040437028,0.0,0.0,C1572455449,1030913.64,1145085.09
214,CASH_OUT,247873.26,C1128072266,0.0,0.0,C1142474202,345497.07,593370.33
214,CASH_OUT,173065.76,C1238134699,0.0,0.0,C341185308,1103900.3,1276966.06
214,CASH_OUT,134801.06,C1565579205,0.0,0.0,C712350882,3801833.51,3936634.57
214,PAYMENT,1202.33,C2106218916,68442.0,67239.67,M1455299851,0.0,0.0
214,PAYMENT,13614.69,C2091225408,50857.0,37242.31,M655400942,0.0,0.0
214,PAYMENT,6988.94,C142128593,37242.31,30253.37,M780711824,0.0,0.0
214,PAYMENT,9477.22,C2121731216,50003.0,40525.78,M1572541279,0.0,0.0
214,PAYMENT,16083.28,C270590724,40525.78,24442.5,M2071982759,0.0,0.0
214,PAYMENT,22963.07,C1026192084,24442.5,1479.43,M940486597,0.0,0.0
214,PAYMENT,15536.93,C799097603,66120.0,50583.07,M726623898,0.0,0.0
214,PAYMENT,34352.13,C1159532021,50583.07,16230.95,M144761364,0.0,0.0
214,PAYMENT,7088.49,C758907224,19741.0,12652.51,M2098710995,0.0,0.0
214,PAYMENT,5495.73,C1346900257,106920.0,101424.27,M1610082686,0.0,0.0
214,PAYMENT,10094.8,C302781721,106884.0,96789.2,M1368788954,0.0,0.0
214,CASH_OUT,98080.12,C1095228880,39469.0,0.0,C1024856176,0.0,98080.12
214,CASH_OUT,179610.83,C555446431,1466.0,0.0,C1607491438,1824430.1,2004040.94
214,CASH_IN,4732.26,C1397562744,24701.0,29433.26,C1472065716,1289766.92,1285034.67
214,PAYMENT,11815.11,C843325460,198897.0,187081.89,M1301463761,0.0,0.0
214,PAYMENT,6417.55,C930598004,216122.0,209704.45,M216703295,0.0,0.0
214,TRANSFER,68125.89,C524121142,16393.0,0.0,C221899947,205614.77,273740.66
214,PAYMENT,16127.14,C1155709258,679.0,0.0,M1308608974,0.0,0.0
214,PAYMENT,549.41,C348486167,219.0,0.0,M1621962877,0.0,0.0
214,PAYMENT,54.24,C836042187,11158.0,11103.76,M47641478,0.0,0.0
214,PAYMENT,18321.28,C1031549961,11103.76,0.0,M878429443,0.0,0.0
214,PAYMENT,15176.05,C586636518,0.0,0.0,M394838525,0.0,0.0
214,PAYMENT,961.65,C1267233657,9906.0,8944.35,M554816726,0.0,0.0
214,PAYMENT,2712.17,C957987966,27886.0,25173.83,M1750009225,0.0,0.0
214,PAYMENT,46578.22,C1616158786,25173.83,0.0,M1338802170,0.0,0.0
214,PAYMENT,10142.66,C994230321,161951.0,151808.34,M724691357,0.0,0.0
214,PAYMENT,1751.0,C1856113161,69027.0,67276.0,M1119718280,0.0,0.0
