step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
634,TRANSFER,114864.37,C386742886,114864.37,0.0,C758149808,0.0,0.0
634,CASH_OUT,114864.37,C208900966,114864.37,0.0,C2041696205,0.0,114864.37
634,TRANSFER,26153.82,C1763793632,26153.82,0.0,C1611752752,0.0,0.0
634,CASH_OUT,26153.82,C129898759,26153.82,0.0,C127351954,0.0,26153.82
634,TRANSFER,215299.28,C2040450460,215299.28,0.0,C1735529317,0.0,0.0
634,CASH_OUT,215299.28,C1776720234,215299.28,0.0,C1185292292,625774.78,841074.06
634,TRANSFER,9168747.51,C183711980,9168747.51,0.0,C987041812,0.0,0.0
634,CASH_OUT,9168747.51,C2104655508,9168747.51,0.0,C1149132986,332348.14,9501095.65
634,TRANSFER,458603.07,C1922018955,458603.07,0.0,C1621235594,0.0,0.0
634,CASH_OUT,458603.07,C805258361,458603.07,0.0,C791884678,118881.11,577484.18
