step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
625,TRANSFER,6870369.62,C1056784519,6870369.62,0.0,C489344681,0.0,0.0
625,CASH_OUT,6870369.62,C962232328,6870369.62,0.0,C1481177013,0.0,6870369.62
625,TRANSFER,2480321.85,C1189052930,2480321.85,0.0,C1217650717,0.0,0.0
625,CASH_OUT,2480321.85,C1159822355,2480321.85,0.0,C402103077,42477.24,2522799.09
625,TRANSFER,2654302.46,C286057800,2654302.46,0.0,C1593401972,0.0,0.0
625,CASH_OUT,2654302.46,C2084273569,2654302.46,0.0,C1817408357,1429770.91,4084073.37
625,TRANSFER,1.0E7,C1179529142,1.302097453E7,3020974.53,C2073831661,0.0,0.0
625,CASH_OUT,1.0E7,C138482312,1.0E7,0.0,C1166027089,2160858.93,1.216085893E7
625,TRANSFER,3020974.53,C2115080301,3020974.53,0.0,C834247001,0.0,0.0
625,CASH_OUT,3020974.53,C1499479163,3020974.53,0.0,C1579821297,943032.19,3964006.72
625,TRANSFER,259103.16,C1860471678,259103.16,0.0,C949934281,0.0,0.0
625,CASH_OUT,259103.16,C1848705400,259103.16,0.0,C828264154,15446.58,274549.74
625,TRANSFER,58924.16,C475096619,58924.16,0.0,C1365777468,0.0,0.0
625,CASH_OUT,58924.16,C1141510718,58924.16,0.0,C1321586264,0.0,58924.16
625,TRANSFER,20278.62,C251649722,20278.62,0.0,C1591313088,0.0,0.0
625,CASH_OUT,20278.62,C1747133660,20278.62,0.0,C1277670542,12454.77,32733.39
625,TRANSFER,249749.05,C2136238029,249749.05,0.0,C1843224503,0.0,0.0
625,CASH_OUT,249749.05,C1809515003,249749.05,0.0,C1837079929,0.0,249749.05
625,TRANSFER,367631.15,C1509481580,367631.15,0.0,C455153716,0.0,0.0
625,CASH_OUT,367631.15,C1668210142,367631.15,0.0,C618305910,0.0,367631.15
625,TRANSFER,1040303.44,C1802530107,1040303.44,0.0,C84195630,0.0,0.0
625,CASH_OUT,1040303.44,C605725215,1040303.44,0.0,C774151171,1794359.1,2834662.54
625,TRANSFER,2571605.04,C991826252,2571605.04,0.0,C2045424554,0.0,0.0
625,CASH_OUT,2571605.04,C780905436,2571605.04,0.0,C1532638647,7177484.07,9749089.11
