step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
269,TRANSFER,1.0E7,C1014298205,1.304211154E7,3042111.54,C668046170,0.0,0.0
269,CASH_OUT,1.0E7,C697650903,1.0E7,0.0,C2108353776,0.0,1.0E7
269,TRANSFER,3042111.54,C1680736871,3042111.54,0.0,C880626783,0.0,0.0
269,CASH_OUT,3042111.54,C2052061131,3042111.54,0.0,C1761711704,3574837.72,6616949.26
269,TRANSFER,676882.33,C1627918307,676882.33,0.0,C1636966593,0.0,0.0
269,CASH_OUT,676882.33,C99220125,676882.33,0.0,C1618535858,0.0,676882.33
269,TRANSFER,48412.47,C1804135110,48412.47,0.0,C1940873838,0.0,0.0
269,CASH_OUT,48412.47,C1388837580,48412.47,0.0,C685030137,359164.1,407576.58
269,TRANSFER,32527.0,C1930526816,32527.0,0.0,C1608920091,0.0,0.0
269,CASH_OUT,32527.0,C963027341,32527.0,0.0,C1041024093,77934.8,110461.8
269,TRANSFER,1314897.11,C353673917,1314897.11,0.0,C1556017214,0.0,0.0
269,CASH_OUT,1314897.11,C2028485449,1314897.11,0.0,C1970513105,0.0,1314897.11
269,TRANSFER,278619.91,C117810868,278619.91,0.0,C1738568883,0.0,0.0
269,CASH_OUT,278619.91,C191042832,278619.91,0.0,C302294633,707791.17,986411.08
