step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
519,TRANSFER,105491.11,C1390328972,105491.11,0.0,C849805012,0.0,0.0
519,CASH_OUT,105491.11,C1383213814,105491.11,0.0,C1068795979,0.0,105491.11
519,TRANSFER,1558.46,C1153466023,1558.46,0.0,C1719300863,0.0,0.0
519,CASH_OUT,1558.46,C1328326914,1558.46,0.0,C1112423132,1090398.04,1091956.51
519,TRANSFER,21738.98,C811362525,21738.98,0.0,C1819509063,0.0,0.0
519,CASH_OUT,21738.98,C1895636765,21738.98,0.0,C386641787,0.0,21738.98
519,TRANSFER,1644253.61,C923759331,1644253.61,0.0,C289680070,0.0,0.0
519,CASH_OUT,1644253.61,C499231161,1644253.61,0.0,C1478004882,0.0,1644253.61
519,TRANSFER,108994.49,C1309155420,108994.49,0.0,C1022058652,0.0,0.0
519,CASH_OUT,108994.49,C1444273015,108994.49,0.0,C254515783,560333.23,669327.72
519,TRANSFER,1049424.26,C448865084,1049424.26,0.0,C154141586,0.0,0.0
519,CASH_OUT,1049424.26,C182308284,1049424.26,0.0,C691520434,0.0,1049424.26
