step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
270,TRANSFER,757422.83,C318040241,757422.83,0.0,C995250059,0.0,0.0
270,CASH_OUT,757422.83,C521408654,757422.83,0.0,C1512688061,1557751.33,2315174.16
270,TRANSFER,134623.95,C1664606481,134623.95,0.0,C1000039615,0.0,0.0
270,CASH_OUT,134623.95,C887694892,134623.95,0.0,C159277723,731682.46,866306.41
270,TRANSFER,144731.73,C23978336,144731.73,0.0,C1766457372,0.0,0.0
270,CASH_OUT,144731.73,C1044513187,144731.73,0.0,C389065516,1259174.4,1403906.14
270,TRANSFER,79712.37,C1646350355,79712.37,0.0,C701219396,0.0,0.0
270,CASH_OUT,79712.37,C520405565,79712.37,0.0,C290202639,1193902.33,1273614.71
270,TRANSFER,1998327.96,C1905022556,1998327.96,0.0,C279654004,0.0,0.0
270,CASH_OUT,1998327.96,C1609371351,1998327.96,0.0,C617888697,400903.94,2399231.91
270,TRANSFER,14992.14,C925134065,14992.14,0.0,C1757598776,0.0,0.0
270,CASH_OUT,14992.14,C243815682,14992.14,0.0,C1575356440,23867.57,38859.72
270,TRANSFER,395531.72,C497404985,395531.72,0.0,C1272345661,0.0,0.0
270,CASH_OUT,395531.72,C705295084,395531.72,0.0,C657474312,0.0,395531.72
270,TRANSFER,201511.93,C1046364344,201511.93,0.0,C1582493595,0.0,0.0
270,CASH_OUT,201511.93,C1924280884,201511.93,0.0,C1283027953,0.0,201511.93
