step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
414,TRANSFER,216000.95,C666284351,216000.95,0.0,C1896227461,0.0,0.0
414,CASH_OUT,216000.95,C1048484553,216000.95,0.0,C1044750708,171773.03,387773.97
414,TRANSFER,533269.77,C761440890,533269.77,0.0,C565561200,0.0,0.0
414,CASH_OUT,533269.77,C1010973952,533269.77,0.0,C295852822,20836.5,554106.28
414,TRANSFER,298384.21,C787438846,298384.21,0.0,C851575801,0.0,0.0
414,CASH_OUT,298384.21,C1678582584,298384.21,0.0,C2097786726,77405.99,375790.2
414,TRANSFER,537641.8,C1552180409,537641.8,0.0,C638930766,0.0,0.0
414,CASH_OUT,537641.8,C1904470036,537641.8,0.0,C115727901,55732.77,593374.56
414,TRANSFER,4602636.68,C635388534,4602636.68,0.0,C1846115729,0.0,0.0
414,CASH_OUT,4602636.68,C684110102,4602636.68,0.0,C1700286607,0.0,4602636.68
414,TRANSFER,3285475.4,C1469626651,3285475.4,0.0,C1664358015,0.0,0.0
414,CASH_OUT,3285475.4,C959785140,3285475.4,0.0,C473805746,746119.83,4031595.23
414,TRANSFER,1.0E7,C1713766678,1.072426421E7,724264.21,C499919262,0.0,0.0
414,CASH_OUT,1.0E7,C2071282373,1.0E7,0.0,C803763593,0.0,1.0E7
414,TRANSFER,724264.21,C1765244113,724264.21,0.0,C737913546,0.0,0.0
414,CASH_OUT,724264.21,C2035780043,724264.21,0.0,C657085942,0.0,724264.21
