step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
576,PAYMENT,561.22,C2142489523,1732.0,1170.78,M726187803,0.0,0.0
576,PAYMENT,4269.31,C461057907,1170.78,0.0,M2097888928,0.0,0.0
576,PAYMENT,6177.84,C478452961,60969.0,54791.16,M1926912013,0.0,0.0
576,PAYMENT,3140.08,C806936978,100003.0,96862.92,M339883791,0.0,0.0
576,CASH_IN,214226.24,C748274418,418130.0,632356.24,C807496772,86411.29,0.0
576,PAYMENT,558.42,C203685212,632356.24,631797.82,M2067831099,0.0,0.0
576,PAYMENT,7153.19,C2126455571,132.0,0.0,M475263076,0.0,0.0
576,TRANSFER,68100.5,C260646831,7133.0,0.0,C1096366224,1629.0,69729.51
576,CASH_OUT,97401.77,C1887432228,0.0,0.0,C1487394568,98822.97,196224.74
576,PAYMENT,338.19,C2002779267,24939.0,24600.81,M1947001564,0.0,0.0
576,PAYMENT,158.67,C855508909,5029.0,4870.33,M1031782680,0.0,0.0
576,PAYMENT,2450.62,C902597072,10725.0,8274.38,M650479543,0.0,0.0
576,PAYMENT,3833.22,C1690582957,9022.0,5188.78,M670057772,0.0,0.0
576,PAYMENT,738.92,C1990445579,51693.0,50954.08,M2094076759,0.0,0.0
576,PAYMENT,6878.28,C967668279,15820.0,8941.72,M483494155,0.0,0.0
576,DEBIT,5733.29,C1959459592,20776.0,15042.71,C1548282091,413412.3,419145.6
576,PAYMENT,8416.66,C7673197,11793.0,3376.34,M1377563550,0.0,0.0
576,PAYMENT,7863.05,C1116905735,3376.34,0.0,M1638076646,0.0,0.0
576,PAYMENT,7223.84,C1230352322,0.0,0.0,M1155478133,0.0,0.0
576,PAYMENT,62.11,C319957360,0.0,0.0,M1791967188,0.0,0.0
576,PAYMENT,2026.1,C243312368,0.0,0.0,M871461327,0.0,0.0
576,PAYMENT,44668.11,C833259368,0.0,0.0,M579350294,0.0,0.0
576,PAYMENT,18523.08,C691321489,0.0,0.0,M301189489,0.0,0.0
576,PAYMENT,5644.95,C1946652128,0.0,0.0,M395640041,0.0,0.0
576,PAYMENT,9803.66,C469253304,0.0,0.0,M340772599,0.0,0.0
576,PAYMENT,6713.14,C1559175443,0.0,0.0,M1823276499,0.0,0.0
576,PAYMENT,10884.7,C912982274,0.0,0.0,M1551434054,0.0,0.0
576,PAYMENT,7940.76,C2033931363,0.0,0.0,M1928490226,0.0,0.0
576,PAYMENT,9837.82,C486478015,0.0,0.0,M135811415,0.0,0.0
576,PAYMENT,1620.64,C732140667,0.0,0.0,M1255663617,0.0,0.0
576,PAYMENT,10346.09,C776565516,0.0,0.0,M1687231867,0.0,0.0
576,PAYMENT,6510.43,C1395019230,0.0,0.0,M642003035,0.0,0.0
576,PAYMENT,5086.18,C1131472524,0.0,0.0,M795234652,0.0,0.0
