step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
339,TRANSFER,343177.04,C1919174675,343177.04,0.0,C776089262,0.0,0.0
339,CASH_OUT,343177.04,C55629100,343177.04,0.0,C1065751095,0.0,343177.04
339,TRANSFER,164382.72,C121591434,164382.72,0.0,C245389073,0.0,0.0
339,CASH_OUT,164382.72,C1859886092,164382.72,0.0,C782666310,445530.63,609913.36
339,TRANSFER,6515.64,C1051682068,6515.64,0.0,C2134026296,0.0,0.0
339,CASH_OUT,6515.64,C1003695704,6515.64,0.0,C1822078212,15607.94,22123.59
339,TRANSFER,373531.87,C1176876206,373531.87,0.0,C29820940,0.0,0.0
339,CASH_OUT,373531.87,C1957456794,373531.87,0.0,C895220334,77985.49,451517.36
339,TRANSFER,1532281.61,C1947091405,1532281.61,0.0,C829302750,0.0,0.0
339,CASH_OUT,1532281.61,C337289783,1532281.61,0.0,C976257399,0.0,1532281.61
