step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
342,TRANSFER,253261.36,C293823168,253261.36,0.0,C1902597722,0.0,0.0
342,CASH_OUT,253261.36,C1059771191,253261.36,0.0,C1382936824,0.0,253261.36
342,TRANSFER,22402.21,C594348983,22402.21,0.0,C978716589,0.0,0.0
342,CASH_OUT,22402.21,C1793833133,22402.21,0.0,C1824897036,192795.07,215197.27
342,TRANSFER,127018.14,C1626624594,127018.14,0.0,C136299479,0.0,0.0
342,CASH_OUT,127018.14,C162432528,127018.14,0.0,C1457828270,0.0,127018.14
342,TRANSFER,114308.2,C1112871969,114308.2,0.0,C1982709686,0.0,0.0
342,CASH_OUT,114308.2,C1976361494,114308.2,0.0,C1419412213,0.0,114308.2
342,TRANSFER,348952.97,C929585215,348952.97,0.0,C634016277,0.0,0.0
342,CASH_OUT,348952.97,C1242285764,348952.97,0.0,C231206741,203323.19,552276.17
342,TRANSFER,549159.68,C538261432,549159.68,0.0,C525961940,0.0,0.0
342,CASH_OUT,549159.68,C844873214,549159.68,0.0,C1937972935,5479220.09,6028379.77
342,TRANSFER,21279.19,C1200071210,21279.19,0.0,C794836195,0.0,0.0
342,CASH_OUT,21279.19,C1395548664,21279.19,0.0,C5036546,2205.4,23484.59
