step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
38,PAYMENT,1305.16,C2042138530,312042.0,310736.84,M1217699308,0.0,0.0
38,CASH_IN,87485.35,C2027912740,101817.0,189302.35,C781839117,123066.61,35581.26
38,CASH_IN,333982.48,C1247505730,157.0,334139.48,C1635614173,0.0,0.0
38,PAYMENT,4256.19,C1998798388,334139.48,329883.29,M456435393,0.0,0.0
38,PAYMENT,3725.73,C404342237,329883.29,326157.55,M163158753,0.0,0.0
38,CASH_IN,128484.01,C1736824700,50416.0,178900.01,C1604018466,1997212.45,1868728.43
38,CASH_OUT,22847.94,C1505322979,5102.0,0.0,C1883852875,118234.98,141082.92
38,CASH_IN,94615.42,C265840164,2530.0,97145.42,C1361212984,0.0,0.0
38,CASH_OUT,240919.2,C1249086380,97145.42,0.0,C1773920377,251245.88,492165.08
38,PAYMENT,1533.06,C59018153,42728.0,41194.94,M286286405,0.0,0.0
38,TRANSFER,1294762.49,C1572200197,41194.94,0.0,C102537461,5160108.11,6596378.06
38,TRANSFER,962051.35,C189596148,0.0,0.0,C875485970,1.763202959E7,1.859408095E7
38,PAYMENT,2046.39,C741546743,463355.0,461308.61,M1042499454,0.0,0.0
38,PAYMENT,7392.09,C1293806152,461308.61,453916.52,M775688382,0.0,0.0
38,CASH_OUT,62792.34,C451691308,360738.0,297945.66,C2000720550,0.0,62792.34
38,CASH_IN,400553.94,C1045495736,18191.0,418744.94,C668168232,2991886.7,2353337.69
38,TRANSFER,1561336.16,C473767312,49853.0,0.0,C388392873,0.0,1561336.16
38,PAYMENT,8307.75,C1388988233,0.0,0.0,M717724447,0.0,0.0
38,PAYMENT,13297.95,C332602560,0.0,0.0,M1744196279,0.0,0.0
38,CASH_OUT,186727.92,C1728491791,105855.0,0.0,C1997538874,36361.21,223089.13
38,PAYMENT,649.89,C1905250707,806.0,156.11,M2050094718,0.0,0.0
38,CASH_OUT,191895.0,C789012581,10832.0,0.0,C138188425,3575919.38,3767814.38
38,TRANSFER,327607.95,C2103128643,0.0,0.0,C373940878,859616.31,1388379.13
38,TRANSFER,501184.15,C1918334770,0.0,0.0,C2104809432,3174973.36,3676157.52
38,TRANSFER,234322.47,C127991040,0.0,0.0,C1667248082,6791491.74,7025814.21
38,TRANSFER,571116.14,C321958361,0.0,0.0,C201998399,632652.9,1203769.05
38,CASH_OUT,55673.23,C928858326,16195.0,0.0,C46230263,0.0,55673.23
38,PAYMENT,14390.43,C2121945064,0.0,0.0,M2117264858,0.0,0.0
38,CASH_IN,106044.41,C1754938812,6303.0,112347.41,C218055478,171832.49,65788.08
38,PAYMENT,5137.26,C891063177,19872.0,14734.74,M422938573,0.0,0.0
38,CASH_OUT,101609.2,C1883286788,14734.74,0.0,C411382138,511186.91,612796.11
38,CASH_OUT,177272.76,C1225656685,5323.0,0.0,C989494833,425723.14,602995.9
38,CASH_OUT,311758.58,C413106950,23606.0,0.0,C1382399305,0.0,311758.58
38,CASH_OUT,463254.36,C757167159,14981.0,0.0,C197021839,19647.37,822785.1
38,CASH_OUT,75212.02,C1484575770,5280.0,0.0,C1474439558,29140.51,104352.52
38,PAYMENT,9136.8,C1627454233,51278.0,42141.2,M98812812,0.0,0.0
38,PAYMENT,4485.03,C591761355,42141.2,37656.17,M489116605,0.0,0.0
38,CASH_OUT,175006.65,C2073668403,10540.0,0.0,C626270303,124012.64,299019.29
38,PAYMENT,28464.66,C1618864239,51204.0,22739.34,M1867061372,0.0,0.0
38,CASH_OUT,285584.75,C1213465747,30462.0,0.0,C1078540763,380966.18,666550.93
38,CASH_OUT,465542.79,C2124611225,69605.0,0.0,C2044762345,214522.6,680065.4
38,CASH_OUT,339723.01,C1905483698,0.0,0.0,C1142632387,520928.33,860651.35
38,CASH_OUT,79327.94,C1455301380,0.0,0.0,C1177009824,225567.97,304895.91
38,PAYMENT,17489.61,C1042732508,303222.0,285732.39,M1461301943,0.0,0.0
38,PAYMENT,14432.48,C1016863017,3670.0,0.0,M454929341,0.0,0.0
38,PAYMENT,6216.43,C329057591,0.0,0.0,M160141817,0.0,0.0
38,PAYMENT,9887.24,C1434621104,87143.0,77255.76,M599039486,0.0,0.0
38,PAYMENT,21074.49,C1484492802,43061.0,21986.51,M220907181,0.0,0.0
38,CASH_OUT,485906.52,C1280111788,1403.0,0.0,C438844122,1354715.96,1840622.49
38,PAYMENT,14747.14,C1267780534,0.0,0.0,M1341106502,0.0,0.0
38,CASH_IN,116745.49,C346755512,31147.0,147892.49,C1534027199,693179.73,444938.23
38,PAYMENT,14763.16,C1063874069,147892.49,133129.33,M1927929653,0.0,0.0
38,PAYMENT,9037.98,C1082060215,305825.0,296787.02,M202642129,0.0,0.0
38,PAYMENT,24939.34,C2021248128,16053.0,0.0,M1146463437,0.0,0.0
38,CASH_OUT,156179.9,C1945234085,227.0,0.0,C1054287225,282971.09,439151.0
38,PAYMENT,4402.09,C1608510608,37007.0,32604.91,M1769223719,0.0,0.0
