step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
77,TRANSFER,819048.34,C1528612318,819048.34,0.0,C669563371,0.0,0.0
77,CASH_OUT,819048.34,C48810852,819048.34,0.0,C1460010933,1104098.69,1923147.03
77,TRANSFER,9039246.82,C1074348771,9039246.82,0.0,C306278286,0.0,0.0
77,CASH_OUT,9039246.82,C378412722,9039246.82,0.0,C802151575,464686.69,9503933.51
77,TRANSFER,239473.85,C729877384,239473.85,0.0,C1610940627,0.0,0.0
77,CASH_OUT,239473.85,C1878410871,239473.85,0.0,C891884680,729245.09,968718.94
77,TRANSFER,5715004.3,C958168241,5715004.3,0.0,C1700925232,0.0,0.0
77,CASH_OUT,5715004.3,C1519833841,5715004.3,0.0,C1856760155,318309.23,6033313.53
77,TRANSFER,2149976.69,C1907685273,2149976.69,0.0,C2107203461,0.0,0.0
77,CASH_OUT,2149976.69,C1519673706,2149976.69,0.0,C1396705699,0.0,2149976.69
