step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
140,CASH_OUT,230114.35,C618458437,5188.0,0.0,C1409129136,223513.03,271144.07
140,PAYMENT,9166.25,C1581156539,17479.0,8312.75,M1427254603,0.0,0.0
140,CASH_OUT,80238.18,C28487453,283882.0,203643.82,C1059468012,1619202.08,1553323.42
140,CASH_OUT,83738.11,C1112005803,203643.82,119905.71,C185541086,151912.75,235650.86
140,PAYMENT,1599.87,C1754726152,5005.0,3405.13,M749399844,0.0,0.0
140,CASH_OUT,81389.36,C955545579,101509.0,20119.64,C1427245746,55830.14,137219.49
140,CASH_IN,240905.64,C1143625434,40886.0,281791.64,C491726332,0.0,0.0
140,PAYMENT,4684.61,C454791144,44276.0,39591.39,M1613992032,0.0,0.0
140,CASH_OUT,16101.68,C2078533794,362.0,0.0,C910352511,4485562.08,4501663.76
140,PAYMENT,1623.67,C1835662722,276488.0,274864.33,M717904648,0.0,0.0
140,PAYMENT,5775.29,C1443262113,32503.0,26727.71,M851716667,0.0,0.0
140,PAYMENT,6120.45,C274945036,31411.0,25290.55,M1753829139,0.0,0.0
140,PAYMENT,4894.12,C220157893,29347.0,24452.88,M504963503,0.0,0.0
140,CASH_OUT,30970.02,C340841812,5181.0,0.0,C228388258,140061.52,171031.54
140,CASH_OUT,81800.55,C914612506,65110.0,0.0,C1537536661,2.274225473E7,2.285532037E7
140,CASH_OUT,150924.57,C1096100208,815.0,0.0,C1487934579,0.0,150924.57
140,PAYMENT,11732.6,C378961068,0.0,0.0,M75428191,0.0,0.0
140,PAYMENT,20423.4,C761023483,0.0,0.0,M1160440201,0.0,0.0
140,PAYMENT,1924.95,C1627168412,58592.0,56667.05,M335245269,0.0,0.0
140,CASH_IN,131439.29,C1555557826,107991.0,239430.29,C315812356,130859.26,0.0
140,CASH_IN,96306.61,C1313026428,912.0,97218.61,C364359164,0.0,0.0
140,DEBIT,2027.13,C1255099990,35822.0,33794.87,C683724759,1490508.29,1492535.42
140,CASH_OUT,100022.34,C33690909,33794.87,0.0,C110285267,311279.9,411302.23
140,CASH_OUT,121430.18,C1639457122,0.0,0.0,C451910364,776134.08,897564.26
140,CASH_OUT,197115.36,C908535032,0.0,0.0,C618781962,1172120.07,1369235.43
140,CASH_OUT,96723.38,C103444884,500813.0,404089.62,C1443198469,43497.58,140220.96
140,PAYMENT,3925.99,C336733873,404089.62,400163.63,M880916064,0.0,0.0
140,CASH_OUT,37296.42,C990790892,123614.0,86317.58,C723786296,313060.21,350356.63
140,CASH_OUT,39325.7,C1862087880,93595.0,54269.3,C187881338,0.0,39325.7
140,TRANSFER,590891.26,C1809821704,390.0,0.0,C1530086509,869547.9,1460439.16
140,TRANSFER,63377.3,C1381251493,0.0,0.0,C898261802,1419170.94,1482548.23
140,PAYMENT,4121.45,C456404519,21813.0,17691.55,M484971261,0.0,0.0
140,CASH_OUT,237312.31,C169983640,61146.0,0.0,C215506690,0.0,237312.31
