step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
320,TRANSFER,767879.02,C1642679195,767879.02,0.0,C289912687,0.0,0.0
320,CASH_OUT,767879.02,C1778269666,767879.02,0.0,C340908219,302527.93,1070406.95
320,TRANSFER,171200.54,C1500602777,171200.54,0.0,C2119310535,0.0,0.0
320,CASH_OUT,171200.54,C949614890,171200.54,0.0,C505532836,76266.33,247466.87
320,TRANSFER,34099.1,C319281201,34099.1,0.0,C2021539165,0.0,0.0
320,CASH_OUT,34099.1,C193914526,34099.1,0.0,C918538157,0.0,34099.1
320,TRANSFER,8950011.46,C1495344095,8950011.46,0.0,C128292751,0.0,0.0
320,CASH_OUT,8950011.46,C780587384,8950011.46,0.0,C602293403,3501917.61,1.245192908E7
320,TRANSFER,62318.91,C57496265,62318.91,0.0,C1810937959,0.0,0.0
320,CASH_OUT,62318.91,C2133585452,62318.91,0.0,C563718131,975697.67,1038016.58
320,TRANSFER,148305.3,C792987085,148305.3,0.0,C1731551447,0.0,0.0
320,CASH_OUT,148305.3,C936451148,148305.3,0.0,C819382970,0.0,148305.3
320,TRANSFER,248409.56,C2096636104,248409.56,0.0,C1589898085,0.0,0.0
320,CASH_OUT,248409.56,C1492323121,248409.56,0.0,C1162648274,2156174.28,2404583.85
