step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
645,TRANSFER,214760.72,C1925284457,214760.72,0.0,C2048290400,0.0,0.0
645,CASH_OUT,214760.72,C219928629,214760.72,0.0,C1845454349,151605.62,366366.35
645,TRANSFER,1.0E7,C799225890,1.157687404E7,1576874.04,C478771313,0.0,0.0
645,CASH_OUT,1.0E7,C276347571,1.0E7,0.0,C1823815645,0.0,1.0E7
645,TRANSFER,1576874.04,C1859428383,1576874.04,0.0,C1424577358,0.0,0.0
645,CASH_OUT,1576874.04,C1029506944,1576874.04,0.0,C1873712086,0.0,1576874.04
645,TRANSFER,326250.51,C193546785,326250.51,0.0,C214988457,0.0,0.0
645,CASH_OUT,326250.51,C1592906945,326250.51,0.0,C379003317,83999.86,410250.38
645,TRANSFER,21990.52,C367940440,21990.52,0.0,C166648181,0.0,0.0
645,CASH_OUT,21990.52,C1079650146,21990.52,0.0,C429196571,0.0,21990.52
