step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
383,PAYMENT,6310.05,C1188078618,181.0,0.0,M665650204,0.0,0.0
383,PAYMENT,6011.18,C544023281,125487.0,119475.82,M1285448437,0.0,0.0
383,PAYMENT,3775.18,C263061256,502440.0,498664.82,M1081054981,0.0,0.0
383,PAYMENT,291.04,C165433171,40997.0,40705.96,M912923991,0.0,0.0
383,PAYMENT,9739.89,C1449124141,40705.96,30966.07,M1790219100,0.0,0.0
383,PAYMENT,595.55,C24772494,3048.0,2452.45,M1730136659,0.0,0.0
383,PAYMENT,2993.83,C1314920724,70089.0,67095.17,M19959,0.0,0.0
383,PAYMENT,18848.97,C1321945078,67095.17,48246.2,M1461670190,0.0,0.0
383,PAYMENT,11373.35,C435772000,45806.0,34432.65,M462738269,0.0,0.0
383,PAYMENT,39982.83,C259310382,34432.65,0.0,M584017359,0.0,0.0
383,PAYMENT,1959.98,C1907753388,23804.0,21844.02,M1283795708,0.0,0.0
383,PAYMENT,8236.04,C1707208177,48801.0,40564.96,M1022954907,0.0,0.0
383,PAYMENT,7439.42,C2097402057,202956.0,195516.58,M406112095,0.0,0.0
383,DEBIT,1175.45,C1919950797,5038.0,3862.55,C805607064,222802.24,223977.69
383,CASH_IN,34381.77,C101798349,525174.0,559555.77,C1587903731,923528.29,889146.52
383,PAYMENT,7574.89,C1710709854,60670.0,53095.11,M1539797376,0.0,0.0
383,TRANSFER,469597.77,C700158786,10999.0,0.0,C1436599940,375202.4,844800.17
383,PAYMENT,38104.68,C623390849,0.0,0.0,M2053279190,0.0,0.0
383,PAYMENT,45962.61,C449427563,0.0,0.0,M1864174067,0.0,0.0
383,PAYMENT,35408.26,C198545577,0.0,0.0,M1706532920,0.0,0.0
383,PAYMENT,67199.38,C845825541,0.0,0.0,M901747498,0.0,0.0
383,PAYMENT,24992.39,C306716140,0.0,0.0,M1244060157,0.0,0.0
383,PAYMENT,23715.44,C714925266,0.0,0.0,M1668486248,0.0,0.0
383,PAYMENT,2076.45,C822526615,0.0,0.0,M1301482619,0.0,0.0
383,PAYMENT,45859.43,C6609775,0.0,0.0,M2068795231,0.0,0.0
383,PAYMENT,40089.43,C2094672091,0.0,0.0,M696194031,0.0,0.0
383,PAYMENT,3279.32,C258349580,0.0,0.0,M240294152,0.0,0.0
383,PAYMENT,2361.27,C602141929,0.0,0.0,M1918008081,0.0,0.0
383,PAYMENT,4891.32,C1306245421,0.0,0.0,M1474032455,0.0,0.0
383,PAYMENT,5436.62,C1805849065,0.0,0.0,M180909439,0.0,0.0
383,PAYMENT,10358.41,C441104346,10290.0,0.0,M302198303,0.0,0.0
383,PAYMENT,6789.66,C1641826799,15226.0,8436.34,M687254310,0.0,0.0
383,PAYMENT,7962.41,C1741503877,97530.0,89567.59,M1815446709,0.0,0.0
383,PAYMENT,8205.19,C1864707053,51281.0,43075.81,M1914110644,0.0,0.0
383,PAYMENT,5962.13,C2092447846,5991.0,28.87,M1013455720,0.0,0.0
383,PAYMENT,19937.19,C2060723531,28.87,0.0,M807180807,0.0,0.0
383,PAYMENT,830.49,C224063338,0.0,0.0,M1905592050,0.0,0.0
383,PAYMENT,10138.8,C707824630,0.0,0.0,M2116608021,0.0,0.0
383,PAYMENT,11328.64,C617832709,0.0,0.0,M2108183035,0.0,0.0
383,PAYMENT,20846.52,C1399396995,0.0,0.0,M1794666675,0.0,0.0
383,PAYMENT,29077.03,C1436352416,0.0,0.0,M1778670433,0.0,0.0
383,PAYMENT,19536.59,C1906506144,0.0,0.0,M1492546255,0.0,0.0
383,PAYMENT,25704.71,C1780873102,0.0,0.0,M573732600,0.0,0.0
383,PAYMENT,24452.44,C1153168615,0.0,0.0,M800102069,0.0,0.0
