step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
374,CASH_OUT,7205.12,C1469168226,344373.0,337167.88,C1162721837,3124916.14,3132121.26
374,PAYMENT,15267.19,C438902274,122615.0,107347.81,M1462553928,0.0,0.0
374,CASH_IN,28894.74,C170807431,10748.0,39642.74,C736845143,691349.59,662454.85
374,PAYMENT,7744.87,C1354152202,39642.74,31897.87,M45970448,0.0,0.0
374,PAYMENT,7162.69,C860536706,5385.0,0.0,M1268280068,0.0,0.0
374,CASH_OUT,399225.26,C780395924,63573.0,0.0,C1247996833,1089503.72,1488728.98
374,TRANSFER,806836.73,C1198987680,10542.0,0.0,C1105785076,0.0,806836.73
374,CASH_IN,20745.03,C556206179,5995.0,26740.03,C1322076381,12312.83,0.0
374,CASH_OUT,78401.14,C703567624,21032.0,0.0,C435634389,1.131574833E7,1.139414947E7
374,CASH_OUT,29676.4,C418474212,30493.0,816.6,C971544240,79570.49,109246.89
374,CASH_OUT,35922.34,C1739900995,816.6,0.0,C387913103,168659.56,204581.9
374,CASH_OUT,22748.8,C2118754502,30936.0,8187.2,C1939536629,1663828.18,1686576.98
374,TRANSFER,425959.37,C734736336,832.0,0.0,C1425984266,22492.09,448451.45
374,CASH_OUT,69583.23,C955171845,24905.0,0.0,C322142273,11079.16,80662.39
374,PAYMENT,8220.31,C2035934603,15558.0,7337.69,M1243952630,0.0,0.0
374,CASH_IN,265826.96,C945956557,102959.0,368785.96,C1260174767,5913862.08,5648035.12
374,CASH_IN,270615.86,C1994527528,11419.0,282034.86,C1872439325,168542.81,0.0
374,PAYMENT,1996.19,C1075955138,11115.0,9118.81,M600359605,0.0,0.0
374,CASH_OUT,83101.42,C171301967,119417.0,36315.58,C1664413419,4213378.97,4296480.39
374,TRANSFER,953772.26,C1823008114,1108.0,0.0,C1057890572,277294.7,1231066.96
374,PAYMENT,41.24,C585708272,70819.0,70777.76,M1196523890,0.0,0.0
374,CASH_OUT,129224.54,C1671625331,63963.0,0.0,C233933028,418489.93,547714.47
374,PAYMENT,17057.12,C1208614912,0.0,0.0,M589284675,0.0,0.0
374,PAYMENT,2302.16,C1754171971,0.0,0.0,M478905411,0.0,0.0
374,TRANSFER,955156.11,C77176274,20904.0,0.0,C1880971694,1050319.93,2005476.03
374,CASH_IN,6876.12,C1500603871,520.0,7396.12,C1732385254,0.0,0.0
374,PAYMENT,25518.63,C1160847392,7396.12,0.0,M89656665,0.0,0.0
374,PAYMENT,18164.7,C1298626349,62924.0,44759.3,M535477443,0.0,0.0
374,TRANSFER,69481.26,C1402388286,44759.3,0.0,C53292211,9285687.16,9355168.42
374,TRANSFER,2388184.68,C375476944,0.0,0.0,C1019271935,6441599.73,9131572.75
374,TRANSFER,1063808.65,C1623822638,0.0,0.0,C794852100,1486643.59,2550452.25
374,TRANSFER,644497.62,C705639760,0.0,0.0,C2049813033,3.995420233E7,4.059869995E7
374,TRANSFER,35015.13,C1275461728,0.0,0.0,C239704659,620552.9,655568.04
374,TRANSFER,461025.92,C1357724898,0.0,0.0,C528412284,1041740.56,1502766.49
374,TRANSFER,402879.84,C2088863536,0.0,0.0,C1608705985,1460129.56,1863009.4
374,PAYMENT,11904.03,C804751429,49641.0,37736.97,M1393461467,0.0,0.0
374,PAYMENT,16178.16,C1790817396,102268.0,86089.84,M452265492,0.0,0.0
374,CASH_IN,326972.27,C164823215,12753.0,339725.27,C2093393648,0.0,0.0
374,CASH_OUT,508564.83,C775690526,10123.0,0.0,C1079805369,854081.26,1362646.09
374,TRANSFER,586739.24,C698681017,0.0,0.0,C1761930797,946409.42,1533148.66
374,CASH_OUT,330468.95,C458383423,10513.0,0.0,C1205025256,0.0,330468.95
374,PAYMENT,30800.99,C169201026,70329.0,39528.01,M1152368951,0.0,0.0
374,PAYMENT,5753.0,C1161725909,34356.0,28603.0,M1306875093,0.0,0.0
374,CASH_IN,53135.99,C1773730102,249906.0,303041.99,C1904808561,0.0,0.0
374,CASH_OUT,67246.63,C1403267919,49975.0,0.0,C488983642,0.0,67246.63
374,CASH_OUT,648690.63,C1653939905,21549.0,0.0,C1360610398,0.0,648690.63
374,CASH_OUT,155625.19,C95534522,26913.0,0.0,C879171237,1364981.64,1954483.53
374,CASH_IN,233845.06,C728667507,11583.0,245428.06,C1338941844,454683.15,220838.09
374,PAYMENT,6562.52,C1499610370,245428.06,238865.54,M323703801,0.0,0.0
374,TRANSFER,834786.47,C455045191,51144.0,0.0,C148194856,1835018.34,2669804.82
374,CASH_OUT,160769.13,C1149610842,0.0,0.0,C252917841,977613.44,1138382.57
374,CASH_IN,73425.47,C214373605,64264.0,137689.47,C1317728854,0.0,0.0
374,PAYMENT,22533.32,C1171937823,137689.47,115156.16,M623351723,0.0,0.0
374,PAYMENT,23422.24,C1276192558,3131.0,0.0,M2017817205,0.0,0.0
374,CASH_OUT,38640.72,C1868092864,267636.0,228995.28,C826699797,106417.77,145058.49
374,PAYMENT,33490.68,C1985711439,52811.0,19320.32,M867626237,0.0,0.0
374,CASH_IN,266481.05,C1614013988,207558.0,474039.05,C1770286681,813896.46,547415.41
374,CASH_OUT,66031.62,C1231866167,474039.05,408007.44,C1420242942,311984.5,378016.12
374,TRANSFER,998768.2,C1668748448,20519.0,0.0,C625234927,331629.41,1330397.61
374,CASH_IN,44171.95,C1730338103,270976.0,315147.95,C723612393,1928696.06,1884524.11
374,CASH_IN,321796.2,C417273137,395.0,322191.2,C1414865554,103614.94,0.0
374,PAYMENT,52342.61,C928338540,322191.2,269848.6,M1826394674,0.0,0.0
374,PAYMENT,36570.5,C493236731,269848.6,233278.1,M2104547835,0.0,0.0
374,CASH_OUT,171740.18,C1613439499,24949.0,0.0,C969029874,79054.46,250794.64
374,PAYMENT,50965.72,C1760457022,104032.0,53066.28,M1143700529,0.0,0.0
374,PAYMENT,19237.85,C1064290894,11192.0,0.0,M116235474,0.0,0.0
374,PAYMENT,40648.56,C496073392,136.0,0.0,M38029255,0.0,0.0
374,CASH_OUT,2804.78,C1136181371,0.0,0.0,C297217648,112416.36,115221.13
374,CASH_OUT,185189.45,C702144466,10346.0,0.0,C1642928530,0.0,185189.45
374,CASH_OUT,136085.67,C1057715363,15065.0,0.0,C1117931321,3108052.51,3244138.18
374,TRANSFER,346831.74,C525432570,0.0,0.0,C1132253323,5150085.98,5496917.72
374,PAYMENT,17238.11,C451925619,28091.0,10852.89,M2108669363,0.0,0.0
374,PAYMENT,28846.42,C426078409,10852.89,0.0,M219624377,0.0,0.0
374,CASH_OUT,239572.74,C1764700198,60212.0,0.0,C1234971247,3181576.39,3421149.13
374,PAYMENT,5765.08,C1768770197,0.0,0.0,M1539083337,0.0,0.0
374,TRANSFER,639250.9,C1862461052,15470.0,0.0,C1231131611,135567.04,774817.95
374,PAYMENT,4692.56,C2134660538,66497.0,61804.44,M2089189674,0.0,0.0
374,CASH_IN,396323.82,C1130857527,22697.0,419020.82,C764315857,0.0,0.0
374,PAYMENT,18881.95,C1001302817,1561.0,0.0,M648198251,0.0,0.0
374,PAYMENT,9300.94,C1860563524,48967.0,39666.06,M291276179,0.0,0.0
374,PAYMENT,28570.16,C1608893242,160.0,0.0,M1815566669,0.0,0.0
374,CASH_OUT,76263.68,C755102045,161282.0,85018.32,C469024735,337217.57,413481.26
374,PAYMENT,5459.14,C1476696435,85018.32,79559.18,M688487770,0.0,0.0
374,TRANSFER,149555.74,C2132976647,19529.0,0.0,C1979282284,5323.31,154879.05
374,CASH_OUT,248283.86,C1569405351,252491.0,4207.14,C251237622,0.0,248283.86
374,PAYMENT,21311.29,C557382756,590489.0,569177.71,M1127855796,0.0,0.0
374,CASH_OUT,22576.12,C693186632,56693.0,34116.88,C956380826,1081731.07,1104307.19
374,PAYMENT,13435.53,C756245188,9008.0,0.0,M1261334750,0.0,0.0
374,TRANSFER,31988.03,C1168958233,0.0,0.0,C485302065,871958.76,903946.8
374,CASH_OUT,154578.94,C1700743316,148.0,0.0,C2074832223,128469.91,283048.85
374,CASH_IN,113568.01,C1399587769,121366.0,234934.01,C900106149,0.0,0.0
374,CASH_IN,135368.6,C1811685770,21551.0,156919.6,C1877371025,342877.87,164737.72
374,PAYMENT,3270.17,C1231729607,156919.6,153649.43,M1458456982,0.0,0.0
374,PAYMENT,422.52,C1705830713,153649.43,153226.91,M1876325495,0.0,0.0
374,PAYMENT,5064.24,C1933444801,22135.0,17070.76,M1463309257,0.0,0.0
374,CASH_OUT,217376.88,C1432325430,92.0,0.0,C2031577250,36448.89,253825.77
374,PAYMENT,12601.34,C167132710,0.0,0.0,M175974871,0.0,0.0
374,PAYMENT,463.65,C533632330,0.0,0.0,M911318456,0.0,0.0
374,CASH_OUT,13263.04,C242123354,50205.0,36941.96,C1932493289,0.0,13263.04
374,PAYMENT,38382.63,C1841181137,50819.0,12436.37,M112303593,0.0,0.0
374,CASH_OUT,152440.62,C1010269402,1681.0,0.0,C1963320873,0.0,152440.62
374,CASH_OUT,171137.99,C1186026836,0.0,0.0,C663271228,1370197.8,1541335.8
374,CASH_OUT,367708.91,C1511900394,53261.0,0.0,C896020462,561871.08,929579.99
374,PAYMENT,6074.75,C1355367573,102643.0,96568.25,M1470047226,0.0,0.0
374,CASH_OUT,199699.63,C466143144,759.0,0.0,C1431974569,176163.57,375863.19
374,CASH_OUT,327158.03,C793143983,0.0,0.0,C648718487,714497.98,1041656.0
374,CASH_OUT,33462.03,C892436030,0.0,0.0,C560945054,175580.84,209042.88
374,CASH_OUT,496460.92,C455019409,0.0,0.0,C694323241,1821102.62,2317563.53
374,CASH_OUT,144304.54,C1186425565,0.0,0.0,C1223190551,3509491.11,3653795.65
374,CASH_OUT,62048.24,C1513649078,0.0,0.0,C221462053,307933.94,369982.18
374,CASH_OUT,31763.21,C1682323009,0.0,0.0,C738891719,5372913.17,5404676.38
374,CASH_OUT,145185.33,C124185307,0.0,0.0,C132124147,510974.42,1067665.67
374,CASH_OUT,230919.5,C2063243624,0.0,0.0,C1843684228,1853600.64,2084520.14
374,CASH_OUT,272440.24,C1673977922,0.0,0.0,C635658031,9909847.53,1.871102313E7
374,CASH_OUT,184736.65,C921118277,0.0,0.0,C1845174963,7339030.56,7523767.22
374,CASH_OUT,78556.62,C107426416,0.0,0.0,C231225491,313949.82,392506.45
374,CASH_OUT,59068.83,C679008781,0.0,0.0,C997508526,565598.22,624667.05
374,CASH_OUT,200178.3,C2095639472,0.0,0.0,C782029248,587957.32,788135.62
374,CASH_OUT,294658.78,C1941061478,0.0,0.0,C748573351,810096.0,1104754.78
374,CASH_OUT,166627.01,C1283024850,0.0,0.0,C1219241944,2486285.55,2652912.56
374,CASH_OUT,105087.61,C574579938,0.0,0.0,C505945616,967737.2,1072824.81
