step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
462,TRANSFER,151994.59,C1101966116,151994.59,0.0,C1518422608,0.0,0.0
462,CASH_OUT,151994.59,C1333813455,151994.59,0.0,C1158263027,0.0,151994.59
462,TRANSFER,4342582.37,C1976332867,4342582.37,0.0,C1903233179,0.0,0.0
462,CASH_OUT,4342582.37,C978314426,4342582.37,0.0,C1219260366,5398482.58,9741064.96
462,TRANSFER,67921.66,C244092764,67921.66,0.0,C1927485075,0.0,0.0
462,CASH_OUT,67921.66,C1120272474,67921.66,0.0,C521660749,338544.14,406465.81
462,TRANSFER,102464.68,C1418607659,102464.68,0.0,C1595540217,0.0,0.0
462,CASH_OUT,102464.68,C287402036,102464.68,0.0,C95792829,117288.38,219753.06
462,TRANSFER,46190.9,C2067653411,46190.9,0.0,C1402116137,0.0,0.0
462,CASH_OUT,46190.9,C160168142,46190.9,0.0,C1459561697,0.0,46190.9
462,TRANSFER,155028.83,C750908080,155028.83,0.0,C279725072,0.0,0.0
462,CASH_OUT,155028.83,C909860820,155028.83,0.0,C411004597,0.0,155028.83
462,TRANSFER,167743.93,C579573451,167743.93,0.0,C987393521,0.0,0.0
462,CASH_OUT,167743.93,C1955616732,167743.93,0.0,C1170488365,219716.29,387460.22
462,TRANSFER,1433038.32,C1474789260,1433038.32,0.0,C991335856,0.0,0.0
462,CASH_OUT,1433038.32,C994987867,1433038.32,0.0,C725098002,116466.92,1549505.24
