step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
258,CASH_OUT,150211.62,C302900591,5106.0,0.0,C893835138,0.0,150211.62
258,CASH_IN,565728.54,C360185770,52080.0,617808.54,C1308668402,0.0,0.0
258,PAYMENT,1243.85,C1195075897,617808.54,616564.69,M1604987542,0.0,0.0
258,CASH_OUT,119931.26,C586259089,17.0,0.0,C295362534,0.0,119931.26
258,PAYMENT,14843.92,C139574218,10246.0,0.0,M348088664,0.0,0.0
258,CASH_OUT,228637.84,C441393091,142405.0,0.0,C1440540604,0.0,228637.84
258,PAYMENT,5780.74,C885275401,20782.0,15001.26,M835606960,0.0,0.0
258,CASH_OUT,289066.16,C1582568312,4167.0,0.0,C912286373,5188.0,194299.57
258,PAYMENT,2598.17,C1007140470,0.0,0.0,M688838284,0.0,0.0
258,CASH_IN,239474.9,C1791887812,62790.0,302264.9,C221116711,1184348.01,944873.11
258,CASH_IN,207066.62,C343869494,13335.0,220401.62,C1692005194,51947.31,0.0
258,PAYMENT,1901.89,C361423041,3613.0,1711.11,M1248853578,0.0,0.0
258,CASH_OUT,126133.34,C1349865194,6143.0,0.0,C668412458,0.0,126133.34
258,PAYMENT,5460.32,C1009238634,27089.0,21628.68,M2120851911,0.0,0.0
258,CASH_OUT,68519.82,C1262587374,21628.68,0.0,C2049392320,1005362.33,1073882.16
258,CASH_OUT,107818.13,C834246770,22338.0,0.0,C978951291,0.0,107818.13
258,CASH_OUT,70021.3,C865020093,869790.0,799768.7,C906155042,0.0,70021.3
258,CASH_OUT,86515.94,C6013074,112472.0,25956.06,C753445478,0.0,86515.94
258,CASH_OUT,65651.51,C1194464138,35225.0,0.0,C1813843506,1214288.19,1279939.7
258,CASH_OUT,97154.29,C976578838,23263.0,0.0,C1257053074,390218.41,487372.7
258,CASH_OUT,551963.14,C1882547245,49719.0,0.0,C94496776,130814.67,682777.82
258,CASH_OUT,365052.89,C783578601,10946.0,0.0,C2029607541,0.0,593100.84
258,CASH_IN,98492.43,C2043518454,15282.0,113774.43,C216592405,1.188694399E7,1.178845157E7
258,CASH_OUT,4958.14,C1747002880,113774.43,108816.29,C1681038264,45009.7,49967.84
258,CASH_OUT,46148.96,C862860069,108816.29,62667.32,C271175896,647871.49,694020.45
258,CASH_OUT,143023.76,C1056445340,137627.0,0.0,C525800474,0.0,143023.76
258,CASH_OUT,101318.23,C726600600,0.0,0.0,C1624101072,1124081.18,1225399.41
258,CASH_OUT,185484.72,C1245657559,0.0,0.0,C758088840,3556759.71,3742244.43
258,CASH_OUT,118122.33,C143318190,0.0,0.0,C1696203528,257196.48,375318.81
258,CASH_OUT,17700.25,C1989167824,0.0,0.0,C24161874,229312.08,475612.04
258,CASH_OUT,212250.86,C634428497,0.0,0.0,C3070386,355192.54,567443.4
258,CASH_OUT,105724.34,C378726589,0.0,0.0,C2140344648,1343599.49,1449323.83
258,CASH_OUT,114099.72,C1218656621,0.0,0.0,C1910963690,565335.06,679434.78
258,CASH_OUT,227288.9,C1016147043,0.0,0.0,C1185042928,9767000.97,9994289.87
258,CASH_OUT,85230.46,C486673844,0.0,0.0,C2000044152,91465.85,176696.31
258,CASH_OUT,21686.86,C483707305,0.0,0.0,C861936738,1132038.8,1153725.66
258,CASH_OUT,200458.94,C1299047183,0.0,0.0,C552799514,221442.04,421900.98
258,CASH_OUT,206665.53,C2016029941,0.0,0.0,C1625973254,303685.9,510351.43
258,CASH_OUT,80527.23,C1976103401,0.0,0.0,C239772098,6217757.28,6298284.52
258,CASH_OUT,170774.77,C1332471672,0.0,0.0,C2113683318,388805.15,559579.92
258,CASH_OUT,62174.79,C1832648705,0.0,0.0,C1481479022,580257.81,642432.6
258,CASH_OUT,37519.53,C1155056855,0.0,0.0,C1844770674,539467.51,707203.4
258,CASH_OUT,110800.7,C1991057948,0.0,0.0,C846088570,458249.94,569050.64
258,CASH_OUT,80479.86,C1726827414,0.0,0.0,C278128567,2015166.85,2095646.7
258,CASH_OUT,218836.95,C1801216834,0.0,0.0,C1765721259,1200798.77,1419635.73
258,CASH_OUT,120846.43,C1772153986,0.0,0.0,C363603177,147863.07,268709.5
258,CASH_OUT,40413.15,C1988271720,0.0,0.0,C1431171496,1079028.61,1119441.75
258,CASH_OUT,53001.23,C2059389653,0.0,0.0,C1528227648,1080482.31,1133483.54
258,CASH_OUT,644144.64,C1920069811,0.0,0.0,C707062088,1035811.42,1738235.89
258,CASH_OUT,29920.71,C484169347,0.0,0.0,C1862851513,54047.06,83967.77
258,CASH_OUT,256459.1,C2118675118,0.0,0.0,C701323255,3225904.65,3482363.75
258,CASH_OUT,177523.57,C2049306320,0.0,0.0,C201713403,809887.63,1167163.79
258,CASH_OUT,233100.65,C128740687,0.0,0.0,C1865221619,781701.82,1014802.48
258,CASH_OUT,409258.32,C1166138615,0.0,0.0,C1239343873,410243.94,819502.25
258,CASH_OUT,405203.54,C2023867379,0.0,0.0,C1575668470,1210246.0,1615449.55
