step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
679,PAYMENT,152.56,C1666510808,118674.0,118521.44,M266920590,0.0,0.0
679,PAYMENT,2350.91,C1369829040,148897.0,146546.09,M768178002,0.0,0.0
679,CASH_OUT,78107.84,C1772578588,230417.0,152309.16,C1591231585,0.0,78107.84
679,TRANSFER,350095.73,C554898484,45093.0,0.0,C1879344125,22454.86,372550.59
679,PAYMENT,7789.66,C1606270664,11043.0,3253.34,M958935434,0.0,0.0
679,PAYMENT,10975.47,C1801793076,3253.34,0.0,M1391343064,0.0,0.0
679,PAYMENT,7570.57,C1620548275,269.0,0.0,M407585610,0.0,0.0
679,PAYMENT,2635.13,C1520290553,457942.0,455306.87,M2038330503,0.0,0.0
679,PAYMENT,13224.68,C627059481,455306.87,442082.19,M1744010732,0.0,0.0
679,PAYMENT,5119.91,C1401797097,1053.0,0.0,M1499280723,0.0,0.0
679,CASH_OUT,97926.18,C2109863298,0.0,0.0,C1253907977,350171.27,448097.46
679,CASH_OUT,124610.28,C19004363,0.0,0.0,C1183146430,389519.86,514130.14
679,CASH_OUT,680174.11,C1071470839,0.0,0.0,C1434427541,1.020670417E7,1.088687828E7
679,CASH_OUT,238739.9,C253363698,0.0,0.0,C1895212070,2147645.9,2386385.79
679,CASH_OUT,97168.8,C2097515638,0.0,0.0,C1107894276,101639.0,198807.8
679,TRANSFER,1477282.94,C1937039294,1026.0,0.0,C1520081951,1316556.17,2793839.11
679,PAYMENT,2734.22,C649804743,10182.0,7447.78,M2035392375,0.0,0.0
679,PAYMENT,266.04,C677829143,253.0,0.0,M2109368714,0.0,0.0
679,PAYMENT,22124.79,C35655929,0.0,0.0,M2013240813,0.0,0.0
679,PAYMENT,3424.76,C1775716199,32823.0,29398.24,M1192203758,0.0,0.0
679,TRANSFER,403274.41,C1168831022,403274.41,0.0,C266215740,0.0,0.0
679,CASH_OUT,403274.41,C1311838083,403274.41,0.0,C13335239,0.0,403274.41
679,PAYMENT,6327.16,C495883613,10749.0,4421.84,M647353319,0.0,0.0
679,PAYMENT,6384.31,C876379801,49970.0,43585.69,M1924604554,0.0,0.0
679,PAYMENT,5392.75,C469394940,57935.0,52542.25,M335058831,0.0,0.0
679,PAYMENT,4166.18,C1156053983,51954.0,47787.82,M252650171,0.0,0.0
679,PAYMENT,5657.58,C1200780067,108193.0,102535.42,M276943025,0.0,0.0
679,PAYMENT,1966.5,C1808001149,20710.0,18743.5,M498009412,0.0,0.0
679,PAYMENT,7405.34,C1232103097,18743.5,11338.16,M1466573694,0.0,0.0
679,DEBIT,8760.24,C597604846,57485.0,48724.76,C724821526,2632652.24,2641412.48
679,PAYMENT,4008.67,C1182666236,10489.0,6480.33,M208797220,0.0,0.0
679,CASH_OUT,17582.34,C176573703,6480.33,0.0,C712348852,154280.41,171862.75
679,CASH_OUT,342929.14,C1552012400,0.0,0.0,C1861343965,3301197.95,3644127.09
679,CASH_IN,156559.12,C1789273073,5396.0,161955.12,C239729033,1.1579743E7,1.142318389E7
679,PAYMENT,8173.87,C1764061279,161955.12,153781.25,M1374938633,0.0,0.0
679,PAYMENT,6804.88,C58956307,7214.0,409.12,M1482786873,0.0,0.0
679,PAYMENT,509.13,C444902626,409.12,0.0,M1418314261,0.0,0.0
679,CASH_OUT,67781.86,C1271237013,49612.0,0.0,C407285824,9899506.39,9967288.25
679,PAYMENT,1971.62,C531755156,0.0,0.0,M544062524,0.0,0.0
679,PAYMENT,5478.02,C980310862,105.0,0.0,M1560343735,0.0,0.0
679,PAYMENT,3358.7,C1294306003,11384.0,8025.3,M6570775,0.0,0.0
679,PAYMENT,4104.65,C1217977470,10309.0,6204.35,M317144214,0.0,0.0
679,PAYMENT,2235.04,C1937067787,11598.0,9362.96,M1361823369,0.0,0.0
679,PAYMENT,946.84,C998644695,271049.0,270102.16,M1407050727,0.0,0.0
679,PAYMENT,1087.41,C1432599887,146603.0,145515.59,M1882561985,0.0,0.0
679,PAYMENT,3982.66,C2078701747,86680.0,82697.34,M1201172211,0.0,0.0
679,CASH_OUT,199884.57,C257505930,24220.0,0.0,C398218723,177877.6,377762.17
679,CASH_IN,121988.85,C1407083829,70690.0,192678.85,C1044928116,70279.98,0.0
679,TRANSFER,622112.01,C464895005,192678.85,0.0,C1735005287,679096.53,1301208.54
679,TRANSFER,8301338.0,C526300782,0.0,0.0,C419482978,2.539558767E7,3.369692567E7
679,TRANSFER,8947.16,C1502954085,0.0,0.0,C1548069532,21014.99,29962.15
679,TRANSFER,1879483.44,C2034394031,0.0,0.0,C570036647,2082888.58,3962372.02
679,TRANSFER,505357.71,C1327594958,0.0,0.0,C1148864154,985917.1,1491274.8
679,TRANSFER,423649.67,C631656322,0.0,0.0,C533175000,1696538.19,2120187.86
679,TRANSFER,361773.21,C1448326969,0.0,0.0,C125114072,720996.39,1082769.6
679,TRANSFER,27019.04,C1021765959,0.0,0.0,C1277037013,154824.55,181843.59
679,PAYMENT,1474.06,C2028809240,690944.0,689469.94,M1872803544,0.0,0.0
679,TRANSFER,198383.8,C604057194,198383.8,0.0,C1016011422,0.0,0.0
679,CASH_OUT,198383.8,C799430524,198383.8,0.0,C1073905576,2367972.08,2566355.88
679,PAYMENT,6463.76,C1052390268,1825.0,0.0,M1422279685,0.0,0.0
679,CASH_IN,356996.26,C2040091273,131642.0,488638.26,C96472615,646178.08,289181.83
679,CASH_OUT,103422.42,C1687807857,488638.26,385215.84,C896611162,330095.99,433518.41
