step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
585,PAYMENT,5258.58,C829805587,56612.0,51353.42,M310099731,0.0,0.0
585,PAYMENT,5697.87,C1199403380,11379.0,5681.13,M626622485,0.0,0.0
585,PAYMENT,7925.31,C982719969,17943.0,10017.69,M1977597575,0.0,0.0
585,PAYMENT,7635.0,C1493534617,1894.0,0.0,M817229188,0.0,0.0
585,CASH_OUT,35504.19,C309035622,104216.0,68711.81,C319769780,0.0,35504.19
585,PAYMENT,3204.62,C440941866,441570.0,438365.38,M1870944437,0.0,0.0
585,CASH_OUT,684247.45,C1891778828,438365.38,0.0,C2018075452,7479319.63,8163567.09
585,CASH_OUT,52489.95,C1047827904,0.0,0.0,C247095434,683804.73,736294.68
585,CASH_OUT,129267.64,C1695440457,20654.0,0.0,C300464161,0.0,129267.64
585,CASH_IN,25666.17,C671282093,40186.0,65852.17,C1059339081,0.0,0.0
585,TRANSFER,534008.18,C1244269952,24747.0,0.0,C1559181210,1771659.9,2305668.08
585,PAYMENT,5474.99,C1349143440,100125.0,94650.01,M1191295938,0.0,0.0
585,PAYMENT,744.46,C2015475476,143.0,0.0,M1652417437,0.0,0.0
585,PAYMENT,4718.3,C1623786121,0.0,0.0,M710703865,0.0,0.0
585,PAYMENT,4652.45,C1597043121,0.0,0.0,M1381793985,0.0,0.0
585,PAYMENT,16081.42,C2057899337,0.0,0.0,M871050071,0.0,0.0
585,PAYMENT,41735.82,C1796139490,0.0,0.0,M1566717642,0.0,0.0
585,PAYMENT,14415.15,C1863564138,0.0,0.0,M97027148,0.0,0.0
585,PAYMENT,18167.52,C429206766,0.0,0.0,M1426951536,0.0,0.0
585,PAYMENT,3627.35,C666350672,0.0,0.0,M1721544206,0.0,0.0
585,PAYMENT,2906.77,C1449004143,0.0,0.0,M1870753241,0.0,0.0
585,PAYMENT,16658.84,C1972261197,33781.0,17122.16,M1994489132,0.0,0.0
585,CASH_OUT,29836.07,C1350187755,20465.0,0.0,C1010399504,48945.54,78781.61
585,TRANSFER,533195.82,C879848088,29930.0,0.0,C1906492932,9655369.24,1.018856506E7
585,CASH_OUT,3137.41,C871518562,86825.0,83687.59,C18594133,0.0,3137.41
585,PAYMENT,12478.21,C1317491245,4309.0,0.0,M1328252020,0.0,0.0
585,CASH_OUT,133872.48,C1890652835,502.0,0.0,C1906064692,0.0,133872.48
585,CASH_OUT,99140.17,C1374233750,73279.0,0.0,C1176864240,0.0,99140.17
585,CASH_OUT,142099.06,C621478588,0.0,0.0,C1227951874,295839.92,437938.98
585,CASH_OUT,137033.13,C915421773,47717.0,0.0,C1184643720,6585340.0,6722373.14
585,PAYMENT,9535.01,C1313608246,296.0,0.0,M1452888829,0.0,0.0
585,CASH_IN,585002.17,C729461872,9318.0,594320.17,C1503833403,2206727.18,1621725.01
585,CASH_OUT,71525.82,C479174912,15913.0,0.0,C1940691119,8881548.75,8953074.57
585,PAYMENT,1029.89,C855428357,20447.0,19417.11,M787382045,0.0,0.0
585,CASH_IN,298234.12,C1355388804,1731.0,299965.12,C182618833,4223545.74,3925311.62
585,CASH_IN,62164.55,C833596220,322.0,62486.55,C397864972,1705456.52,1643291.96
585,CASH_IN,312773.1,C1710218473,59935.0,372708.1,C1283627245,0.0,0.0
585,CASH_IN,334765.75,C950288862,31302.0,366067.75,C83674893,0.0,0.0
585,PAYMENT,6778.73,C609064185,366067.75,359289.02,M1761029383,0.0,0.0
585,PAYMENT,2548.97,C1935981668,359289.02,356740.04,M1767160167,0.0,0.0
585,CASH_OUT,139286.54,C569770728,11189.0,0.0,C1924691436,0.0,139286.54
585,PAYMENT,7738.38,C1891142852,1483.0,0.0,M652839211,0.0,0.0
585,CASH_IN,156163.09,C1790612240,18784.0,174947.09,C1432833589,1509382.98,1353219.89
585,CASH_OUT,179422.85,C2076847597,29719.0,0.0,C1459022212,0.0,179422.85
585,CASH_OUT,235038.59,C1327517948,101493.0,0.0,C992632832,0.0,235038.59
585,CASH_OUT,5060.57,C636102882,21281.0,16220.43,C1537906273,196186.5,201247.06
585,PAYMENT,3497.59,C469114204,16220.43,12722.84,M830078602,0.0,0.0
585,PAYMENT,469.66,C2090069993,12722.84,12253.18,M139097505,0.0,0.0
585,CASH_OUT,284541.56,C603821321,601484.0,316942.44,C2095087155,1399906.47,1684448.03
585,PAYMENT,7118.09,C1569628754,33262.0,26143.91,M1048699565,0.0,0.0
585,PAYMENT,3054.24,C1698525089,59735.0,56680.76,M707263442,0.0,0.0
585,CASH_OUT,175744.6,C43204854,30810.0,0.0,C62652585,131451.98,307196.58
585,CASH_OUT,159907.78,C867585667,20646.0,0.0,C119763545,303629.74,463537.52
585,CASH_OUT,72096.31,C1039691571,0.0,0.0,C1976329879,8697190.41,8769286.71
585,CASH_OUT,116672.74,C680852021,0.0,0.0,C677355173,234081.39,350754.13
585,CASH_IN,173383.12,C806914849,31058.0,204441.12,C1724868741,56038.34,0.0
585,PAYMENT,13025.71,C828049911,204441.12,191415.41,M1327790360,0.0,0.0
585,CASH_IN,79638.92,C1080981403,20687.0,100325.92,C438178807,275903.84,196264.92
585,CASH_OUT,297921.78,C878423348,100325.92,0.0,C954578353,1106505.93,1404427.71
585,CASH_IN,617089.61,C1571167993,217932.0,835021.61,C1650880691,3187092.85,2570003.24
585,CASH_OUT,234434.41,C832979180,30841.0,0.0,C1613940756,0.0,234434.41
585,CASH_OUT,241364.56,C46607340,135452.0,0.0,C1040960664,0.0,241364.56
585,CASH_IN,36939.6,C1805390989,11480.0,48419.6,C1059970436,57172.44,20232.84
585,PAYMENT,149.32,C111189713,48419.6,48270.27,M92413897,0.0,0.0
585,TRANSFER,116287.36,C1042406622,20114.0,0.0,C1744014963,102626.43,218913.79
585,TRANSFER,712496.39,C898797547,70998.0,0.0,C1872472757,218751.62,931248.02
585,CASH_OUT,332.26,C935774622,0.0,0.0,C798946055,313736.73,314068.99
585,CASH_OUT,306706.04,C573564152,0.0,0.0,C1271364886,314133.9,620839.94
585,CASH_OUT,180197.14,C307764047,0.0,0.0,C1246107672,7944080.06,8124277.21
585,CASH_OUT,78350.6,C856957752,0.0,0.0,C1570448763,4393953.46,4472304.06
585,CASH_OUT,62375.48,C849315581,0.0,0.0,C188470696,310846.84,373222.32
585,CASH_OUT,464.89,C1867168882,0.0,0.0,C1783870825,1145615.78,1146080.67
585,CASH_OUT,66719.3,C1025134775,0.0,0.0,C232573803,366262.77,432982.07
585,CASH_OUT,399501.56,C788900303,0.0,0.0,C1902051598,2651087.49,3050589.05
585,CASH_OUT,318011.46,C1642298044,0.0,0.0,C24569813,1361258.22,1679269.68
585,CASH_OUT,141695.97,C1534125022,0.0,0.0,C2131611626,391429.11,533125.08
585,CASH_OUT,39899.59,C880840687,0.0,0.0,C748741911,2032347.24,2072246.83
585,CASH_OUT,89347.81,C910754657,0.0,0.0,C1491956806,2445192.08,2534539.9
585,CASH_OUT,95655.3,C1283828110,0.0,0.0,C439556729,708877.49,804532.79
585,CASH_OUT,16674.2,C280481235,0.0,0.0,C561443316,2265133.48,2281807.68
585,CASH_OUT,26048.33,C553179101,0.0,0.0,C129053335,338940.14,364988.47
585,CASH_OUT,86871.2,C1590987432,0.0,0.0,C1033391244,2496127.67,2582998.87
585,CASH_OUT,190171.67,C1073516837,0.0,0.0,C1344073447,4800863.63,4991035.3
585,CASH_OUT,149178.72,C285936220,0.0,0.0,C627987060,784951.1,934129.82
585,CASH_OUT,290749.99,C2007720351,0.0,0.0,C659960340,553433.35,844183.34
585,CASH_OUT,417331.41,C231744520,0.0,0.0,C657920951,436215.41,853546.82
585,CASH_OUT,222897.19,C1459550510,0.0,0.0,C468550868,1272791.36,1495688.55
585,CASH_OUT,193236.08,C527323207,0.0,0.0,C293289500,276790.76,470026.84
585,CASH_OUT,101864.7,C870673836,0.0,0.0,C227140057,436229.86,538094.56
585,CASH_OUT,82277.97,C1058668476,0.0,0.0,C1653103404,1390264.45,1472542.42
585,CASH_OUT,200662.38,C504317688,0.0,0.0,C2101747056,726112.41,926774.79
585,CASH_OUT,43312.54,C1938735382,0.0,0.0,C629181710,935866.01,979178.55
585,CASH_OUT,136482.95,C1797147334,0.0,0.0,C895806278,3114847.34,3251330.29
585,CASH_OUT,217761.19,C453688326,0.0,0.0,C52819045,235435.82,453197.01
585,CASH_OUT,216364.34,C2136346905,0.0,0.0,C2046829880,761040.14,977404.48
585,CASH_OUT,39553.29,C2060843412,0.0,0.0,C1190500317,2527827.48,2567380.77
585,CASH_OUT,217586.13,C1661260914,0.0,0.0,C1366491840,808075.73,1025661.86
585,CASH_OUT,10229.79,C757120664,0.0,0.0,C1028249600,14326.01,24555.8
585,CASH_OUT,284142.28,C1655811324,0.0,0.0,C137280329,2678192.11,2962334.39
585,CASH_OUT,241214.42,C939389031,0.0,0.0,C261462230,362242.5,603456.92
585,CASH_OUT,38886.19,C1914635694,0.0,0.0,C228635923,2837426.69,2876312.88
585,CASH_OUT,462841.73,C1516482827,0.0,0.0,C756719235,775146.05,1237987.78
585,CASH_OUT,39402.11,C903487735,0.0,0.0,C1959576472,4301040.09,4340442.2
585,CASH_OUT,248232.61,C1845268707,0.0,0.0,C2012979236,308159.54,556392.15
585,CASH_OUT,12349.16,C1740954247,0.0,0.0,C1987733836,113166.03,125515.19
585,CASH_OUT,82940.58,C543741085,0.0,0.0,C41978285,196948.49,279889.07
585,CASH_OUT,234892.21,C1146197503,0.0,0.0,C327875801,349421.24,584313.44
585,CASH_OUT,150724.59,C1302560286,0.0,0.0,C1186187623,2973506.88,3124231.47
585,CASH_OUT,78565.81,C217220559,0.0,0.0,C1980377862,135985.19,214550.99
585,CASH_OUT,38994.97,C1784182000,0.0,0.0,C767894235,694910.42,733905.39
585,CASH_OUT,41508.76,C586082857,0.0,0.0,C767383506,653563.95,695072.71
585,CASH_OUT,259718.08,C1961571300,0.0,0.0,C1565766394,293702.21,553420.29
585,CASH_OUT,68415.72,C1823415371,0.0,0.0,C1763105610,191208.14,259623.86
