step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
656,CASH_IN,190606.46,C494215162,31936.0,222542.46,C1412121092,582386.77,391780.31
656,PAYMENT,2159.33,C369855742,20094.0,17934.67,M2087279784,0.0,0.0
656,CASH_OUT,99371.31,C1142636227,18404.0,0.0,C341378953,2434200.04,2533571.35
656,PAYMENT,2217.99,C1898214261,4305.0,2087.01,M990019027,0.0,0.0
656,PAYMENT,2469.01,C221837831,2087.01,0.0,M273166405,0.0,0.0
656,PAYMENT,2863.39,C1109739234,0.0,0.0,M1784760208,0.0,0.0
656,PAYMENT,12521.25,C541290521,0.0,0.0,M1901635148,0.0,0.0
656,PAYMENT,2247.32,C421723347,0.0,0.0,M2040493472,0.0,0.0
656,PAYMENT,6902.35,C1114046770,0.0,0.0,M1983489524,0.0,0.0
656,PAYMENT,1560.98,C2020805508,0.0,0.0,M2059621215,0.0,0.0
656,PAYMENT,1494.01,C14132132,0.0,0.0,M997896271,0.0,0.0
656,PAYMENT,24096.45,C1530241935,0.0,0.0,M990661149,0.0,0.0
656,PAYMENT,8415.69,C108729435,0.0,0.0,M1760371731,0.0,0.0
656,PAYMENT,6594.15,C515038042,0.0,0.0,M1194796595,0.0,0.0
656,PAYMENT,4933.42,C422587202,0.0,0.0,M419191243,0.0,0.0
656,PAYMENT,10545.5,C270285189,0.0,0.0,M1852085003,0.0,0.0
656,PAYMENT,8709.23,C1989599166,0.0,0.0,M207544998,0.0,0.0
656,PAYMENT,14075.16,C2113876665,0.0,0.0,M935926470,0.0,0.0
656,PAYMENT,7427.62,C2002933934,0.0,0.0,M206757686,0.0,0.0
656,PAYMENT,25095.86,C138174207,0.0,0.0,M2002549268,0.0,0.0
656,PAYMENT,24148.91,C304016249,0.0,0.0,M145698147,0.0,0.0
656,PAYMENT,11136.33,C1645101359,0.0,0.0,M1989548960,0.0,0.0
656,PAYMENT,8777.53,C322335528,0.0,0.0,M1652789272,0.0,0.0
656,PAYMENT,30849.07,C1922347614,0.0,0.0,M874118327,0.0,0.0
656,PAYMENT,5236.2,C345400879,0.0,0.0,M1785411573,0.0,0.0
656,PAYMENT,5624.87,C1027239588,242084.0,236459.13,M1178452464,0.0,0.0
656,CASH_OUT,168745.4,C1631416326,236459.13,67713.73,C1148029202,189066.57,357811.97
656,TRANSFER,342104.75,C1381640011,162793.0,0.0,C608209188,0.0,342104.75
656,PAYMENT,13727.15,C1014705386,0.0,0.0,M350312660,0.0,0.0
656,PAYMENT,5110.17,C508999438,74706.0,69595.83,M498449392,0.0,0.0
656,CASH_OUT,47168.7,C2018302160,50781.0,3612.3,C1871158718,8625.04,55793.74
656,PAYMENT,4603.69,C1727338741,199372.0,194768.31,M1295007202,0.0,0.0
656,PAYMENT,4297.98,C2112513423,20708.0,16410.02,M1677633722,0.0,0.0
656,PAYMENT,1367.11,C755115648,727.0,0.0,M1628553711,0.0,0.0
656,PAYMENT,1322.01,C1333335647,557009.0,555686.99,M1498729586,0.0,0.0
656,PAYMENT,530.05,C1709103102,171.0,0.0,M170880019,0.0,0.0
656,CASH_OUT,315473.28,C232999143,0.0,0.0,C2112525188,924197.2,1239670.49
656,CASH_OUT,487073.62,C1915429493,0.0,0.0,C1347204944,1103489.07,1590562.69
656,TRANSFER,90149.56,C1633254121,297027.0,206877.44,C642770219,178588.45,268738.02
656,PAYMENT,6952.55,C275242277,65648.0,58695.45,M131341246,0.0,0.0
656,PAYMENT,259.12,C742898107,10839.0,10579.88,M115540200,0.0,0.0
656,PAYMENT,2626.85,C683899876,10579.88,7953.03,M267226281,0.0,0.0
656,PAYMENT,201.66,C511080078,224362.0,224160.34,M9224680,0.0,0.0
656,PAYMENT,458.4,C857970246,11441.0,10982.6,M1346952271,0.0,0.0
656,PAYMENT,14216.84,C2108097230,10982.6,0.0,M465706771,0.0,0.0
656,PAYMENT,9522.8,C880552843,0.0,0.0,M574628847,0.0,0.0
656,PAYMENT,20576.69,C1731523611,0.0,0.0,M1812284777,0.0,0.0
656,PAYMENT,648.83,C972036881,0.0,0.0,M436996251,0.0,0.0
656,PAYMENT,4092.29,C1515762669,0.0,0.0,M472943554,0.0,0.0
656,PAYMENT,18870.43,C622928838,0.0,0.0,M1595125545,0.0,0.0
656,PAYMENT,8387.52,C1087088893,0.0,0.0,M1488799165,0.0,0.0
656,PAYMENT,22813.58,C1949201023,0.0,0.0,M906424628,0.0,0.0
656,PAYMENT,10536.58,C722942793,0.0,0.0,M431297339,0.0,0.0
656,PAYMENT,430.47,C504313848,0.0,0.0,M528611932,0.0,0.0
656,PAYMENT,4288.07,C224286614,0.0,0.0,M1011065293,0.0,0.0
656,PAYMENT,23626.67,C1528099146,0.0,0.0,M1272427374,0.0,0.0
656,PAYMENT,3626.83,C877309797,0.0,0.0,M363216360,0.0,0.0
